bugName	pval	p1M	p6M	s1M	s6M	Adjustedpval	Adjustedp1M	Adjustedp6M
Fusobacteria	2.95887755197288e-06	5.63944521515452e-07	0.069801966620242	1.06817689781155	0.417454940656405	2.95887755197288e-05	5.63944521515452e-06	0.174504916550605
Proteobacteria	3.31950269296666e-05	1.32677143934461e-05	0.00301853507737352	0.994529778220676	0.796750320296106	0.000165975134648333	6.63385719672305e-05	0.0150926753868676
Firmicutes	0.00144183748906612	0.00288708798249994	0.00216407668698824	-0.0934128810705035	-0.126407384761407	0.00480612496355374	0.00962362660833315	0.0150926753868676
Verrucomicrobia	0.0203778887692366	0.187162225759897	0.005984426172415	0.382348846362557	1.12018845027804	0.0509447219230916	0.281137801133875	0.0199480872413833
Saccharibacteria	0.0952399523101053	0.0729041286140679	0.542336938258633	0.184070222071954	-0.0782627834744967	0.190479904620211	0.180848869935265	0.602596598065148
Euryarchaeota	0.131362638982812	0.2249102409071	0.267268832155363	-0.201221447276081	0.247186378182677	0.21893773163802	0.281137801133875	0.445448053592271
Actinobacteria	0.232257085145896	0.0904244349676326	0.527387889559429	-0.193620929543838	-0.0934648830386791	0.331795835922709	0.180848869935265	0.602596598065148
Cyanobacteria	0.312407028688324	0.801293555869173	0.183337530613298	-0.0206445532298044	0.146912494617269	0.390508785860405	0.801293555869173	0.366675061226597
Bacteroidetes	0.414906773504826	0.199441986257643	0.478861619943869	0.288039694996996	0.208001005724664	0.461007526116473	0.281137801133875	0.602596598065148
others	0.524333832943901	0.262391311911284	0.62341304366032	-0.14930376590474	-0.0863129280652319	0.524333832943901	0.291545902123649	0.62341304366032
