bugName	pval	p6M	p1Y	s6M	s1Y	Adjustedpval	Adjustedp6M	Adjustedp1Y
Clostridiales	0.0109601833883681	0.0821283233427385	0.00354480957510345	-0.12147858797465	-0.242761026358831	0.200124039694322	0.273761077809128	0.0708961915020691
Erysipelotrichales	0.0249228079374437	0.0275280369966442	0.0150312413326554	-0.607097175819038	-0.717411403492546	0.200124039694322	0.198587126299869	0.138488963901724
Enterobacteriales	0.0300186059541483	0.0254204932270056	0.0207733445852586	1.27311893435711	1.39113855153712	0.200124039694322	0.198587126299869	0.138488963901724
others	0.0584468926545643	0.0679966510994354	0.0297480423022474	0.457403721746951	0.590038943924133	0.254909847320619	0.271986604397742	0.148740211511237
Fusobacteriales	0.0637274618301549	0.0345350154282308	0.0662933346058416	1.25412571606432	1.10096397270598	0.254909847320619	0.198587126299869	0.20949166896221
Verrucomicrobiales	0.0769373423820991	0.0397174252599739	0.087460783413775	1.30909782376814	1.08282942940035	0.256457807940331	0.198587126299869	0.218651958534438
Pasteurellales	0.122015504342285	0.400834581642069	0.0453663006101264	0.353502468000046	0.962934144962222	0.348615726692243	0.629784277851846	0.181465202440505
Bacteroidales	0.185327647047709	0.388154425519624	0.0733220841367735	0.177164072974629	0.41017765159947	0.463319117619272	0.629784277851846	0.20949166896221
Selenomonadales	0.219556551469932	0.122407350879673	0.902821522742166	0.261380534424227	-0.0198966078432594	0.487903447710959	0.349735288227637	0.914582658827732
Desulfovibrionales	0.308204171388013	0.455194103317318	0.136635456742471	0.276901486611459	0.585768831501334	0.531554707041314	0.629784277851846	0.254800417948957
Burkholderiales	0.30933114396773	0.535316636174069	0.135035287708709	0.207994141559641	0.550508946658751	0.531554707041314	0.629784277851846	0.254800417948957
Coriobacteriales	0.318932824224789	0.532545306292966	0.140140229871927	-0.178557736635118	-0.460142113778958	0.531554707041314	0.629784277851846	0.254800417948957
Bifidobacteriales	0.490709413594284	0.76938900451073	0.252000333096996	-0.142190203771382	-0.600115969665826	0.754937559375822	0.854876671678589	0.420000555161659
Bacillales	0.5451286913407	0.285697469934981	0.571599226361057	0.319334899959508	0.172726828756533	0.778755273343857	0.629784277851846	0.761432229197363
Lactobacillales	0.616161195719275	0.341316260650724	0.60914578335789	0.378480087931464	0.207938934055162	0.813105436252267	0.629784277851846	0.761432229197363
Rhodospirillales	0.666322521928106	0.47417620767059	0.443412049955867	0.27827558130475	0.311366003076268	0.813105436252267	0.629784277851846	0.682172384547488
Micrococcales	0.719062491574191	0.501493956747593	0.914582658827732	0.221774097078824	-0.0365887194401538	0.813105436252267	0.629784277851846	0.914582658827732
Synergistales	0.73179489262704	0.444764615272113	0.68408242855368	0.294544799276585	0.161361285311272	0.813105436252267	0.629784277851846	0.804802857121976
Actinomycetales	0.83781148808558	0.961098853651857	0.605226756282775	0.010146137575635	-0.111029341474994	0.881906829563769	0.961098853651857	0.761432229197363
Corynebacteriales	0.901473868450424	0.895068213915069	0.738837462146505	0.0164511953894757	-0.0435130996989823	0.901473868450424	0.94217706727902	0.820930513496117
