bugName	pval	p1M	p6M	s1M	s6M	Adjustedpval	Adjustedp1M	Adjustedp6M
Bacilli	3.13332515489151e-09	2.05456366967496e-09	2.43668762702554e-06	0.987741807691792	0.900396670954529	5.01332024782641e-08	3.28730187147994e-08	3.89870020324086e-05
Fusobacteriia	2.95887755197288e-06	5.63944521515452e-07	0.069801966620242	1.06817689781155	0.417454940656405	1.94389897683796e-05	4.51155617212362e-06	0.158325433298186
Gammaproteobacteria	3.64481058157118e-06	2.31437975864119e-06	0.000289709524946419	1.45032747684167	1.33923532786923	1.94389897683796e-05	1.2343358712753e-05	0.0015451174663809
Clostridia	1.01473503604232e-05	1.77901448421994e-05	0.00010071778716788	-0.161007316886462	-0.187293752901954	4.0589401441693e-05	7.11605793687976e-05	0.000805742297343042
Alphaproteobacteria	0.0145590412833341	0.636194094295868	0.0103207316611209	-0.0490406897413228	0.377118024359809	0.0389954485591885	0.789947379020897	0.0330263413155869
Erysipelotrichia	0.0146232932096957	0.00520501321439018	0.0890580562302297	-0.418810593283458	-0.31758880007223	0.0389954485591885	0.0166560422860486	0.158325433298186
Verrucomicrobiae	0.0210594593448055	0.195884551561009	0.00615892110239752	0.375506893041709	1.11823311670098	0.0481359070738411	0.354562720007988	0.0246356844095901
Deltaproteobacteria	0.128001920734395	0.118448901503182	0.0798553203773713	0.354594855152228	0.53267098148709	0.233533580413888	0.315863737341819	0.158325433298186
Methanobacteria	0.131362638982812	0.2249102409071	0.267268832155363	-0.201221447276081	0.247186378182677	0.233533580413888	0.35985638545136	0.377190371950423
Coriobacteriia	0.155661763723469	0.174538417684854	0.0807686239913111	-0.173532574376607	-0.299735965893739	0.24905882195755	0.354562720007988	0.158325433298186
Chloroplast	0.312407028688324	0.801293555869173	0.183337530613298	-0.0206445532298044	0.146912494617269	0.454410223546653	0.801293555869173	0.293340048981278
Bacteroidia	0.414940080603232	0.199441530004493	0.479029124864739	0.288042267599695	0.207922314979051	0.553253440804309	0.354562720007988	0.547461856988274
others	0.567776497953218	0.641832245454478	0.294626488644775	0.0777824931301492	0.233453406523906	0.669026652791543	0.789947379020897	0.377190371950423
Betaproteobacteria	0.5853983211926	0.785019050077475	0.306467177209719	-0.0541296331749716	-0.273630517688689	0.669026652791543	0.801293555869173	0.377190371950423
Negativicutes	0.799966287887176	0.691304414403934	0.527970542348183	0.092740970198553	0.192847381166693	0.849421325762175	0.790062187890211	0.563168578504728
Actinobacteria	0.849421325762175	0.580215130262272	0.946645892385036	-0.107904262322451	-0.0171721662230653	0.849421325762175	0.789947379020897	0.946645892385036
