bugName	pval	p3M	p1Y	p2Y	s3M	s1Y	s2Y	Adjustedpval	Adjustedp3M	Adjustedp1Y	Adjustedp2Y
Fusobacteriia	0.000720456017785032	0.000304289761192776	0.00384479151773784	0.00346628640997073	1.0438173795212	0.911329551767646	1.13747935706803	0.0180114004446258	0.0076072440298194	0.048059893971723	0.0866571602492682
Elusimicrobia	0.00254394952841852	0.917646245019609	0.00049092266283858	0.269613200406885	0.021088841436527	0.866953718192732	0.314439597243895	0.0317993691052315	0.948322200007461	0.0122730665709645	0.629388197713312
Bacilli	0.00407468573964942	0.000615192691188051	0.0426702181950738	0.0212021004690048	0.563481539033438	0.357457348294553	0.505670637030578	0.0339557144970785	0.00768990863985064	0.152393636410978	0.26502625586256
Verrucomicrobiae	0.0109750049094042	0.00229213164312425	0.0175265475427886	0.0564436384157496	0.86909975454107	0.747249359704658	0.732428418372026	0.0685937806837761	0.0191010970260354	0.146054562856572	0.425136675803574
Lentisphaeria	0.0358337914321563	0.0082211946599892	0.0314652701055869	0.109094644732953	0.738726824650616	0.672376454807582	0.612560546516347	0.179168957160781	0.0513824666249325	0.152393636410978	0.454561019720636
Gammaproteobacteria	0.111135684615527	0.0359028430688937	0.848323699088049	0.301054048931429	0.342551591857882	-0.0338299567781879	0.224633468295527	0.418663554621253	0.179514215344468	0.883670519883384	0.629388197713312
Synergistia	0.117225795293951	0.394196349470885	0.0400517655530131	0.0680218681285719	0.183166811225927	0.505932580843573	0.548478207395987	0.418663554621253	0.729768552205745	0.152393636410978	0.425136675803574
Actinobacteria	0.151214045424508	0.123223064255175	0.0589529445958601	0.0920412629401495	-0.489604618065966	-0.672715623070907	-0.726775484536682	0.438811471723395	0.400092773765622	0.184227951862063	0.454561019720636
Methanobacteria	0.157972129820422	0.605324139183217	0.0277465381141618	0.40280844653652	0.146092224304366	0.731837860288177	0.336260607305521	0.438811471723395	0.729768552205745	0.152393636410978	0.629388197713312
Clostridia	0.241833145693562	0.107195792634912	0.106531938952272	0.162267674174757	-0.0899917530553384	-0.102433046510804	-0.109500902915057	0.604582864233906	0.400092773765622	0.266329847380679	0.579527407766988
others	0.271078697448414	0.225380341555561	0.350480314577834	0.791331086975687	-0.270952082592303	0.235008782183708	-0.0819212643589534	0.616087948746396	0.563450853888901	0.538726993332207	0.883931405901435
Deltaproteobacteria	0.303584099062776	0.198039624975355	0.0749620461978942	0.575987831286021	0.292926683422788	0.461075380476987	0.175276840251116	0.632466873047449	0.550110069375985	0.208227906105262	0.719984789107527
Chloroplast	0.335431500819311	0.460214646488065	0.348996256465071	0.336458542986213	-0.103768641652907	0.147322496813068	0.184967062559685	0.645060578498675	0.729768552205745	0.538726993332207	0.629388197713312
Mollicutes	0.418549539653354	0.604589042697463	0.249170886853115	0.509360857342984	-0.153900057265761	0.39315219442192	0.277880981090787	0.731902493515178	0.729768552205745	0.519717783653918	0.709131843510694
Bacteroidia	0.439141496109107	0.56534462827462	0.387883435199189	0.346067890366342	-0.0476995104567948	0.0806660352154294	0.1083517167757	0.731902493515178	0.729768552205745	0.538726993332207	0.629388197713312
Alphaproteobacteria	0.468510204043859	0.128029687604999	0.320822345664229	0.538940201068127	0.426409059685029	0.310816694255793	0.236391070160274	0.73204719381853	0.400092773765622	0.538726993332207	0.709131843510694
Melainabacteria	0.589241833050255	0.541280483550793	0.380156619394411	0.972685406684216	-0.155826805314378	0.253940252186771	-0.0121955329025014	0.812301258966889	0.729768552205745	0.538726993332207	0.972685406684216
Opitutae	0.621508394560276	0.948322200007461	0.964904047216664	0.215193152697154	-0.0121816699139598	-0.00929350964963781	-0.325378442239454	0.812301258966889	0.948322200007461	0.964904047216664	0.629388197713312
Betaproteobacteria	0.628967214978895	0.613005583852826	0.249464536153881	0.358054419160568	0.128114133915616	0.32685024094701	0.316419278960247	0.812301258966889	0.729768552205745	0.519717783653918	0.629388197713312
Flavobacteriia	0.649841007173511	0.40888143142143	0.718253205748929	0.244687298635286	0.138292868676655	0.0684020450748517	0.275672689188621	0.812301258966889	0.729768552205745	0.79850528606245	0.629388197713312
Negativicutes	0.750201956970453	0.858509508188834	0.579157100743684	0.396926420153362	-0.0163543972516726	0.0576885839684423	0.109317521767949	0.845913189940472	0.933162508900906	0.762048816768005	0.629388197713312
Erysipelotrichia	0.767776246590649	0.314700104021482	0.65234850347674	0.528078849231322	-0.165473587694885	-0.0827421585035515	-0.142547564682306	0.845913189940472	0.715227509139731	0.777423323915814	0.709131843510694
Deferribacteres	0.778240134745234	0.412769419558432	0.373324489603515	0.81321689342932	-0.148799298740016	-0.18112306280846	-0.0586183016141936	0.845913189940472	0.729768552205745	0.538726993332207	0.883931405901435
Epsilonproteobacteria	0.920629365870138	0.593880074423953	0.653035592089284	0.913093013677782	0.0773893573628713	0.0735171873885011	-0.021995953680551	0.958988922781394	0.729768552205745	0.777423323915814	0.951138555914356
Coriobacteriia	0.969397147683428	0.675432276936877	0.734624863177454	0.735833076493152	0.155087198723524	0.139652746464616	0.169134039350878	0.969397147683428	0.767536678337361	0.79850528606245	0.875991757729942
