bugName	pval	p6M	s6M	Adjustedpval	Adjustedp6M
Actinomycetales	0.00149986453944329	0.00149986453944329	0.595114131180215	0.0144634325130016	0.0144634325130017
Micrococcales	0.00160704805700018	0.00160704805700019	0.556545876224492	0.0144634325130016	0.0144634325130017
Lactobacillales	0.00573595583817077	0.00573595583817076	0.609132085377663	0.0344157350290246	0.0344157350290246
Enterobacteriales	0.0105034153752926	0.0105034153752926	0.680435283822921	0.0472653691888169	0.0472653691888168
Bacillales	0.0198113197714096	0.0198113197714096	0.378269110793925	0.0713207511770746	0.0713207511770745
Verrucomicrobiales	0.04080890809047	0.04080890809047	0.455440817491111	0.12242672427141	0.12242672427141
Fusobacteriales	0.168315811578771	0.168315811578771	0.313970569943964	0.43281208691684	0.43281208691684
Selenomonadales	0.302159822027464	0.302159822027464	0.202839299700316	0.63417044447163	0.63417044447163
Pasteurellales	0.365010612120178	0.365010612120178	-0.136335472866363	0.63417044447163	0.63417044447163
Burkholderiales	0.414249235297716	0.414249235297716	0.112862607439775	0.63417044447163	0.63417044447163
Erysipelotrichales	0.437711130981819	0.437711130981819	-0.130502587282742	0.63417044447163	0.63417044447163
Mollicutes_RF9	0.476005046827788	0.476005046827788	-0.165344651617971	0.63417044447163	0.63417044447163
Coriobacteriales	0.481431050372759	0.481431050372759	0.0943270617906647	0.63417044447163	0.63417044447163
Bifidobacteriales	0.49324367903349	0.49324367903349	-0.14932574739756	0.63417044447163	0.63417044447163
Bacteroidales	0.639403489318857	0.639403489318857	0.0637075986682206	0.767284187182628	0.767284187182628
Desulfovibrionales	0.713180707894157	0.713180707894157	0.0759149051255525	0.802328296380927	0.802328296380927
Clostridiales	0.779793818325725	0.779793818325725	-0.038140987881172	0.825664042933121	0.825664042933121
others	0.900565756003824	0.900565756003824	0.025352813818142	0.900565756003824	0.900565756003824
