"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"SAMPLE-42"	0.634285714285714	0.644444444444444	0.576666666666667	0.653333333333333	0.598888888888889	0.525	0.615	0.62	0.6	0.63
"SAMPLE-43"	0.163333333333333	0.248	0.34	0.248	0.303333333333333	0.208	0.265	0.24	0.228	0.218571428571429
"SAMPLE-44"	0.69	0.682857142857143	0.762857142857143	0.7675	0.74	0.73375	0.76	0.735	0.724285714285714	0.68
"SAMPLE-45"	0.446	0.478	0.44875	0.427	0.4425	0.4825	0.388333333333333	0.502	0.53	0.46
"SAMPLE-46"	0.513333333333333	0.526666666666667	0.49	0.533333333333333	0.395	0.472	0.43	0.49	0.4425	0.436666666666667
"SAMPLE-47"	0.42375	0.471111111111111	0.443333333333333	0.341111111111111	0.362222222222222	0.42375	0.34	0.33	0.43625	0.408571428571429
"SAMPLE-48"	0.52	0.566666666666667	0.502	0.62	0.542222222222222	0.564	0.525	0.55375	0.56	0.531666666666667
"SAMPLE-49"	0.322	0.238888888888889	0.223333333333333	0.23	0.20125	0.2525	0.27	0.251666666666667	0.212857142857143	0.206666666666667
"SAMPLE-50"	0.44	0.452	0.45	0.442222222222222	0.463333333333333	0.378	0.438333333333333	0.427	0.463333333333333	0.445
"SAMPLE-51"	0.766666666666667	0.814444444444444	0.851111111111111	0.82	0.801111111111111	0.80875	0.76	0.787777777777778	0.771428571428571	0.778333333333333
"SAMPLE-52"	0.29	0.153333333333333	0.167777777777778	0.273333333333333	0.191111111111111	0.19	0.15375	0.184	0.188	0.20375
"SAMPLE-53"	0.395	0.436666666666667	0.454444444444444	0.386	0.475	0.52	0.45	0.448333333333333	0.47	0.418333333333333
"SAMPLE-54"	0.25	0.22	0.217777777777778	0.296	0.316666666666667	0.235	0.28	0.273	0.26	0.235
"SAMPLE-55"	0.35	0.3	0.29	0.306	0.306666666666667	0.286	0.2575	0.26	0.335	0.2725
"SAMPLE-56"	0.83	0.8	0.851	0.857777777777778	0.795	0.8	0.7775	0.785555555555556	0.85125	0.8525
"SAMPLE-57"	0.395	0.399	0.376666666666667	0.373333333333333	0.451666666666667	0.4575	0.3975	0.387777777777778	0.415	0.373333333333333
"SAMPLE-58"	0.772	0.825	0.85	0.76	0.776666666666667	0.743333333333333	0.665	0.835	0.803333333333333	0.835
"SAMPLE-59"	0.226666666666667	0.21	0.19	0.31	0.293333333333333	0.25	0.23	0.243333333333333	0.27625	0.225
"SAMPLE-60"	0.0966666666666667	0.103333333333333	0.0811111111111111	0.106	0.0966666666666667	0.085	0.075	0.05	0.06	0.105
"SAMPLE-61"	0.633333333333333	0.642222222222222	0.64	0.59	0.686666666666667	0.655	0.665	0.646666666666667	0.6825	0.662857142857143
"SRR5865065"	0.955	0.94	0.96	0.954444444444444	0.944	0.92	0.97	0.949	0.98	0.947142857142857
"SRR5865066"	0.765	0.717777777777778	0.77	0.676666666666667	0.675	0.686666666666667	0.7	0.77	0.718	0.62875
"SRR5865067"	0.185	0.247	0.196	0.236666666666667	0.263333333333333	0.21125	0.245	0.288888888888889	0.162	0.18875
"SRR5865068"	0.73	0.78	0.767777777777778	0.89	0.713333333333333	0.7425	0.75	0.78	0.795714285714286	0.745
"SRR5865069"	0.4525	0.47	0.403333333333333	0.438888888888889	0.38625	0.4625	0.4	0.445555555555556	0.424	0.41
"SRR5865070"	0.3475	0.35	0.47	0.3425	0.298	0.296	0.255	0.271666666666667	0.236666666666667	0.355
"SRR5865071"	0.681428571428571	0.61	0.637	0.657	0.664	0.616666666666667	0.62	0.69	0.638	0.643333333333333
"SRR5865072"	0.44	0.44	0.51	0.43	0.488888888888889	0.455	0.351666666666667	0.463333333333333	0.366666666666667	0.3625
"SRR5865073"	0.706666666666667	0.698888888888889	0.66125	0.76	0.623333333333333	0.645	0.68	0.632	0.672	0.73
"SRR5865074"	0.804285714285714	0.853333333333333	0.79125	0.848	0.862	0.828	0.8	0.786666666666667	0.85	0.831666666666667
"SRR5865075"	0.746666666666667	0.652	0.66	0.606	0.664444444444444	0.62875	0.66	0.658888888888889	0.64	0.738333333333333
"SRR5865077"	0.453333333333333	0.466666666666667	0.556	0.5	0.46	0.52	0.48	0.535	0.52	0.53
"SRR5865085"	0.666666666666667	0.668888888888889	0.744	0.694	0.728	0.704	0.69	0.665	0.67375	0.676666666666667
"SRR5865086"	0.756	0.8	0.817777777777778	0.763333333333333	0.715	0.805	0.785	0.743	0.77625	0.738333333333333
"SRR5865087"	0.7	0.67	0.687142857142857	0.703333333333333	0.665	0.65	0.6	0.716666666666667	0.79	0.655
"SRR5865096"	0.842	0.85	0.84875	0.84	0.826666666666667	0.866	0.855	0.861666666666667	0.87	0.8625
"SRR5865097"	0.794	0.862222222222222	0.82125	0.795	0.856666666666667	0.79	0.823333333333333	0.825	0.88	0.80875
"SRR5865098"	0.8625	0.903333333333333	0.848	0.81	0.885	0.91	0.865	0.89875	0.905	0.847142857142857
"SRR5865110"	0.34	0.338333333333333	0.307142857142857	0.357777777777778	0.386666666666667	0.35	0.3225	0.398	0.42375	0.37125
"SRR5865111"	0.5175	0.44	0.438571428571429	0.57	0.4	0.495	0.481666666666667	0.491	0.43	0.52
"SRR5865112"	0.88	0.85	0.873333333333333	0.88	0.828333333333333	0.87	0.85	0.847	0.845	0.886666666666667
"SRR5865114"	0.348571428571429	0.374	0.337142857142857	0.386666666666667	0.311111111111111	0.319	0.37	0.421111111111111	0.355	0.331666666666667
"SRR5865115"	0.672	0.665555555555556	0.668571428571429	0.664444444444444	0.64	0.69	0.67	0.711	0.67	0.63875
"SRR5865116"	0.78	0.757	0.794	0.686	0.784	0.7725	0.68	0.761111111111111	0.732	0.761666666666667
"SRR5865120"	0.49	0.458	0.474	0.503333333333333	0.446	0.539	0.54	0.45	0.55	0.478333333333333
"SRR5865121"	0.44375	0.47	0.376666666666667	0.4725	0.474	0.488	0.46	0.386666666666667	0.448	0.43
"SRR5865122"	0.735714285714286	0.673333333333333	0.72	0.742222222222222	0.684444444444444	0.695	0.715	0.698333333333333	0.704	0.67875
"SRR5865123"	0.755714285714286	0.743333333333333	0.817777777777778	0.74	0.806	0.673333333333333	0.773333333333333	0.77	0.795	0.6425
"SRR5865124"	0.645	0.65	0.66	0.627777777777778	0.606666666666667	0.587	0.63	0.551	0.79	0.675
"SRR5865125"	0.7375	0.694	0.75	0.7925	0.836666666666667	0.735	0.748333333333333	0.711666666666667	0.735	0.686666666666667
"SRR5865126"	0.69	0.659	0.656666666666667	0.671111111111111	0.746	0.72	0.775	0.71625	0.65375	0.695
"SRR5865127"	0.642857142857143	0.595	0.63625	0.661111111111111	0.67	0.656	0.66125	0.69125	0.643333333333333	0.67125
"SRR5865128"	0.331	0.343333333333333	0.404444444444444	0.383333333333333	0.37	0.365	0.345	0.357777777777778	0.3875	0.35
"SRR5865129"	0.346	0.328	0.35	0.29	0.31	0.317	0.245	0.27	0.328	0.2625
"SRR5865130"	0.55	0.52	0.511428571428571	0.55	0.515	0.53	0.51125	0.587777777777778	0.495	0.565
"SRR5865078"	0.72	0.746666666666667	0.72875	0.764444444444444	0.718333333333333	0.785	0.715	0.792222222222222	0.786666666666667	0.74
