"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"ERR1624556"	0.65	0.652	0.576666666666667	0.746666666666667	0.74	0.6	0.62	0.72	0.561666666666667	0.66	0.555	0.52875	0.61	0.562	0.5325	0.5775	0.576666666666667	0.495	0.415	0.535	0.475	0.486666666666667	0.575	0.5	0.545	0.6	0.602222222222222	0.491	0.635	0.595	0.68	0.55	0.623333333333333	0.59	0.562	0.62	0.52	0.51	0.56	0.53	0.5025	0.566666666666667	0.491428571428571	0.56	0.535	0.6	0.5275	0.52	0.545	0.52	0.6	0.595	0.66	0.5225	0.615	0.532	0.54	0.536666666666667	0.6725	0.54	0.51	0.54625	0.51	0.526	0.535	0.58	0.573333333333333	0.627142857142857	0.526666666666667	0.56125	0.564	0.615	0.523333333333333	0.602	0.615	0.609	0.595	0.576666666666667	0.523333333333333	0.546666666666667
"ERR1624559"	0.68	0.676	0.646666666666667	0.77	0.75	0.68	0.67	0.74	0.596666666666667	0.76	0.565	0.5975	0.64	0.6	0.585	0.61	0.69	0.675	0.5275	0.63	0.565	0.546666666666667	0.6	0.59	0.595	0.636	0.661111111111111	0.562	0.675	0.67	0.75	0.575	0.64	0.67	0.66	0.66	0.59	0.591428571428571	0.56	0.588571428571429	0.555	0.623333333333333	0.56	0.67	0.64	0.598	0.5975	0.582	0.615	0.65	0.7	0.67	0.69	0.61625	0.57	0.618	0.563333333333333	0.613333333333333	0.685	0.6075	0.57	0.62875	0.66	0.634	0.62	0.67	0.626666666666667	0.692857142857143	0.58	0.61375	0.648	0.691666666666667	0.576666666666667	0.657	0.725	0.667	0.625	0.608333333333333	0.593333333333333	0.625
"ERR1624560"	0.68	0.658	0.67	0.72	0.71	0.61	0.69	0.68	0.571666666666667	0.65	0.535	0.58	0.55	0.586	0.565	0.6075	0.586666666666667	0.67	0.5225	0.55	0.55	0.563333333333333	0.551666666666667	0.61	0.585	0.644	0.596666666666667	0.57	0.665	0.545	0.705	0.5475	0.656666666666667	0.71	0.61	0.625	0.48	0.557142857142857	0.56	0.577142857142857	0.575	0.663333333333333	0.58	0.56	0.505	0.608	0.595	0.568	0.58375	0.55	0.6	0.63	0.61	0.6075	0.555	0.534	0.576666666666667	0.63	0.71375	0.585	0.54	0.57625	0.555	0.604	0.605	0.595	0.563333333333333	0.628571428571429	0.523333333333333	0.59	0.602	0.645	0.536666666666667	0.601	0.615	0.656	0.57	0.62	0.603333333333333	0.578333333333333
"ERR1624562"	0.67	0.656	0.625	0.763333333333333	0.67	0.63	0.64	0.75	0.541666666666667	0.7	0.56	0.56	0.56	0.542	0.5575	0.5875	0.59	0.64	0.49	0.535	0.5375	0.516666666666667	0.546666666666667	0.51	0.545	0.6	0.568888888888889	0.552	0.635	0.58	0.65	0.5475	0.63	0.7	0.594	0.67	0.49	0.524285714285714	0.61	0.565714285714286	0.54	0.613333333333333	0.544285714285714	0.61	0.61	0.568	0.565	0.554	0.585	0.58	0.62	0.615	0.68	0.57	0.625	0.544	0.573333333333333	0.583333333333333	0.6625	0.575	0.49	0.53875	0.525	0.562	0.63	0.57	0.603333333333333	0.627142857142857	0.606666666666667	0.5975	0.576	0.663333333333333	0.55	0.616	0.605	0.623	0.575	0.596666666666667	0.563333333333333	0.551666666666667
"ERR1624564"	0.67	0.588	0.593333333333333	0.706666666666667	0.665	0.62	0.63	0.71	0.593333333333333	0.68	0.625	0.605	0.57	0.626	0.545	0.6225	0.646666666666667	0.64	0.5175	0.545	0.5675	0.57	0.546666666666667	0.64	0.545	0.602	0.606666666666667	0.591	0.595	0.64	0.67	0.5775	0.683333333333333	0.63	0.592	0.69	0.63	0.578571428571429	0.66	0.598571428571429	0.5575	0.633333333333333	0.565714285714286	0.59	0.595	0.56	0.59	0.558	0.64375	0.61	0.63	0.65	0.64	0.65375	0.61	0.564	0.59	0.59	0.68375	0.6275	0.62	0.6225	0.6	0.586	0.625	0.595	0.64	0.681428571428571	0.58	0.625	0.584	0.698333333333333	0.536666666666667	0.637	0.715	0.672	0.625	0.585	0.6	0.608333333333333
"ERR1624565"	0.35	0.512	0.44	0.433333333333333	0.485	0.44	0.49	0.56	0.42	0.54	0.47	0.4475	0.36	0.466	0.4325	0.38	0.47	0.345	0.38	0.495	0.42	0.41	0.481666666666667	0.42	0.435	0.482	0.448888888888889	0.415	0.43	0.515	0.43	0.46	0.43	0.47	0.378	0.47	0.38	0.421428571428571	0.5	0.387142857142857	0.395	0.396666666666667	0.418571428571429	0.43	0.49	0.432	0.45	0.436	0.51625	0.42	0.49	0.485	0.58	0.39	0.5	0.428	0.47	0.47	0.46125	0.4975	0.5	0.3525	0.5	0.474	0.515	0.39	0.446666666666667	0.441428571428571	0.48	0.54125	0.412	0.488333333333333	0.396666666666667	0.522	0.46	0.471	0.535	0.393333333333333	0.486666666666667	0.385
"ERR1624567"	0.62	0.586	0.558333333333333	0.673333333333333	0.585	0.55	0.59	0.65	0.546666666666667	0.71	0.56	0.525	0.49	0.514	0.5	0.5125	0.606666666666667	0.545	0.4425	0.525	0.515	0.506666666666667	0.531666666666667	0.55	0.61	0.59	0.565555555555556	0.476	0.565	0.585	0.645	0.5275	0.6	0.55	0.516	0.625	0.57	0.525714285714286	0.58	0.53	0.495	0.596666666666667	0.517142857142857	0.53	0.515	0.542	0.535	0.538	0.57625	0.54	0.59	0.58	0.58	0.51625	0.62	0.53	0.51	0.523333333333333	0.65375	0.5225	0.52	0.52125	0.535	0.558	0.545	0.555	0.566666666666667	0.592857142857143	0.543333333333333	0.53	0.528	0.65	0.49	0.599	0.65	0.625	0.6	0.545	0.546666666666667	0.531666666666667
"ERR1624570"	0.66	0.584	0.591666666666667	0.683333333333333	0.635	0.67	0.63	0.64	0.596666666666667	0.65	0.575	0.57875	0.5	0.57	0.495	0.5275	0.573333333333333	0.585	0.4675	0.575	0.525	0.513333333333333	0.571666666666667	0.53	0.575	0.572	0.554444444444444	0.467	0.635	0.6	0.575	0.52	0.573333333333333	0.6	0.552	0.585	0.51	0.518571428571429	0.58	0.517142857142857	0.5325	0.55	0.531428571428571	0.63	0.59	0.524	0.535	0.55	0.58	0.53	0.65	0.64	0.64	0.55375	0.595	0.544	0.566666666666667	0.57	0.5475	0.59	0.6	0.55	0.59	0.54	0.61	0.515	0.59	0.655714285714286	0.59	0.5775	0.592	0.611666666666667	0.55	0.633	0.605	0.64	0.625	0.543333333333333	0.533333333333333	0.566666666666667
"ERR1624536"	0.39	0.566	0.461666666666667	0.553333333333333	0.57	0.51	0.4	0.58	0.47	0.43	0.48	0.4325	0.45	0.448	0.4025	0.3125	0.486666666666667	0.38	0.4125	0.45	0.43	0.426666666666667	0.463333333333333	0.41	0.46	0.474	0.406666666666667	0.412	0.44	0.54	0.46	0.4425	0.506666666666667	0.46	0.356	0.54	0.4	0.427142857142857	0.55	0.384285714285714	0.4625	0.346666666666667	0.448571428571429	0.44	0.5	0.422	0.425	0.462	0.46375	0.43	0.53	0.505	0.51	0.38375	0.52	0.462	0.426666666666667	0.406666666666667	0.4375	0.48	0.49	0.39375	0.515	0.44	0.57	0.46	0.456666666666667	0.457142857142857	0.473333333333333	0.47875	0.426	0.48	0.433333333333333	0.503	0.46	0.422	0.465	0.421666666666667	0.466666666666667	0.411666666666667
"ERR1624537"	0.64	0.618	0.64	0.733333333333333	0.725	0.62	0.56	0.63	0.606666666666667	0.64	0.545	0.54625	0.56	0.554	0.53	0.5425	0.55	0.62	0.5025	0.535	0.5675	0.483333333333333	0.6	0.57	0.58	0.59	0.573333333333333	0.529	0.585	0.58	0.62	0.525	0.596666666666667	0.59	0.566	0.61	0.49	0.527142857142857	0.57	0.575714285714286	0.5475	0.613333333333333	0.524285714285714	0.53	0.59	0.582	0.5175	0.564	0.54	0.6	0.56	0.56	0.59	0.59125	0.645	0.592	0.6	0.563333333333333	0.6225	0.555	0.52	0.56125	0.54	0.554	0.525	0.585	0.626666666666667	0.621428571428571	0.6	0.59	0.58	0.595	0.566666666666667	0.583	0.6	0.587	0.62	0.591666666666667	0.546666666666667	0.553333333333333
