SAMPLE_ID	Actinobacteria	Alphaproteobacteria	Bacilli	Bacteroidia	Betaproteobacteria	Chitinophagia	Chlamydiia	Chrysiogenetes	Clostridia	Coriobacteriia	Cytophagia	Deferribacteres	Dehalococcoidia	Deinococci	Deltaproteobacteria	Epsilonproteobacteria	Erysipelotrichia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Lentisphaeria	Limnochordia	Mollicutes	Negativicutes	Oligoflexia	Opitutae	Rubrobacteria	Sphingobacteriia	Spirochaetia	Synergistia	Thermodesulfobacteria	Thermoleophilia	Thermomicrobia	Thermotogae	Tissierellia	Unclassified Actinobacteria Phylum	Unclassified Bacteroidetes Phylum	Unclassified Candidatus Saccharibacteria Phylum	Unclassified Cyanobacteria Phylum	Unclassified Firmicutes Phylum	Unclassified Planctomycetes Phylum	Unclassified Proteobacteria Phylum	Unclassified Verrucomicrobia Phylum	Verrucomicrobiae	Zetaproteobacteria
ERR1624543	2.933076046715704	1.3163341661146244	2.808434166398545	3.464016183370178	2.4001210231812484	0.0	1.4278790783753572	0.24510768390028248	3.943182941111583	2.787994699544672	0.0	0.0	0.0	0.7443052907084512	2.0176046388248365	0.6804984781436954	2.9053115532366713	2.3275271296305853	0.24510768390028248	2.0238843717971218	0.0	1.1183888365431145	0.24510768390028248	1.3615848139911888	0.0	0.0	0.0	1.3001385320260228	0.0	0.6056754060399349	0.0	0.5152217329154077	0.0	0.24510768390028248	0.24510768390028248	0.5152217329154077	2.652430555557023	2.630629277601628	0.8934974402196117	2.718295178584744	0.0	1.2086345677921593	0.0	1.4025623692627989	0.0
ERR1624544	2.6755607938087436	1.3177871447611988	3.6284826157359227	3.3634213250212	2.080725054370691	0.23214970367142984	0.0	0.0	3.8059814747940104	2.3369421918802398	0.0	0.3826187221856914	0.0	0.9768104920888403	2.172293890010209	0.9066962214920069	2.9575841551557915	0.49415623080125687	0.0	2.2173459377515865	0.0	0.0	0.0	2.72277887484522	0.3826187221856914	0.0	0.0	0.8668798958971855	0.0	0.7193332361289722	0.0	0.0	0.0	0.0	0.0	0.0	2.2632122442806963	2.8954838851586695	1.8378432355116743	2.2192025736353793	0.0	1.5686733218244158	0.0	1.5251335621575026	0.0
ERR1624545	1.3386851901060024	0.0	3.2921656058920603	1.6848806505800442	1.0990565371498333	0.33368772973998356	0.0	0.0	2.0214267054381656	1.137294861888843	0.0	0.0	0.0	0.0	0.520141067928912	0.0	0.9587241176051579	0.0	0.0	4.165665369925458	0.0	0.0	0.0	0.9587241176051579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33368772973998356	0.7501050732227844	0.6501695820260346	0.0	0.0	0.0	0.0	0.0
ERR1624546	2.9640585187920236	1.3040521080261938	2.325384793983526	3.4978779623823346	1.1737615994490087	0.0	0.43774564598036214	0.9009062978027882	4.004124823276558	2.609896023563495	0.0	0.0	0.0	0.2718380043650338	1.7793002136500897	0.7937838868614655	2.9620015135260034	0.0	0.5575016040584696	2.8052959852549155	0.0	0.0	0.6512719996415843	2.118918069070309	0.43774564598036214	0.0	0.0	0.0	0.0	0.5575016040584696	0.0	0.0	0.0	0.0	0.43774564598036214	0.0	0.5575016040584696	0.0	1.2216677191833365	2.262039758975279	0.0	1.2848743738208752	0.0	1.4728951697776105	0.2718380043650338
ERR1624547	3.0100470431165336	1.1375762279156272	3.635027031805984	2.7767805537615464	1.9697461030376027	0.0	0.0	0.0	3.8879119701850167	2.778318036413219	0.0	0.0	0.0	0.9255232192003209	0.8670848450392213	0.9770226458045193	3.274974431366131	0.0	0.0	1.6046756850026014	0.0	0.0	0.0	2.4001890945012896	0.0	0.0	0.0	0.3139905126734775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7240189865296593	0.494317395681067	2.287860941121495	1.3668389870165643	0.0	0.0	0.0	0.0	0.0
ERR1624548	2.703847708666954	1.1458463067068694	3.1766557745231654	3.428479216577164	1.8509592155407701	0.0	0.47691900627179906	0.698727294893813	3.9276825749224793	2.3780957628768893	0.0	0.0	0.0	0.698727294893813	1.3007417630969027	0.9997269423380822	3.247424596480974	0.30087831815870103	0.0	3.0485269497626017	0.0	0.7778984251038336	0.0	1.203835543864846	0.0	0.0	0.0	0.30087831815870103	0.0	0.0	0.0	0.0	0.698727294893813	0.0	0.0	0.0	1.4768279637330315	0.47691900627179906	2.178675549312589	2.1364193745790017	0.0	1.880514177865346	0.0	1.203835543864846	0.0
ERR1624549	3.1350140687748818	1.3416072101587604	2.8542493829196687	3.3631925559362332	1.6583672799492553	0.0	1.6826607004719147	0.0	3.9977020331853015	2.9572025549488785	1.5909275859685759	0.0	0.0	0.36359705153386185	1.0599178567943357	0.0	1.967053693730085	0.36359705153386185	0.0	2.950241173135753	0.0	0.7951624840461533	1.4549718162785332	0.7951624840461533	1.6326340022514356	0.0	0.0	0.7951624840461533	0.36359705153386185	0.9474103687208354	0.0	0.0	0.692825934643512	0.0	0.5586895182285471	0.0	1.255970862400306	0.36359705153386185	0.5586895182285471	2.487875371230759	0.0	1.255970862400306	0.0	0.0	0.0
ERR1624550	2.6325247667003766	0.9420929226744109	1.7491429805594325	3.4431674492955824	2.0429110155150623	0.0	0.0	0.0	3.6487430746976712	2.3856520508049153	0.0	0.0	0.26981663889541263	1.3358834993231585	1.996460568571668	0.6478917437411814	2.581716579576063	0.9420929226744109	2.373160742013412	3.8801881509816227	0.0	0.0	1.0544450278898725	2.575796457076447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0862499820128677	0.26981663889541263	0.0	0.0	0.5543562907370667	1.1696984675442625	0.0	0.9828594487326644	0.0	0.26981663889541263	0.0
ERR1624551	3.560650036851688	1.1056041831382846	2.2236172967061005	3.478263165171224	2.108809303102794	0.0	0.0	0.27968027690538383	3.8970170019775017	3.024050446716885	0.0	0.0	0.0	1.214021981925133	1.434851345629256	1.2373690846740912	2.7556102115595844	0.0	0.27968027690538383	0.8650097098524547	0.0	0.6642877979867949	0.0	1.6560873132093639	0.0	0.0	0.0	0.0	0.0	0.0	0.27968027690538383	0.0	0.0	0.0	0.6642877979867949	0.0	0.0	0.4484151843842789	1.875829534889626	2.2236172967061005	0.0	0.4484151843842789	0.0	0.7419620718208906	0.0
ERR1624552	3.1686877912708646	1.5605204788691909	3.680023689760639	2.6680294542489533	1.7285323142151117	0.0	0.0	0.3032043576304941	3.7260652712504654	2.8652685672092297	0.0	0.0	0.3032043576304941	0.48001799154610486	1.0453380087802142	0.7024437771814104	3.1442138505027195	0.0	0.0	3.4001865330342866	0.0	0.0	0.0	1.2828642597196567	0.0	0.0	0.0	0.3032043576304941	0.0	0.0	0.0	0.0	0.0	0.0	0.3032043576304941	0.3032043576304941	0.9068880059891161	0.3032043576304941	0.3032043576304941	1.0039060472737176	0.0	0.0	0.0	0.0	0.0
