SAMPLE_ID	Actinobacteria	Bacteroidetes	Candidatus Saccharibacteria	Chlamydiae	Chloroflexi	Chrysiogenetes	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Firmicutes	Fusobacteria	Lentisphaerae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thermodesulfobacteria	Thermotogae	Verrucomicrobia
ERR1624536	3.3482974086385333	3.5265848887894125	0.4189664503362295	0.0	0.25816009011830005	0.0	1.9786046397507226	0.0	0.9195002110915786	4.039032034415553	0.25816009011830005	0.0	0.0	2.223915294295528	0.0	0.0	0.4189664503362295	0.0	0.4189664503362295	1.3900201748863
ERR1624537	3.354221716303844	3.6125404651890647	0.0	0.9128010311944673	0.0	0.0	2.0066054479114452	0.0	1.8964880361799445	3.983868523889664	0.3417937819743099	0.0	0.0	2.710318348946638	0.0	0.530664874494619	1.2190239957241271	0.0	0.3417937819743099	2.0773127829854694
ERR1624538	2.8719385891440554	3.753136160812927	0.4982016272028262	0.0	0.31693542433018623	0.0	0.9305535126158561	0.0	0.0	4.0046968036596065	0.7241463877638059	0.0	0.0	2.4113344586836205	0.0	0.31693542433018623	0.0	0.0	0.0	1.6102382851373014
ERR1624539	3.4885398561548877	2.916541550772015	0.7050043336220599	1.1831232084133947	0.0	0.0	1.8647587048497363	0.0	0.4821556670186029	4.092962585567758	0.7050043336220599	0.0	0.0	2.6399697922483853	0.0	0.4821556670186029	0.0	0.0	0.0	0.7050043336220599
ERR1624540	3.759294703569062	2.688842319472447	1.2431850552295467	0.0	0.3223009711789812	0.0	1.5454585896654023	0.0	1.71280259499314	4.014579824143159	0.0	0.3223009711789812	0.3223009711789812	2.1779798511925	0.3223009711789812	0.0	0.0	0.0	0.0	0.0
ERR1624541	3.6983444689623997	2.937831207221842	0.0	0.0	0.2967359766384611	0.0	2.3643180200861322	0.0	1.071276158078089	4.026158717045482	0.2967359766384611	0.0	0.0	2.0167571768880035	0.2967359766384611	0.2967359766384611	0.47138640914530133	0.0	0.0	0.0
ERR1624542	3.2392115718744736	2.988931650024827	0.0	0.0	0.19865973976512205	0.19865973976512205	1.9328866000648028	0.0	1.3400542139655707	4.128843154740194	0.3344576321092444	0.0	0.3344576321092444	2.739658657132903	0.19865973976512205	0.5910699806518526	0.19865973976512205	0.0	0.19865973976512205	0.793796449452871
ERR1624543	3.1686425975570742	3.555040899898514	2.630629277601628	1.4278790783753572	0.0	0.24510768390028248	0.8934974402196117	0.0	0.7443052907084512	4.032448411944209	0.24510768390028248	0.0	0.0	2.696989894714487	0.0	0.6056754060399349	0.24510768390028248	0.0	0.24510768390028248	1.4025623692627989
ERR1624544	2.8388514960942186	3.398025793093358	2.8954838851586695	0.0	0.0	0.0	1.8378432355116743	0.3826187221856914	0.9768104920888403	4.087950794308541	0.0	0.0	0.0	2.695810845844276	0.0	0.7193332361289722	0.0	0.0	0.0	1.5251335621575026
ERR1624545	1.5381916870501433	1.695132405571755	0.33368772973998356	0.0	0.0	0.0	0.7501050732227844	0.0	0.0	3.318752745458643	0.0	0.0	0.0	4.1660766380545375	0.0	0.0	0.0	0.0	0.0	0.0
ERR1624546	3.1228239112381724	3.49823800928377	0.0	0.43774564598036214	0.0	0.9009062978027882	1.2216677191833365	0.0	0.2718380043650338	4.062027175616722	0.5575016040584696	0.0	0.0	2.879105357893386	0.0	0.5575016040584696	0.6512719996415843	0.0	0.0	1.4728951697776105
ERR1624547	3.210220654692989	2.8136734032691217	0.494317395681067	0.0	0.0	0.0	2.287860941121495	0.0	0.9255232192003209	4.152129513331482	0.0	0.0	0.0	2.204358059452415	0.0	0.0	0.0	0.0	0.0	0.0
ERR1624548	2.8712699354921347	3.4334665377138918	0.47691900627179906	0.47691900627179906	0.698727294893813	0.698727294893813	2.178675549312589	0.0	0.698727294893813	4.07517058209612	0.0	0.0	0.0	3.1153073362495314	0.0	0.0	0.0	0.0	0.0	1.203835543864846
ERR1624549	3.3559842385914207	3.3746267340273683	0.36359705153386185	1.6826607004719147	0.692825934643512	0.0	0.5586895182285471	0.0	0.36359705153386185	4.044243684393991	0.0	0.0	0.0	3.011429953090675	0.36359705153386185	0.9474103687208354	1.4549718162785332	0.0	0.0	0.0
ERR1624550	2.827339267710252	3.4443791863105524	0.0	0.0	0.26981663889541263	0.0	0.5543562907370667	0.0	1.3358834993231585	3.7234762109490895	2.373160742013412	0.0	0.0	3.893009352545935	0.0	0.0	1.0544450278898725	0.0	0.0	0.26981663889541263
ERR1624551	3.6713727496388247	3.478263165171224	0.4484151843842789	0.0	0.0	0.27968027690538383	1.875829534889626	0.0	1.214021981925133	3.946540078899659	0.27968027690538383	0.0	0.0	2.2806973418624654	0.0	0.0	0.0	0.27968027690538383	0.0	0.7419620718208906
ERR1624552	3.3439860749557853	2.6755015312862174	0.3032043576304941	0.0	0.3032043576304941	0.3032043576304941	0.3032043576304941	0.0	0.48001799154610486	4.061775381920483	0.0	0.0	0.0	3.4174682751291123	0.0	0.0	0.0	0.0	0.0	0.0
ERR1624553	3.2562342505964272	3.6745902993231963	2.714097443105753	1.2334052304100276	0.0	0.302603040156807	2.020143662768497	0.302603040156807	1.5941247785345916	3.9568031274736657	1.0820608225250556	0.0	0.0	2.7282290400931952	0.0	0.6044174265854634	0.0	0.0	0.0	1.3454208382609456
ERR1624554	3.1783533616660042	3.3319973739113484	0.0	0.0	0.38028412401167055	0.38028412401167055	1.5391974220979467	0.0	0.38028412401167055	4.095872948622711	2.2914931454216574	0.0	0.0	2.644169142900616	0.0	0.38028412401167055	0.38028412401167055	0.0	0.0	1.4829944081210369
ERR1624555	3.7623570932330717	3.102116886870763	1.0418855034428425	0.0	0.0	0.0	1.0418855034428425	0.0	0.9298972573227073	3.9840442628002513	0.0	0.0	0.0	2.020690929318626	0.0	0.0	0.35248375128679965	0.0	0.0	0.9298972573227073
ERR1624556	3.054035340379283	2.9593502559539644	0.5408434400724145	1.703138100717132	0.0	0.8307760097194419	2.2068053258256906	0.261192185935917	1.6661309207011856	4.113142586952074	0.0	0.0	0.261192185935917	3.1462896221019045	0.0	0.7743868766168404	0.7743868766168404	0.0	0.0	2.139566464104654
ERR1624557	3.168653357633966	3.5664166117657143	0.0	0.0	0.27641866637903717	0.0	2.021635923586019	0.0	1.3133582100575385	4.0471150951036075	0.9094757002539747	0.0	0.0	2.530364501358264	0.0	0.7363217009893546	0.0	0.0	0.0	1.7136526372250764
ERR1624558	3.358585961485072	2.9814017012015572	0.6014073253471383	0.7774260053778107	0.0	0.0	0.6014073253471383	0.0	0.47654115563651195	4.081627771108624	0.7774260053778107	0.0	0.0	3.160797573474171	0.0	0.698273792395729	0.47654115563651195	0.0	0.0	1.7067168208633396
ERR1624559	2.891871999018102	3.5654819723721363	2.22215859268126	0.0	0.2981583354312632	0.2981583354312632	0.2981583354312632	0.0	0.5977453489048097	3.9273204040498766	0.0	0.0	0.0	3.5729928795448407	0.0	0.5977453489048097	0.0	0.0	0.0	0.0
ERR1624560	3.402744973446728	3.040379422157482	0.0	1.122034555771499	0.0	0.0	0.0	0.0	0.5087003216443023	3.9997219604803007	0.995857481821889	0.0	0.0	3.493223960891856	0.0	0.3249269470173147	0.0	0.0	0.0	1.8784065910933774
ERR1624561	2.949238816629944	3.0859787702816477	0.0	0.0	0.0	0.0	1.7793098138498022	0.5529340489758249	0.8710159747108729	4.142807786658038	0.940345005748047	0.0	0.0	2.839875020759892	0.0	0.6864824350940972	0.35909388205830933	0.0	0.0	1.7603326691958245
ERR1624562	3.2882527848626175	2.973762153632795	1.1581487351205961	0.0	0.0	0.0	0.29151020082721874	0.29151020082721874	0.8286483207238283	4.081360363830467	0.29151020082721874	0.0	0.29151020082721874	3.269229981759198	0.0	0.5877008848076567	0.29151020082721874	0.0	0.0	0.46438125105758815
ERR1624563	2.446052547018714	2.8628513183513316	1.500352820269415	0.0	0.0	0.0	0.7711284275278851	0.0	0.5380554615850565	4.109360939240229	0.3475132769637058	0.0	0.0	3.4630001674047346	0.0	0.3475132769637058	0.3475132769637058	0.0	0.0	1.1609283945232207
ERR1624564	3.357397983471983	3.469800808930408	0.0	0.0	0.2556958055285787	0.6239746958660755	2.366809967038301	0.0	0.0	3.9786844945703823	1.756810020997125	0.0	0.0	3.071432213114458	0.0	0.6239746958660755	0.2556958055285787	0.0	0.0	2.7849966989156174
ERR1624565	3.178618979438771	3.5046788095800685	0.4198113607800749	0.4198113607800749	0.25877202268183563	0.5370238784179774	2.2189074160505435	0.8760158380042169	0.5370238784179774	3.9730260780518174	2.0577582789799607	0.0	0.0	3.374403656655585	0.0	0.5370238784179774	1.0640578592639667	0.0	0.0	1.7384725611344256
ERR1624566	3.1735177103626975	3.260104649234849	0.0	0.0	0.4157888852485028	0.0	2.396120920431075	0.0	0.9149770190447231	4.113372742029889	0.0	0.0	0.0	2.420614157202655	0.0	0.25586165782340203	0.0	0.0	0.0	1.2316955944837553
ERR1624567	3.2146788257395085	3.3104068994761366	0.32631022932793124	1.276875178353225	0.8875750671499862	0.32631022932793124	1.9780411651358385	0.0	0.5105114673123735	4.099080796012186	1.1919641927182087	0.0	0.32631022932793124	2.631111153355326	0.0	0.0	0.6394490995465743	0.0	0.0	1.222150436984597
ERR1624568	3.346620615842182	3.6018904543054218	0.6881745044675567	1.9550939410655614	0.7902611600599384	0.0	1.5053935752120589	0.36029319350495437	1.1437686140870262	3.912172149569505	1.250453956590079	0.0	0.0	3.3553754689623987	0.0	0.8728595359879445	0.36029319350495437	0.0	0.0	0.9422307755338506
ERR1624569	2.6629718419835564	3.250483268501493	0.0	0.0	0.4704334711757579	0.0	2.1513675651904363	0.2960238377417215	1.1046556705600805	3.9584600438207573	0.7697753044999848	0.0	0.0	3.7259290592712637	0.0	0.5945289468785433	0.2960238377417215	0.0	0.0	1.2914684194997699
ERR1624570	3.50205711434156	3.3180223615068933	0.0	0.7075876052939664	0.3741496136335238	0.0	0.5721126409967703	0.0	0.9638071509772684	4.044958445730813	0.0	0.0	0.0	2.498791493044186	0.0	0.5721126409967703	0.0	0.0	0.0	2.176016273996621
ERR1624571	3.3959684862739667	3.119534311169669	0.0	0.0	0.0	0.0	1.100846063782471	0.0	0.0	4.012205270005186	2.643454428604023	0.0	0.0	3.358968905060032	0.0	0.33473120030910125	0.0	0.0	0.0	0.6516792671836311
ERR1624572	3.4542122592361895	3.629431533704624	2.4340321303777506	0.0	0.0	0.0	2.1578146463186374	0.0	1.2033838676351154	3.914870351641545	1.5217829061319181	0.0	0.0	2.928752508357528	0.0	0.0	0.3327941946714401	0.0	0.0	2.291474847510299
ERR1624573	3.4290802064652035	3.0092793372330466	0.7958787165724324	0.0	0.31175306790277696	0.0	1.0986423006686385	0.31175306790277696	0.0	4.1024973308518	0.7160020928929068	0.0	0.0	2.639186014951787	0.0	0.31175306790277696	0.31175306790277696	0.0	0.0	0.31175306790277696
ERR1624574	3.5823970434786583	3.323783857447183	0.7560413194771444	0.0	0.0	0.2878995565974701	0.0	0.0	1.017215805876499	4.024059845602725	1.1214180615317821	0.0	0.0	2.478565653742182	0.0	0.0	0.4595242768658934	0.2878995565974701	0.0	0.0
ERR1624575	3.0130319626578514	3.3813410313869867	0.3404697809328242	0.0	0.3404697809328242	0.0	2.019287731623869	0.0	1.3944970094315456	4.107884098300271	0.0	0.0	0.0	2.54957757454339	0.0	0.5289499595981542	0.6599530981111008	0.0	0.0	1.931961997677823
ERR1624576	3.586724383853302	3.3973243416100742	0.0	0.0	0.0	0.44723171083595986	1.9139270620629962	1.2356363916746782	1.0719869031542673	4.002764377896929	0.0	0.0	0.0	2.371181981791068	0.0	1.1876278868774015	1.3874997370641284	0.0	0.0	1.4472685458958716
ERR1624577	3.3547856741541175	3.622923743631845	0.0	1.6515546589197054	0.2953400426383021	0.0	1.902499944302547	0.0	1.2196757562866312	3.994155146935715	0.0	0.0	0.0	2.5436713369404997	0.0	0.2953400426383021	0.0	0.0	0.0	1.1933894244472976
ERR1624578	3.4958646607665766	3.148175049956725	0.0	0.4709512112689928	0.4709512112689928	0.0	0.29641070046565443	0.0	0.8371489058453421	4.080547000724317	0.0	0.0	0.0	2.378140049837855	0.0	0.5951124923072729	0.4709512112689928	0.0	0.0	0.0
ERR1624579	3.070376266375729	3.634415027374238	2.16986388603768	0.7232926184668628	0.0	0.0	2.2527379937377487	0.0	0.8034583337063892	4.012238169560089	0.0	0.0	0.0	2.8363306235362873	0.0	0.6249017046973394	0.3163904988389211	0.0	0.0	1.560816346771896
ERR1624580	3.530934365700194	2.502870089159073	0.0	0.0	0.6642877979867949	0.0	1.9778245290480043	0.0	1.1631875275026895	4.102575934824263	0.4484151843842789	0.0	0.0	2.4614904932396455	0.0	0.7419620718208906	0.0	0.0	0.0	1.673085273304503
ERR1624581	3.3068877380204387	3.560118038672922	0.0	0.0	0.9322025327195828	0.84780236248919	1.7551462440466614	0.0	1.2460118795308068	4.035530089803149	0.7429444528544783	0.0	0.0	2.2271494630422177	0.7429444528544783	0.9322025327195828	0.7429444528544783	0.0	0.0	1.6514428089570592
ERR1624582	3.0231753876361185	3.723861303958396	2.720358424869707	1.8937800607609518	0.0	0.0	2.15584288520517	0.2761270314752702	1.0323761794079922	3.945502286289642	0.2761270314752702	0.0	0.0	2.9096845708110393	0.0	0.0	1.80676723476994	0.0	0.2761270314752702	1.4817569993802586
ERR1624583	3.5870004549451844	3.1939480962525844	0.46857327332951704	0.0	0.6886920501899799	0.0	1.1920507470464836	0.2946348342909895	0.0	4.050598704765837	0.0	0.0	0.2946348342909895	2.136425958156398	0.0	0.2946348342909895	0.2946348342909895	0.0	0.0	0.9428073997836274
ERR1624584	3.6933504379108086	3.174721612295517	0.4153810045740699	0.2555669621392332	0.4153810045740699	0.0	0.9918207934342511	0.2555669621392332	0.9918207934342511	3.9999754535827217	0.2555669621392332	0.0	0.0	2.4687117868904127	0.0	0.4153810045740699	0.0	0.2555669621392332	0.0	1.9134074616278407
ERR1624585	3.7275453779688403	3.662337213721755	1.076666743822728	0.0	0.0	0.0	1.1571475420542674	0.0	0.0	3.5921035042864067	0.0	0.0	0.0	3.4694445268369902	0.0	0.3452805325944023	0.0	0.3452805325944023	0.0	1.1187687576516367
