SAMPLE_ID	Acholeplasmatales	Acidaminococcales	Actinomycetales	Aeromonadales	Alteromonadales	Bacillales	Bacteriovoracales	Bacteroidales	Bdellovibrionales	Bifidobacteriales	Bradymonadales	Burkholderiales	Campylobacterales	Cardiobacteriales	Caulobacterales	Cellvibrionales	Chitinophagales	Chlamydiales	Chromatiales	Chroococcales	Chrysiogenales	Clostridiales	Coriobacteriales	Corynebacteriales	Cytophagales	Deferribacterales	Dehalococcoidales	Deinococcales	Desulfobacterales	Desulfovibrionales	Desulfuromonadales	Eggerthellales	Enterobacterales	Entomoplasmatales	Erysipelotrichales	Flavobacteriales	Frankiales	Fusobacteriales	Halanaerobiales	Lactobacillales	Legionellales	Leptospirales	Limnochordales	Magnetococcales	Marinilabiliales	Mariprofundales	Mesoaciditogales	Micrococcales	Mycoplasmatales	Myxococcales	Neisseriales	Nevskiales	Nitrosomonadales	Nostocales	Oceanospirillales	Orbales	Oscillatoriales	Parachlamydiales	Pasteurellales	Pleurocapsales	Propionibacteriales	Pseudomonadales	Pseudonocardiales	Puniceicoccales	Rhizobiales	Rhodobacterales	Rhodospirillales	Rickettsiales	Rubrobacterales	Selenomonadales	Solirubrobacterales	Sphaerobacterales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Streptomycetales	Synechococcales	Synergistales	Syntrophobacterales	Thermales	Thermoanaerobacterales	Thermodesulfobacteriales	Thermotogales	Thiotrichales	Tissierellales	Unclassified Actinobacteria Class	Unclassified Actinobacteria Phylum	Unclassified Alphaproteobacteria Class	Unclassified Bacilli Class	Unclassified Bacteroidetes Phylum	Unclassified Betaproteobacteria Class	Unclassified Candidatus Saccharibacteria Phylum	Unclassified Clostridia Class	Unclassified Coriobacteriia Class	Unclassified Cyanobacteria Phylum	Unclassified Epsilonproteobacteria Class	Unclassified Firmicutes Phylum	Unclassified Gammaproteobacteria Class	Unclassified Mollicutes Class	Unclassified Negativicutes Class	Unclassified Planctomycetes Phylum	Unclassified Proteobacteria Phylum	Unclassified Tissierellia Class	Unclassified Verrucomicrobia Phylum	Veillonellales	Verrucomicrobiales	Vibrionales	Victivallales	Xanthomonadales
ERR1624545	0.0	0.0	0.520141067928912	0.0	0.0	1.752027596138897	0.0	1.6848806505800442	0.0	1.137294861888843	0.0	1.0571235198143343	0.0	0.0	0.0	0.0	0.33368772973998356	0.0	0.0	0.7501050732227844	0.0	2.0214267054381656	0.8996651852790429	0.0	0.0	0.0	0.0	0.0	0.0	0.520141067928912	0.0	0.8312916585053621	4.165665369925458	0.0	0.9587241176051579	0.0	0.0	0.0	0.0	3.2791607534681346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8312916585053621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.520141067928912	0.0	0.33368772973998356	0.33368772973998356	0.0	0.0	0.0	0.0	0.6501695820260346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9587241176051579	0.0	0.0	0.0	0.0
ERR1624546	0.43774564598036214	0.5575016040584696	1.198374877727604	0.0	1.340039928897219	1.2848743738208752	0.0	3.4978779623823346	0.43774564598036214	2.9071294196632627	0.0	1.1476691326875654	0.7937838868614655	0.0	0.0	0.0	0.0	0.2718380043650338	0.0	0.7937838868614655	0.9009062978027882	4.002775400502382	0.5575016040584696	0.0	0.0	0.0	0.0	0.0	0.0	1.7729738382999918	0.0	2.607104017819519	2.79024927780114	0.43774564598036214	2.9620015135260034	0.0	0.0	0.5575016040584696	1.4854299916359242	2.284197365309194	0.0	0.0	0.0	0.0	0.0	0.2718380043650338	0.0	1.7600377198691828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7937838868614655	0.2718380043650338	0.0	0.0	1.6221028025600288	0.0	0.0	0.0	0.2718380043650338	0.0	0.0	1.2848743738208752	0.0	0.2718380043650338	0.0	0.0	0.0	0.0	0.0	0.0	0.43774564598036214	0.5575016040584696	0.2718380043650338	0.2718380043650338	0.2718380043650338	0.0	0.0	0.0	0.43774564598036214	0.2718380043650338	0.0	0.0	0.2718380043650338	0.5575016040584696	0.2718380043650338	0.0	0.2718380043650338	0.0	0.6512719996415843	0.0	2.262039758975279	0.0	0.0	0.0	0.0	1.2848743738208752	0.0	0.0	2.10727014070485	1.4728951697776105	0.0	0.0	0.2718380043650338
ERR1624547	0.0	2.34971030179162	1.7062695215485326	0.0	0.3139905126734775	0.7195251507324694	0.0	2.7767805537615464	0.0	2.8870457238046456	0.0	0.3139905126734775	0.9770226458045193	0.0	0.0	0.0	0.0	0.0	0.0	2.287860941121495	0.0	3.887136171616439	2.549217622029099	0.3139905126734775	0.0	0.0	0.0	0.0	0.0	0.7195251507324694	0.0	2.392794872035119	1.1698978026302833	0.0	3.274974431366131	0.0	0.0	0.0	1.1026543605350223	3.634493033727237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6213585532347384	0.0	0.3139905126734775	0.3139905126734775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3668389870165643	0.0	2.2972543586400844	0.0	0.0	0.0	0.0	0.0	0.0	1.1375762279156272	0.0	0.0	0.0	0.0	0.3139905126734775	0.0	0.0	0.3139905126734775	0.0	0.0	0.3139905126734775	0.9255232192003209	0.494317395681067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3139905126734775	1.7240189865296593	1.9597553216237822	0.494317395681067	0.0	0.0	0.0	0.0	1.3668389870165643	0.3139905126734775	0.0	0.0	0.0	0.0	0.0	0.0	1.4559893906227095	0.0	0.0	0.0	0.3139905126734775
ERR1624548	0.0	1.1458463067068694	0.953972823906548	0.0	0.902824516583773	1.5048560550266883	0.0	3.428479216577164	0.0	2.0678850478727684	0.47691900627179906	1.2784661670781885	0.9997269423380822	0.0	0.0	0.30087831815870103	0.0	0.47691900627179906	0.0	2.164051526640059	0.698727294893813	3.927374891986432	1.9681828041306972	0.47691900627179906	0.0	0.0	0.0	0.0	0.698727294893813	1.1458463067068694	0.0	2.1670159914619394	3.0438444870532093	0.0	3.247424596480974	0.30087831815870103	0.0	0.0	0.30087831815870103	3.16106480355244	0.0	0.0	0.7778984251038336	0.47691900627179906	0.0	0.0	0.0	1.3421330686920019	0.0	0.0	0.0	0.30087831815870103	0.0	0.30087831815870103	0.0	0.0	0.0	0.0	0.30087831815870103	0.0	2.5523656582881715	0.0	0.0	0.0	0.47691900627179906	0.0	0.0	0.953972823906548	0.0	0.47691900627179906	0.0	0.698727294893813	0.30087831815870103	0.30087831815870103	0.0	0.47691900627179906	0.47691900627179906	0.0	0.0	0.698727294893813	0.7778984251038336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.361437624075967	1.4768279637330315	1.7239781882399945	0.47691900627179906	0.0	0.0	0.47691900627179906	0.0	2.1364193745790017	0.47691900627179906	0.0	0.0	0.0	1.880514177865346	0.0	0.0	0.0	1.203835543864846	0.0	0.0	0.0
ERR1624549	1.4549718162785332	0.0	2.7564957271093284	0.0	0.0	1.4931536419382327	1.6326340022514356	3.3631925559362332	0.0	2.374355484824451	0.36359705153386185	0.9474103687208354	0.0	0.0	0.0	0.0	0.0	0.36359705153386185	0.0	0.36359705153386185	0.0	3.9975304264597242	2.5546203652142427	0.36359705153386185	1.5909275859685759	0.0	0.0	0.0	0.5586895182285471	0.7951624840461533	0.0	2.7392136937424203	2.9489633909192707	0.0	1.967053693730085	0.36359705153386185	0.0	0.0	0.0	2.7624347080478198	0.0	0.0	0.7951624840461533	0.0	0.0	0.0	0.0	0.692825934643512	0.0	0.36359705153386185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6706838327302687	0.0	0.0	2.7392136937424203	0.0	0.0	0.0	1.00729721703276	0.0	0.0	1.106846278340638	0.0	0.7951624840461533	0.0	0.692825934643512	0.7951624840461533	0.0	0.36359705153386185	0.0	0.36359705153386185	0.9474103687208354	0.0	0.36359705153386185	0.36359705153386185	0.0	0.0	0.0	0.36359705153386185	0.7951624840461533	0.0	0.0	2.0298039406907757	1.255970862400306	1.5760852683749418	0.36359705153386185	0.5586895182285471	0.0	0.0	0.0	2.487875371230759	0.0	0.0	0.0	0.0	1.255970862400306	0.36359705153386185	0.0	0.0	0.0	0.5586895182285471	0.0	0.0
ERR1624550	1.0544450278898725	2.5554587478273416	0.26981663889541263	0.0	0.0	0.43498419779759673	0.0	3.4431674492955824	0.0	2.4196840904012475	0.43498419779759673	1.3691013137418848	0.6478917437411814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.644947257500429	2.1556841988783657	0.6478917437411814	0.0	0.0	0.26981663889541263	0.0	0.0	1.9570098606550737	0.0	2.0039382088010216	3.879596278264104	0.0	2.581716579576063	0.9420929226744109	0.0	2.373160742013412	1.5801942472839217	1.7356042445123074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7248086272693269	0.0	0.0	0.0	0.0	0.7248086272693269	0.0	0.0	0.0	0.26981663889541263	0.0	1.0201255198584358	0.0	2.200352757451679	0.26981663889541263	0.0	0.0	0.0	0.0	0.0	0.9420929226744109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43498419779759673	0.0	0.8970995136997802	1.3358834993231585	0.0	0.0	0.0	0.0	1.0862499820128677	0.0	0.26981663889541263	0.0	0.0	0.0	1.9226471410017678	0.0	0.43498419779759673	0.0	0.0	0.0	1.1696984675442625	0.0	0.0	0.0	0.0	0.9828594487326644	0.0	0.0	1.260691900143662	0.26981663889541263	0.0	0.0	0.0
ERR1624551	0.0	0.0	1.1056041831382846	0.0	0.27968027690538383	1.0736707565845431	0.0	3.478263165171224	0.0	3.4579547571042357	0.0	1.2595248502380323	1.2373690846740912	0.0	0.0	0.0	0.0	0.0	0.0	1.8652501544241078	0.27968027690538383	3.8953215316353247	2.9618514518099626	0.27968027690538383	0.0	0.0	0.0	0.0	0.0	1.3892639189688212	0.0	2.1523896234661293	0.5696284838854371	0.0	2.7556102115595844	0.0	0.0	0.27968027690538383	1.4890288676772516	2.194508941745962	0.0	0.0	0.6642877979867949	0.0	0.0	0.0	0.0	0.27968027690538383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27968027690538383	0.0	2.8768968380521165	0.0	0.0	0.0	0.27968027690538383	0.0	0.0	1.0736707565845431	0.0	1.6104320130502878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5696284838854371	1.214021981925133	0.0	0.27968027690538383	0.0	0.0	0.6642877979867949	0.0	0.0	0.0	0.0	0.0	2.046476166402816	0.4484151843842789	0.27968027690538383	0.0	0.4484151843842789	0.0	2.2236172967061005	0.27968027690538383	0.0	0.0	0.0	0.4484151843842789	0.0	0.0	0.7419620718208906	0.7419620718208906	0.0	0.0	0.27968027690538383
ERR1624552	0.0	0.7024437771814104	2.921838182161633	0.0	0.0	1.8104504184316932	0.0	2.6680294542489533	0.0	2.4039944165939278	0.0	1.1801413022441791	0.7024437771814104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3032043576304941	3.7244963731189493	2.7548386200430137	0.7817691625175153	0.0	0.0	0.3032043576304941	0.0	0.0	0.9581005474631175	0.0	2.2191554202163033	3.398787832245419	0.0	3.1442138505027195	0.0	0.0	0.0	1.2828642597196567	3.6742114712797047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0453380087802142	0.0	0.48001799154610486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9581005474631175	0.0	2.567807183932076	0.0	0.0	0.0	0.0	0.3032043576304941	0.0	1.548282595858076	0.0	0.0	0.0	0.0	0.3032043576304941	0.0	0.0	0.48001799154610486	0.0	0.0	0.0	0.48001799154610486	0.3032043576304941	0.0	0.0	0.0	0.3032043576304941	0.3032043576304941	0.3032043576304941	0.0	0.0	0.9068880059891161	1.595291810439688	0.3032043576304941	0.0	0.0	0.3032043576304941	0.0	1.0039060472737176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1801413022441791	0.0	0.0	0.0	0.0
ERR1624553	0.0	0.0	1.002827390595453	0.302603040156807	0.302603040156807	1.400955239102634	0.0	3.674312587399288	0.0	2.9045948071664194	0.0	1.7434462051813222	1.417993393739309	0.0	0.0	0.8477912095402702	0.0	0.0	0.0	1.980831078170722	0.302603040156807	3.9216421740045306	1.9524952588311573	0.0	0.0	0.302603040156807	0.0	0.0	0.6044174265854634	2.3494792911117797	0.302603040156807	2.1302218582239787	0.4792173837694382	0.0	2.170436459801509	0.302603040156807	0.0	1.0820608225250556	1.582841656336295	1.8543546867311242	0.0	0.0	1.1490448839467717	0.0	0.0	0.0	0.0	0.4792173837694382	0.0	0.4792173837694382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2334052304100276	0.6044174265854634	0.0	2.8850912767765298	0.0	0.0	0.0	0.7014841478845607	0.6044174265854634	0.0	1.2817292929059863	0.0	0.9058390870048284	0.0	0.0	0.0	0.302603040156807	0.0	0.302603040156807	0.6044174265854634	0.6044174265854634	0.302603040156807	1.5941247785345916	1.2334052304100276	0.0	0.0	0.0	0.302603040156807	0.0	0.0	0.0	1.9061912835359704	0.4792173837694382	2.078661077632189	2.714097443105753	0.0	0.0	0.8477912095402702	0.0	2.4860037023112684	1.2582390441180455	0.0	0.0	0.0	1.7020478299951203	0.0	0.0	0.6044174265854634	1.3454208382609456	0.0	0.0	0.0
ERR1624554	0.0	1.899943862778043	1.086474525166462	2.001857402226144	0.903199305855951	1.6740642857069423	0.0	3.3319973739113484	0.0	1.6192152614352966	0.0	0.9732394980980432	0.7161042543322977	0.0	0.0	0.0	0.0	0.0	0.0	0.7161042543322977	0.38028412401167055	3.9892186133996046	3.0194073098694765	0.0	0.0	0.0	0.38028412401167055	0.0	0.0	0.8196499421172901	0.0	2.482140098329745	2.0585498661342982	0.38028412401167055	3.093055908419775	0.0	0.0	2.2914931454216574	0.0	3.019988528235396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8157007718936489	0.0	0.38028412401167055	0.0	0.0	0.0	0.8196499421172901	0.38028412401167055	0.0	1.3139860900597777	0.0	0.0	0.0	1.6335904841537217	0.0	0.0	0.0	0.0	0.38028412401167055	0.0	2.220755201447696	0.0	0.7161042543322977	0.0	0.0	0.0	0.38028412401167055	0.0	0.0	0.7161042543322977	0.38028412401167055	0.0	0.38028412401167055	0.5798756564368536	0.0	0.0	0.0	0.0	0.0	0.38028412401167055	0.0	0.0	0.0	0.38028412401167055	0.0	0.0	0.0	0.0	0.0	1.734121915414355	1.394571577474938	0.0	0.0	0.0	0.8196499421172901	0.0	0.0	2.3935241239776968	1.4829944081210369	0.0	0.0	0.0
