bugName	pval	p1M	p6M	s1M	s6M	Adjustedpval	Adjustedp1M	Adjustedp6M
Streptococcaceae	2.54081156114694e-09	1.78831192306847e-09	1.74164475542229e-06	0.995441834893839	0.920998881755313	3.35387126071396e-07	2.36057173845038e-07	0.000229897107715743
Unclassified Micrococcales Order	3.74076742915008e-08	1.72805707407644e-08	3.3053629207346e-05	0.891269325482568	0.755449750059585	2.46890650323905e-06	1.14051766889045e-06	0.00218153952768483
Actinomycetaceae	2.59656657064511e-07	7.41417541111705e-08	0.000438726856416968	0.757203583431943	0.564026561454759	1.14248929108385e-05	3.2622371808915e-06	0.011582389009408
Fusobacteriaceae	1.7639261260527e-06	3.40092668719934e-07	0.0165037922744907	1.10509932172164	0.561454098675741	5.14404578004779e-05	1.12230580677578e-05	0.242055620025864
Enterobacteriaceae	2.09926851135744e-06	1.19715795349314e-06	0.000277076901980165	1.42619818836864	1.25842827881199	5.14404578004779e-05	2.63374749768492e-05	0.00914353776534545
Unclassified Bacillales Order	2.33820262729445e-06	4.49104028841132e-07	0.0816134219382167	0.851999743272982	0.314190220622478	5.14404578004779e-05	1.18563463614059e-05	0.385369757206967
Micrococcaceae	7.30714287067169e-06	3.90562870061647e-06	0.000605590715705386	0.585584233752087	0.524193341242416	0.000137791836989809	6.40201023042175e-05	0.0133229957455185
Acholeplasmataceae	1.02543103568387e-05	2.28138162606548e-06	0.212926777807763	0.735568818065827	0.213283308774298	0.000169196120887838	4.30203392343776e-05	0.619433280498617
Unclassified Bacilli Class	2.0383988795003e-05	4.36500697528756e-06	0.0240590808753054	0.606296063966429	0.334388464576189	0.000298965168993378	6.40201023042175e-05	0.258075069318434
Ruminococcaceae	0.000256537171662297	6.74358427480703e-05	0.0254164840995428	-0.465382940968231	-0.314866767471641	0.00338629066594232	0.000890153124274528	0.258075069318434
Lachnospiraceae	0.000351125657028328	0.0336391515384653	9.26216998577985e-05	-0.107514321492193	-0.284812551869082	0.00421350788433994	0.130599058914042	0.00407535479374313
Unclassified Enterobacterales Order	0.000841197629418144	0.000244502300116391	0.0376752857438304	0.296067490493907	0.197962708050114	0.00925317392359959	0.00293402760139669	0.303672191593281
Atopobiaceae	0.00139771383381948	0.000355512168030469	0.0700574140121378	0.492150816898179	0.306203197338153	0.0141921712357055	0.00391063384833516	0.369903145984088
Corynebacteriaceae	0.00216538781443187	0.000614978959041106	0.0540016614120087	0.295380819995782	0.207252755412108	0.0193228796096811	0.00624440173795585	0.323541166674777
Unclassified Clostridiales Order	0.0021957817738274	0.000814122520199148	0.0292849280526412	-0.270756941737053	-0.21867078438543	0.0193228796096811	0.00767601233330625	0.276115035924903
Unclassified Firmicutes Phylum	0.00385683823501293	0.00094535525606829	0.207037197108254	-0.398415594149199	-0.187325189561398	0.0311525720844953	0.00831912625340095	0.619433280498617
Erysipelotrichaceae	0.00401207367754863	0.00102738078291277	0.137025925958441	-0.562592631022904	-0.311903990455284	0.0311525720844953	0.00847589145903039	0.531983006662182
Planococcaceae	0.00722996702235834	0.00426702182707951	0.0211276403182462	0.294506536064528	0.31039671432857	0.0506320452725908	0.0296445726933945	0.258075069318434
Unclassified Verrucomicrobiales Order	0.00728794591044868	0.0760815940698264	0.00238325927852735	0.142909562894512	0.337788966895759	0.0506320452725908	0.225916221047281	0.0449414606808014
Pasteurellaceae	0.00848172382755186	0.00219804219350887	0.308036748435111	0.461461231634283	0.188562990641394	0.0559793772618423	0.0170671511495983	0.619433280498617
Clostridiaceae	0.01065718522913	0.00456066879406969	0.048647495827604	0.473317236905999	0.418974148553581	0.065576341824283	0.0301004140408599	0.321073472462187
Aeromonadaceae	0.0109293903040472	0.00551156786808556	0.0390618443836231	0.334427454520035	0.309307888989969	0.065576341824283	0.0346441408851092	0.303672191593281
Akkermansiaceae	0.0123104511354706	0.187911111903141	0.00337862491278286	0.354228985878597	1.11981163428358	0.0706512847774833	0.406627324118273	0.0557473110609171
Pectobacteriaceae	0.0139691494621688	0.00400346404760828	0.176309487869413	0.31662024077013	0.181473256512782	0.0768303220419282	0.0293587363491274	0.619433280498617
Enterococcaceae	0.0238324941290654	0.0135760497559199	0.0460249306412283	0.334945142070793	0.35406627613843	0.118572030216583	0.0740096754294555	0.319752149718007
Peptococcaceae	0.0241504407815685	0.0159607294970628	0.0391092974021649	-0.232714269593568	-0.259459497291598	0.118572030216583	0.0810313959081651	0.303672191593281
Chitinophagaceae	0.0242533698170284	0.026745668347803	0.403109428916396	0.0964263126085042	-0.0467627198504774	0.118572030216583	0.117680940730333	0.667963599918028
Bernardetiaceae	0.0260840010826574	0.0121048656447414	0.944341248641474	-0.077169588969991	0.00272331613198384	0.118932778060906	0.0694714028306898	0.960536685463602
Bacillaceae	0.0261291709376232	0.0117637111452165	0.0687081955495404	0.31378412858741	0.295582378212787	0.118932778060906	0.0694714028306898	0.369903145984088
Clostridiales Family XIII. Incertae Sedis	0.030964525380035	0.0140169839828514	0.0766743084780461	0.383884993007531	0.3597674440159	0.136243911672154	0.0740096754294555	0.385369757206967
Thermoanaerobacteraceae	0.0374433200634108	0.0200917505443783	0.810400310349988	-0.0820612983489819	0.0107952303191325	0.155725960323515	0.0982263359947385	0.904471118807159
Unclassified Actinobacteria Phylum	0.0377517479572158	0.0694631619868245	0.24732575259071	-0.216411237548073	0.18163484655368	0.155725960323515	0.213235753075833	0.619433280498617
Deinococcaceae	0.050777778714761	0.988341549402791	0.023131574111251	-0.00110957618905043	0.243311903855488	0.203111114859044	0.988341549402791	0.258075069318434
