bugName	pval	p1M	p6M	p1Y	s1M	s6M	s1Y	Adjustedpval	Adjustedp1M	Adjustedp6M	Adjustedp1Y
Planococcaceae	1.24226452680176e-06	9.25523647629037e-07	0.000613613169141751	5.28229723303623e-05	-0.241963488689991	-0.183013762835902	-0.255908668941923	2.18484976939474e-05	1.42639526869887e-05	0.00945686178324346	0.00119649241620832
Ignavibacteriaceae	1.25086818858477e-06	6.64682788744159e-08	0.00554087336632263	0.00495215680997693	-0.469865844461282	-0.254565356643319	-0.301748561124652	2.18484976939474e-05	2.23792621560959e-06	0.0367283522459257	0.022944557569256
Tissierellaceae	1.63714785927915e-06	9.59511924383924e-07	0.000442767187818539	0.000118408581417828	-0.272723386219681	-0.211958161070128	-0.272960315142533	2.72060676339844e-05	1.43652642393479e-05	0.00859296320062645	0.00182488519596888
Methanocaldococcaceae	1.74398409202858e-06	1.22351264377722e-07	0.0107189193880439	0.00209094618947429	-0.322944211412281	-0.16382045084437	-0.232751382745963	2.72060676339844e-05	3.56178125188478e-06	0.055065821169951	0.0132006723287292
Coprothermobacteraceae	1.74653763440613e-06	4.0346598485355e-07	0.000115072045235267	0.00351618799861417	-0.429688330660778	-0.356427518255369	-0.308715531239282	2.72060676339844e-05	8.13139138704846e-06	0.00389398968460807	0.0184955046474172
Methanocorpusculaceae	1.79317693360659e-06	5.90184491527063e-07	0.000139795756065576	0.0011711611577996	-0.304526353550535	-0.252073702696317	-0.24686358848868	2.72060676339844e-05	1.03085557853394e-05	0.00389398968460807	0.0090885438893932
Kosmotogaceae	1.81719917402567e-06	4.40899404725138e-07	0.00235653664779755	0.00021554723525725	-0.305680571464061	-0.19681867447175	-0.283453113738018	2.72060676339844e-05	8.55671437318416e-06	0.0199165355394503	0.00297228292828419
Thermoanaerobacteraceae	1.95214222742379e-06	1.0893373368125e-06	0.00274969137978522	5.68600635775662e-05	-0.239273163484358	-0.158028378804834	-0.253863123621871	2.8414514643613e-05	1.54273720132365e-05	0.0221667428154993	0.00119649241620832
Natranaerobiaceae	2.11999600230328e-06	5.47419208694493e-06	0.00112431683468632	1.57393121166041e-05	-0.297150543729689	-0.229609444664878	-0.361002199022294	3.00237271677546e-05	4.21834801993992e-05	0.0130920449194585	0.000719178724904087
Halobacteroidaceae	2.23163574408769e-06	6.16696725584681e-06	0.000141194282457163	3.9139761091482e-05	-0.264838965579358	-0.24716761372786	-0.314567914987881	3.07730823658408e-05	4.68332006096193e-05	0.00389398968460807	0.000932237945997117
Listeriaceae	2.40001662032974e-06	3.3348151490582e-06	0.00115417005117657	2.93003360080863e-05	-0.25759166588317	-0.195600543487315	-0.29985421631938	3.20041183126436e-05	3.01283299673534e-05	0.0131069992018122	0.00076277174088493
Gottschalkiaceae	2.46980021456622e-06	6.17899427586786e-07	0.000185446609805812	0.00163543158185419	-0.339681178120213	-0.278222709601425	-0.270609455283878	3.20041183126436e-05	1.04444935501766e-05	0.00462733445420217	0.010712076861145
Veillonellaceae	2.55367330947998e-06	6.67144844313329e-06	0.000570014266332651	2.33321342049036e-05	0.498292691846688	0.415701847695033	0.604704825599346	3.20041183126436e-05	4.92371687915752e-05	0.00933398361119716	0.000719178724904087
Pseudoalteromonadaceae	2.56521558994471e-06	2.46171814313426e-07	0.0342898869035848	0.00123072552345579	-0.265644325960091	-0.114469865560755	-0.20803019293869	3.20041183126436e-05	6.1425728904874e-06	0.117992502867049	0.0092128596327262
Waddliaceae	2.63800745825549e-06	5.72660640468911e-07	0.000922273223718053	0.000452110692463086	-0.366177955509635	-0.262829550963387	-0.32705086580253	3.21468815843227e-05	1.03085557853394e-05	0.0115064564101967	0.00438714820093809
Akkermansiaceae	3.76494587983611e-06	0.102238507267106	3.27657791611503e-07	0.00490411933433216	0.319275045756951	1.2197576418568	0.741167474577351	4.48370827507755e-05	0.122312734721378	4.9177614544761e-05	0.022944557569256
Carnobacteriaceae	3.9434870411359e-06	0.000320808949445577	0.000352246768493717	2.80387560401129e-06	-0.190669155805272	-0.213180484818963	-0.33580810378698	4.48424323185037e-05	0.000908669673024228	0.00802510029090034	0.000261640247788745
Vibrionaceae	3.99185093002963e-06	2.0039430336664e-06	0.001809607174015	0.000116107981312084	-0.217179866277524	-0.154573639213692	-0.226913126498449	4.48424323185037e-05	2.21831139890949e-05	0.0169327528425689	0.00182488519596888
Nostocaceae	4.02212656291923e-06	1.44364029575698e-06	0.000898207611607047	0.000331620865878471	-0.254492937807896	-0.189633538147357	-0.240304142076753	4.48424323185037e-05	1.80111313089681e-05	0.0114795314263925	0.00354631293306773
Saccharospirillaceae	4.29541374713516e-06	3.25172900442571e-06	0.000433293000831577	0.00017850373302264	-0.246539277809996	-0.203592859666467	-0.254132337390627	4.68916000728921e-05	2.98930876898083e-05	0.00859296320062645	0.00259822100288509
Paenibacillaceae	5.74756666771314e-06	1.73871368515229e-06	0.00248952048864943	0.000301575507647582	-0.235192354160124	-0.160466564389278	-0.226614998638985	6.14637741608508e-05	2.04825358371811e-05	0.020706487873846	0.00343533839146376
Piscirickettsiaceae	6.59350059162289e-06	3.55983168006215e-07	0.0148073987648502	0.00939558567063745	-0.238989143883603	-0.121016087847898	-0.150998716652234	6.8776714383386e-05	7.46140720141028e-06	0.0641876101250651	0.0381650146621242
Blattabacteriaceae	6.69391685792498e-06	7.12425662208415e-07	0.0204948075562351	0.00130383633714367	-0.278900497790729	-0.138522689534839	-0.22828888120322	6.8776714383386e-05	1.13124559696124e-05	0.0805951016066826	0.00923257081977413
Staphylococcaceae	8.36736148512873e-06	2.21682701667744e-06	0.00158914227362418	0.000646097713170273	-0.245153670598195	-0.177032760972604	-0.224296286959687	8.38956646699663e-05	2.29063687071666e-05	0.015711519837341	0.00583715865002109
Unclassified Tenericutes Phylum	8.48563020516835e-06	5.28196047791314e-06	0.0131096711740727	9.01705892273523e-05	-0.323585579298662	-0.189211094173926	-0.358411792183486	8.38956646699663e-05	4.16711627428963e-05	0.0610696564638406	0.00152417383081073
Calotrichaceae	8.88927876596668e-06	2.95188729449682e-06	0.00575967473561617	0.000254004240684617	-0.272663312905135	-0.173327662303679	-0.272883568205681	8.62589272845656e-05	2.86442396725247e-05	0.0367283522459257	0.00324629810045705
Coxiellaceae	9.09129731874181e-06	1.71723321040929e-05	0.000490391793905494	9.79661559524953e-05	-0.244378283921702	-0.218213283745465	-0.28675887836647	8.66152690003765e-05	9.67559357262867e-05	0.00865306148469495	0.00160419580372211
Anaplasmataceae	9.721872431534e-06	6.52777743972908e-06	0.000758168221853675	0.00023580282938485	-0.24119894887853	-0.197980123157308	-0.254558472666844	9.09689491807824e-05	4.88650768345434e-05	0.0101866704679827	0.00308901706494153
Moraxellaceae	1.00555750610631e-05	1.34704526818205e-06	0.00608913376536632	0.00119677390909949	-0.200672228408193	-0.122474195779915	-0.170793435223854	9.24407251227559e-05	1.76462930131848e-05	0.0374785909379489	0.0090885438893932
Methanosarcinaceae	1.03164118935295e-05	2.17952101946504e-06	0.00141491106436507	0.00118434882982335	-0.229959674559886	-0.16821619744991	-0.199873088328191	9.27032720895769e-05	2.29063687071666e-05	0.0151308856679041	0.0090885438893932
Ktedonosporobacteraceae	1.0437963842147e-05	1.98834190596929e-06	0.00117562779100224	0.00151785545258659	-0.285374604367483	-0.21218329267495	-0.242280904943262	9.27032720895769e-05	2.21831139890949e-05	0.0131069992018122	0.0103293020409789
Helicobacteraceae	1.07355028622358e-05	1.64309969299132e-06	0.00648435080897687	0.000987480077013958	-0.235663825191834	-0.143747205128369	-0.205461046511501	9.37567249968592e-05	2.00228892820338e-05	0.0390551703896998	0.00796060862085098
Spirochaetaceae	1.24194766353281e-05	2.0320409761003e-06	0.0100993488022627	0.000863740817083312	-0.229343905958321	-0.132986975164668	-0.203897608029701	0.000106685340277244	2.21831139890949e-05	0.0533444064371474	0.00741967521560091
Candidatus Midichloriaceae	1.26809013805129e-05	6.42794811125536e-07	0.0123174974733202	0.0215669851088454	-0.374452134544085	-0.20038719240493	-0.214327229627767	0.000107174069732077	1.05257650321807e-05	0.0592143915231172	0.0706318762314686
Vallitaleaceae	1.34284998499767e-05	1.1127445148587e-05	0.000751950519460137	0.000264829346196206	-0.308748389256694	-0.259950454931914	-0.330228549822165	0.000111691014625203	7.11070885104829e-05	0.0101866704679827	0.00330406136682886
Sulfolobaceae	1.38722328272278e-05	3.31593940040397e-05	0.000155251849263816	0.000287943271057139	-0.266322153995855	-0.27032707663577	-0.300724464699204	0.000113578906272928	0.000160884467204785	0.00406759845071198	0.00343533839146376
Mesoaciditogaceae	1.4516484257765e-05	5.32818302246956e-06	0.000720596515435948	0.000898013001230854	-0.316322898599775	-0.25801472717426	-0.295866717319461	0.00011702519617029	4.16711627428963e-05	0.0101866704679827	0.00758965826846721
Chloroflexaceae	1.62125399822965e-05	2.22943664897995e-06	0.00202940176045322	0.00356497322402507	-0.304956637024343	-0.215064273688853	-0.236232004608106	0.000128717741677627	2.29063687071666e-05	0.0186562547803068	0.0184955046474172
Unclassified Chroococcales Order	1.94457399357306e-05	3.9217109878208e-06	0.000679661310129763	0.00465460884764672	-0.473785065060089	-0.382432091520415	-0.368331500269174	0.000152083100392878	3.4249609293635e-05	0.0100497759580503	0.0227945330482886
Unclassified Halanaerobiales Order	2.0671303143649e-05	9.66125635848235e-06	0.00210451272186533	0.000424116222742812	-0.268344869893201	-0.203287502900596	-0.274339236412506	0.000159290630106942	6.64052046306e-05	0.0190131839009902	0.00419314907013648
Chamaesiphonaceae	2.18764324553256e-05	1.43278726551347e-06	0.0582689815543149	0.0093166816601268	-0.320448822467482	-0.133404763026612	-0.216127974452598	0.000166134066762182	1.80111313089681e-05	0.169627479635895	0.0381650146621242
Peptococcaceae	2.23483996671936e-05	7.08892830506747e-06	0.0061510664516481	0.000462497451438915	-0.225189251622297	-0.14874261720111	-0.225336765368353	0.000167293734651563	5.15916448868799e-05	0.0374785909379489	0.00440633935552712
Oceanospirillaceae	2.7780553015555e-05	4.24600030539765e-06	0.0147213727983615	0.00124956974286307	-0.220357765109249	-0.126128524561991	-0.1980992267416	0.000205028306762688	3.58855509681995e-05	0.0641876101250651	0.00922217669380628
Methanospirillaceae	2.88427080139542e-05	9.1667738597707e-06	0.000396602724830684	0.00576293775818987	-0.311185648307062	-0.273843963879698	-0.245225355208478	0.000209910819434889	6.40451933669313e-05	0.00859296320062645	0.0258100802161666
Cyanobacteriaceae	3.07568132400515e-05	4.02605407077693e-06	0.00873902315440801	0.00254059742317374	-0.323737951875762	-0.197551599958864	-0.266713317371798	0.000220774933394342	3.45844644768379e-05	0.0492392272355892	0.0153019890775062
Borreliaceae	3.21360363561007e-05	1.43016199988976e-05	0.00956960786684176	0.00032965464349324	-0.273267154162633	-0.176345537743037	-0.290258214342052	0.000227557879062119	8.69896256543401e-05	0.0522341096065112	0.00354631293306773
Dictyoglomaceae	3.42550524037311e-05	1.01317449502217e-05	0.00127931289010603	0.00171783162217223	-0.278116581212281	-0.222809467264968	-0.253126825435165	0.000239328632794068	6.80645429989251e-05	0.0139658323836575	0.011112886049608
Aphanothecaceae	3.56896785431715e-05	9.75801671098512e-06	0.00224489234766506	0.00137076053183855	-0.226945678514607	-0.171297429806291	-0.210181821093907	0.000246070941534498	6.64052046306e-05	0.0196053931696082	0.00957704691577868
Deferribacteraceae	3.74614752794988e-05	3.20098562588799e-06	0.0222258236653304	0.00497166876657683	-0.232892766636769	-0.1227453219976	-0.177872764405435	0.000253984041412249	2.98930876898083e-05	0.0850097197126507	0.022944557569256
Spiroplasmataceae	3.78067847903729e-05	1.82442178355899e-05	0.0131696014893397	0.000301502891024821	-0.298766824839709	-0.186754838676657	-0.324113893044385	0.000253984041412249	0.000101701810062225	0.0610696564638406	0.00343533839146376
Unclassified Verrucomicrobiales Order	4.01971294585746e-05	0.0526150776687661	2.65297376540517e-06	0.0137297510767849	0.301803687488785	0.880531261924877	0.513730174039968	0.00026662399792776	0.066918205578722	0.000198594036153187	0.0499610386405229
Chroococcaceae	4.56583436936331e-05	3.07198591207676e-06	0.0687984397440878	0.0120391480844079	-0.2934146160687	-0.122032839891703	-0.198805312478173	0.000299062151193297	2.92676475986949e-05	0.191757353329266	0.0453849899009335
Fibrobacteraceae	5.053308997649e-05	2.38802922722672e-06	0.0567956705526273	0.0765879732138974	-0.248690922142772	-0.107225277215801	-0.116481476220456	0.000326905421576306	2.3609949340883e-05	0.167225760012599	0.174105123471001
Entomoplasmataceae	5.58630779560199e-05	0.000104241382014674	0.0388866096473005	7.35183580941962e-05	-0.260304127796271	-0.150792004165345	-0.350269216430067	0.000356978693279932	0.000392180761405291	0.130619124712727	0.00132192534561709
Unclassified Methanococcales Order	6.24320719126992e-05	3.74123344151625e-06	0.0231001798671607	0.021305295473965	-0.392235268475816	-0.20659191818389	-0.244792709430636	0.000394149466051257	3.32272258195681e-05	0.0870826924488648	0.0702136781657714
Halobacteriovoraceae	6.36499886885744e-05	1.15448482205081e-05	0.00107413249022688	0.0143714266938706	-0.280203701953818	-0.22965577365401	-0.197874136561675	0.000397054691343012	7.2885547801762e-05	0.0127919414745201	0.0517549905568481
Unclassified Actinobacteria Phylum	6.71734736201746e-05	4.35262716750598e-06	0.0206939951554683	0.270761076898412	-0.387469795891422	-0.209227908120588	-0.114761894140746	0.00041410470796437	3.62028037424307e-05	0.0805951016066826	0.437897544119653
Unclassified Candidatus Saccharibacteria Phylum	7.25399746233091e-05	0.076299835539961	0.143139092710616	0.00067713591636373	0.127740002385117	-0.11911329264194	-0.333260718288556	0.000441348025524818	0.0940732089951519	0.319317632686776	0.00601388508770499
Fusobacteriaceae	7.38000013769113e-05	1.04663698041677e-05	0.00177038637081001	0.018285471155057	0.465265432433624	0.360892100553051	0.31379134205128	0.000441348025524818	6.88984239835338e-05	0.0168669537873535	0.0622559223965756
Methylophilaceae	7.41195157369923e-05	4.81642694457058e-06	0.0454893659215341	0.0151253868047314	-0.222606961581982	-0.104347648917258	-0.149112440640068	0.000441348025524818	3.88278110608459e-05	0.144882741898517	0.0539163448005392
