bugName	pval	p3M	p1Y	s3M	s1Y	Adjustedpval	Adjustedp3M	Adjustedp1Y
Proteobacteria	6.19104534260728e-06	4.05735355872354e-06	4.658265498747e-05	0.707294473861243	0.649234185922804	0.000266214949732113	0.000174466203025112	0.00200305416446121
Verrucomicrobia	0.0427349127642267	0.0775693679263201	0.0179981083034712	0.484969378138419	0.772215253589378	0.918800624430874	0.763137706087186	0.38695932852463
Crenarchaeota	0.150027773744543	0.0907944796384591	0.117284656793244	-0.172283706951881	-0.183650374617974	0.984903347241521	0.763137706087186	0.7566080520116
Thermotogae	0.187566236166071	0.234753324769309	0.0823355402669887	-0.110386347403648	-0.191697886765328	0.984903347241521	0.763137706087186	0.7566080520116
Spirochaetes	0.195936118904213	0.192111290158453	0.098950423403237	-0.117539135717911	-0.177077892893379	0.984903347241521	0.763137706087186	0.7566080520116
Candidatus Bipolaricaulota	0.257865454317137	0.238673320168375	0.128902694320032	0.173280567802877	0.260346194575076	0.984903347241521	0.763137706087186	0.7566080520116
candidate division Zixibacteria	0.263730998134467	0.250794262126082	0.13109259988839	0.130255034701123	0.201757333255307	0.984903347241521	0.763137706087186	0.7566080520116
Bacteroidetes	0.270076290967468	0.161843692280137	0.191301884211666	-0.108553775128603	-0.115498376909982	0.984903347241521	0.763137706087186	0.771585012760662
Thaumarchaeota	0.322008837871456	0.431300221627737	0.140764288746344	-0.0805358507446963	-0.178141386465479	0.984903347241521	0.808212078513427	0.7566080520116
Coprothermobacterota	0.322393279068816	0.145178580240222	0.390545594265521	-0.178236181732719	-0.12010999722158	0.984903347241521	0.763137706087186	0.887099552773871
Chlamydiae	0.32685707207685	0.17398139818481	0.274717097739983	-0.115578277553553	-0.106797290274856	0.984903347241521	0.763137706087186	0.848680196220496
Candidatus Saccharibacteria	0.344087156033011	0.152774825937186	0.447809545327067	0.172948885842258	0.103806961997561	0.984903347241521	0.763137706087186	0.887099552773871
Fusobacteria	0.377569149863782	0.378616898585653	0.180783198424818	0.106113617938441	0.184472382835124	0.984903347241521	0.775263173294432	0.771585012760662
Firmicutes	0.395141361778753	0.203858205913908	0.905817800988465	-0.100964884393235	-0.0104883304357905	0.984903347241521	0.763137706087186	0.964768868212943
Tenericutes	0.407346159235068	0.187213004240233	0.53631878311371	-0.122473117576525	-0.0654907006250812	0.984903347241521	0.763137706087186	0.926886408339187
Synergistetes	0.408411691416807	0.432299483856019	0.197382212566681	0.087598015677415	0.170384340439907	0.984903347241521	0.808212078513427	0.771585012760662
Candidatus Korarchaeota	0.408970480508195	0.191865936923548	0.723322455985934	-0.260216318163995	-0.0797094889342653	0.984903347241521	0.763137706087186	0.964768868212943
Nitrospirae	0.471986911150648	0.35494777027311	0.276314482490394	-0.0844274361401691	-0.116454548384977	0.984903347241521	0.763137706087186	0.848680196220496
Thermodesulfobacteria	0.50595381276734	0.298569044231641	0.377236018869337	-0.108270931361125	-0.105884052789365	0.984903347241521	0.763137706087186	0.887099552773871
Euryarchaeota	0.522779554858591	0.508424559075399	0.272616559644248	-0.069396796932305	-0.136221609075584	0.984903347241521	0.810148538365175	0.848680196220496
Aquificae	0.523783761281597	0.267824610315644	0.540920003579628	-0.0883937031768924	-0.0558888608478441	0.984903347241521	0.763137706087186	0.926886408339187
Deferribacteres	0.557999082328649	0.3442646918327	0.402978642341368	-0.104568098476314	-0.106951892216118	0.984903347241521	0.763137706087186	0.887099552773871
Chrysiogenetes	0.588692599559566	0.338497203937119	0.951385250070717	0.0818828891701146	0.00600515957024895	0.984903347241521	0.763137706087186	0.964768868212943
