bugName	pval	p6M	p1Y	s6M	s1Y	Adjustedpval	Adjustedp6M	Adjustedp1Y
Lachnospiraceae	0.00249826747502468	0.0984119240125197	0.000711395599779125	-0.15310894900669	-0.41312453335568	0.484663890154789	0.726228649859119	0.13801074635715
Unclassified Planctomycetes Phylum	0.00696278182269339	0.0020674711216174	0.154951719285833	-0.414766227679	-0.159908102289311	0.59231341772514	0.401089397593775	0.63958794769046
Rikenellaceae	0.0136236282076909	0.0455550008817609	0.00528914642706513	0.549183517977158	0.872750081819163	0.59231341772514	0.726228649859119	0.343219950601971
Sporomusaceae	0.0166608847997468	0.0741856500396186	0.0773285785102563	0.339784576251699	-0.343763974177444	0.59231341772514	0.726228649859119	0.622589316756862
Orbaceae	0.0212537793019089	0.149737865950334	0.0524301593428156	-0.136217126885276	0.197101309323763	0.59231341772514	0.726228649859119	0.577902310016477
Unclassified Firmicutes Phylum	0.0214331202792173	0.509885888606718	0.00767712119131638	-0.150968612247403	-0.763656153754293	0.59231341772514	0.867700547278099	0.343219950601971
Unclassified Actinobacteria Class	0.0246692109681256	0.0590536931838073	0.0102211723013817	-0.209119182263304	-0.317517246412547	0.59231341772514	0.726228649859119	0.343219950601971
Acidaminococcaceae	0.0284942875010687	0.232232258871033	0.00917432670385743	0.49748383790024	1.28486138071455	0.59231341772514	0.764085573495187	0.343219950601971
Enterobacteriaceae	0.0311577252690832	0.0257624325706091	0.0219012300236716	1.03069277419607	1.11689811505328	0.59231341772514	0.726228649859119	0.429003891301077
Eggerthellaceae	0.0324143392341596	0.337723238290917	0.0106150500186177	-0.178918213384023	-0.56582633532207	0.59231341772514	0.784300738306791	0.343219950601971
Erysipelotrichaceae	0.0354426646302043	0.0229335354546852	0.0346855735178206	-0.804573002032084	-0.755842230135207	0.59231341772514	0.726228649859119	0.448600084163813
Ardenticatenaceae	0.0407347668879998	0.136511925414084	0.0147919360817125	0.141733800574794	0.260391613889099	0.59231341772514	0.726228649859119	0.409947942836031
Geobacteraceae	0.0459567221338587	0.900173668913379	0.0242593262666014	0.0379074572908244	-0.797155227440233	0.59231341772514	0.97595863856404	0.429003891301077
Ferrimonadaceae	0.0463957463317749	0.0230704461755689	0.0565986798469746	0.406982762777204	0.342158794976801	0.59231341772514	0.726228649859119	0.577902310016477
Thermoactinomycetaceae	0.0476950985979293	0.048695690782455	0.0265105349929841	-0.234869875057289	-0.284590623928125	0.59231341772514	0.726228649859119	0.429003891301077
Aeromonadaceae	0.0488505911525888	0.0469322763057736	0.0309560066343539	0.503809073237213	0.572723521300793	0.59231341772514	0.726228649859119	0.429003891301077
Anaerolineaceae	0.0568571647317002	0.0429032971679535	0.677446319341949	0.351665499836564	-0.0679637116727971	0.648840585761755	0.726228649859119	0.905430923258615
Akkermansiaceae	0.0602434139632158	0.0336512631688162	0.0646634707651655	1.27729792913518	1.10961767100619	0.649290128270214	0.726228649859119	0.602165663297308
Tannerellaceae	0.0657437706898345	0.258515897314136	0.022897574346691	0.563002498031226	1.30252277495077	0.671278500727784	0.783626313733474	0.429003891301077
Unclassified Enterobacterales Order	0.0732085396093889	0.0511463447568612	0.0549401978639868	0.472066533392366	0.481245647827992	0.683317191726396	0.726228649859119	0.577902310016477
Leptotrichiaceae	0.0818024196117575	0.450721842973841	0.0297532113728098	0.164476019051059	0.554508035577928	0.683317191726396	0.861148811773392	0.429003891301077
Rhodanobacteraceae	0.0833535804232145	0.737440891397861	0.055905593720283	-0.0298250758057686	0.194522987031581	0.683317191726396	0.934908448950987	0.577902310016477
Acidothermaceae	0.0853921189825515	0.0334261554377647	0.185823868054693	-0.464752678223998	-0.273022075148763	0.683317191726396	0.726228649859119	0.722462544771251
Pasteurellaceae	0.0866864428243047	0.365700258878115	0.0309590437021396	0.351715939721103	0.974041367527038	0.683317191726396	0.79969240089578	0.429003891301077
Sterolibacteriaceae	0.0880563391399994	0.0714885735018849	0.595018120227419	0.161715028727403	-0.0457670255928614	0.683317191726396	0.726228649859119	0.88795011787784
Eubacteriaceae	0.0989222855303615	0.138736272528075	0.320194853598054	0.306631433186842	-0.205669461387259	0.712140687943139	0.726228649859119	0.822541098398024
Veillonellaceae	0.110859275646451	0.0443895543825005	0.692095436781588	0.69139280050544	0.125043626619819	0.712140687943139	0.726228649859119	0.905430923258615
Clostridiaceae	0.117592945100975	0.054932068210365	0.150654632600832	0.396436116560159	0.290766412917612	0.712140687943139	0.726228649859119	0.635369537490467
Fusobacteriaceae	0.121362184084715	0.0821276439371885	0.0830238874091237	0.978751428087201	1.02012736847006	0.712140687943139	0.726228649859119	0.622589316756862
Unclassified Rhizobiales Order	0.141543953802507	0.0920698553145954	0.795981452417757	0.260149052543248	-0.038766053651262	0.712140687943139	0.726228649859119	0.933462973412892
Thermotogaceae	0.15007881178782	0.210647551638773	0.356482402192373	0.191819878781606	-0.144984672817321	0.712140687943139	0.764085573495187	0.822541098398024
Unclassified Flavobacteriales Order	0.154739906585357	0.0827954964785716	0.140027863683674	0.471227354226818	0.407985366612362	0.712140687943139	0.726228649859119	0.628768561376378
Staphylococcaceae	0.160878493667613	0.144508305625848	0.556607721133238	0.468617177455164	-0.187866379010182	0.712140687943139	0.726228649859119	0.874459949539639
Unclassified Candidatus Cloacimonetes Phylum	0.161722292354641	0.132784974532646	0.59100424798988	-0.177147043370141	0.0622812291670859	0.712140687943139	0.726228649859119	0.88795011787784
Budviciaceae	0.1631175995862	0.599947588413224	0.0662975490203761	0.0413974356006658	0.164734824806125	0.712140687943139	0.888884558472535	0.602165663297308
