SAMPLE_ID	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Balneolaeota	Calditrichaeota	Candidatus Bipolaricaulota	Candidatus Cloacimonetes	Candidatus Gracilibacteria	Candidatus Korarchaeota	Candidatus Micrarchaeota	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Chrysiogenetes	Coprothermobacterota	Crenarchaeota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Dictyoglomi	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Lentisphaerae	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thaumarchaeota	Thermodesulfobacteria	Thermotogae	Verrucomicrobia	candidate division Zixibacteria
ERR1305877	3.686132944970865	5.677223407470425	3.0323198505180193	2.884310853999544	6.629611406875533	2.6141385869996476	2.451704510098247	1.9610286957405108	2.2756345628043038	1.807500743381473	1.4933063550858692	0.2949574997914449	2.9590579961571137	2.995528857906863	3.6629997684349678	3.7936113830530904	2.4271466949104634	1.8855529822621815	2.959984957540576	4.335567666701515	3.0815506717794023	3.919177360747689	2.1639428454150296	2.6788756505382176	4.267778498567376	2.9405751666699196	6.854606701612601	3.821491404068874	3.1747332954900407	2.669939760011825	2.8365911659225738	2.92479934268172	3.0537325318225736	4.329243553572535	6.119083070210389	4.01796483698615	3.4810914862768074	3.7730295617387126	2.7120681690197173	2.8125639268398346	3.383449667616534	4.164497477881229	2.101807659100847
ERR1305878	3.6528078339237884	5.657858651404144	2.927200861308657	2.833399675026113	6.831670267788773	2.347060104664763	2.549020137351119	1.6983841785804117	2.176461476690379	1.9686691886045249	0.8341223495411951	0.33547031745658473	3.1041173497601173	2.7223113544594493	3.6157027855534087	3.777722419896697	2.6077513995563826	1.9950434473768521	2.8443976894149046	4.2275330118185455	2.7660638954905217	3.9190642738137687	2.1994352510623267	2.4371549564157946	4.532636061370271	2.805809254728629	6.562290106737417	3.7108721085049354	3.1842359351713965	2.691515622408897	2.7392392519833613	2.8857996992998625	3.114735764904001	4.2964876303901995	6.361389318589942	3.9061950878626046	3.5412727221523963	3.7059209774651296	2.5833578384612146	2.6873780574970088	3.3063633683116107	4.493897722258193	1.9105671589549962
ERR1305879	3.4763984233301755	5.610359409268063	2.9984357684240135	2.5920047645777884	6.809415200385815	2.2704296983295036	1.955356882027956	1.6632180982711926	1.819374114774919	1.507688793903642	1.3872244607351187	0.0	3.194193990606644	3.0832347633941244	3.4347689303090307	3.632210653762238	2.406254867157541	1.819374114774919	3.1355538449050324	4.19885100263018	3.1625115505487216	3.753001955730819	2.1054526293944584	2.816290088039729	4.185386729685889	2.835940854595642	6.726308333427042	3.941103753317587	2.9683418311824883	3.1565181471259005	2.604342041611053	2.6951928288658085	3.13582912352294	4.081042827232581	5.7220202805359435	4.026812746365652	3.5531198576264225	3.8835495747830198	2.5095681149538787	2.5118895930763023	3.5981803194430904	5.728772938756632	2.0137893949115537
ERR1305880	2.9446392053185884	5.080864929866162	2.3554308138662456	1.9946528700714448	6.911178664475126	1.7207129169429392	1.6075874474437797	1.4112649213187811	1.0687502205576795	0.70054841551833	0.2226386722844589	0.4784369954262139	2.2675653213076985	2.375488773907301	2.910990547261418	3.1440471616920385	1.7824968252259696	1.0160220990320894	2.3827779420160655	3.585132580184589	2.3316996849960794	3.194445382357592	1.6420770972061058	2.0091313495348277	3.6264943829116185	2.201532046731847	6.501124112309666	4.907427959458124	2.2675653213076985	2.1673019382274	1.814855203331842	2.1673019382274	2.4273902558724862	3.5590374397215605	6.20497316649453	3.385726847750264	2.9930484421179333	3.1940734741818773	2.421920386129858	2.241677257660371	2.7740458963130927	5.303153357989244	1.6420770972061058
ERR1305881	3.1407653324615707	5.320764987472268	2.6139132236413363	2.045454944137364	6.71924458517875	1.7677181613245128	1.6785216907819727	1.6226572606026242	1.5882059087530331	0.9692529342990476	0.8297911374245625	0.4652628134832512	2.6077873172941968	2.54284243693498	2.943213213658101	3.247780983976332	1.8212026839757702	0.6231101957359403	2.6445714524047137	3.7278171712951282	2.593856676474155	3.4107161502150873	2.008930023430262	2.1495303724377948	3.7026648622080836	2.3212924512094384	6.690362708148915	3.78351812980799	2.48137531020732	2.317296622153288	2.1799445104187667	2.1592655674617025	2.5174360903617377	3.7206347417305685	6.450220225911576	3.595124065432709	3.131833775268415	3.4120091550457903	2.31055410603968	2.359350166189389	2.930359173262796	5.145404246251301	1.60920286226601
ERR1305882	3.1027956822683316	4.990867900476857	2.770098639346789	1.6588311516484127	7.055208147459215	2.346493952309518	2.3694894164556315	0.9258787878474054	0.8751839996348181	0.9258787878474054	0.2853039195647291	0.0	2.085482007095339	2.3410098225074107	3.312560715218277	3.1463803255099636	1.400550611904177	0.0	2.9040062602303878	3.8901671875580663	2.478604568593215	3.107230281837552	1.700966085229354	2.399443844854631	3.6688402624394634	2.1830035060874478	6.224367263240656	3.3804303440515175	2.759701301388138	2.6410484383185895	1.6121647424346206	1.7466620757042044	2.5512425246936243	3.7382990164500245	5.253741627345497	3.612895172367917	2.5602187319585576	3.1463803255099636	2.408986485992939	2.936942331228628	2.961867572885001	3.512034477905412	1.6407617630731122
ERR1305883	3.040093280563212	5.692507801270026	2.539957536581581	2.0628670388486614	6.393082994833446	1.5858380420220206	1.5931968160799495	1.6414871746512294	1.63490868781738	1.4767331056952109	0.6946833520677413	0.0	3.1850636075658696	2.489270660194749	2.9131960830481947	3.1850636075658696	1.8293466384962132	1.55508883385126	2.5934391449211978	3.7605279426988782	2.43921965598721	3.3494499012759005	1.9241174705058384	2.1639540676562605	3.694213710340386	2.205076000032409	6.5158946331038425	3.810147203711684	2.3494074105220992	2.2935152431694523	2.0603856137192804	2.197883107579939	2.5214210022743795	3.6753039984842624	6.8410152304459	3.570708946463302	2.907217936239785	3.5031664336444184	2.4101855553201625	2.055379819783135	3.028465728470609	5.114828290088675	1.666847739587589
ERR1305884	3.0153762580135	5.169100339386456	2.757438698920517	2.2452311786328583	7.003053616290401	1.4792536136993708	1.8300958700394714	1.4435486592588107	1.5201153911184222	1.3017938285489354	0.5992552982592878	0.20271990022171643	2.255392917176741	2.69384194702463	3.092821818296638	3.259515647416356	1.8376700127150265	2.098033187950174	2.658455544636228	3.7750881079820218	2.489308039482552	3.303411825132136	1.571544198089803	2.416556539381771	3.6936782817176725	2.5494214376163864	6.4559459472277005	3.499803106408976	2.266722447889405	2.248158875295849	2.0478281497762922	2.3772064725408106	2.5215715961111824	3.6369969799754505	5.332085235389911	3.6285727876244565	2.936278841322608	3.5999428557302275	2.3983606162354536	2.2925016646694827	3.0133768336076305	4.33514711305525	1.2006112770230795
ERR1305885	3.276980824506908	6.021259511788207	2.85494302818483	2.635678709962101	6.294287578850003	1.9966239740306981	2.2491328058327658	1.502421244138168	1.7477207003697888	1.7141424954002262	0.0	0.4256714007836983	2.8483295472574155	2.740676634755369	3.264774758872827	3.4940499516661525	2.4105842587470048	1.8190753208094361	2.756794472096825	4.028339386258716	2.704390280958877	3.7097262793013894	2.0513238430378324	2.400639276302518	3.9358787659951444	2.686905456378014	6.898107224932737	3.6864731899609198	2.6229469002459376	2.6229469002459376	2.458415367853621	2.5204456162236055	2.8142163340579343	3.9298023763404504	6.3713509549766725	3.8658214235517514	3.15109863567918	3.626480235685828	2.5560290102140373	2.4634187968864127	3.1950089984242425	3.6468420349394304	2.0214068076904663
ERR1305886	2.7897401006827867	5.194096871092166	2.474224587926633	2.0326389425959577	6.980920759220829	1.7904112559601293	1.8344320655970152	1.3320980118691792	1.6377837031598974	1.3466403292598734	0.23843281992215645	0.23843281992215645	2.197417879893113	2.394908347583135	2.887230562915474	2.9885365482249795	1.8614808456214507	1.5013979180599177	2.5050847566200103	3.650945266137807	2.4909557473465247	3.1607650880205385	2.0296818710444753	2.095624185145668	3.5426084392621586	2.1933659719161516	6.512419008573631	3.4467983270766034	2.1299219025722698	2.2451135693096202	1.8786205833260539	2.0145867389761536	2.360291995779096	3.518258027615624	5.522676009743789	3.5234289827330456	2.885166160718611	3.3154673178300915	2.261077708250118	2.1415430140737546	2.841672888698085	3.976990083548505	1.7638786068725585
