SAMPLE_ID	Acidimicrobiia	Acidithiobacillia	Acidobacteriia	Actinobacteria	Alphaproteobacteria	Anaerolineae	Aquificae	Archaeoglobi	Ardenticatenia	Bacilli	Bacteroidia	Betaproteobacteria	Blastocatellia	Caldilineae	Calditrichae	Candidatus Brocadiae	Chitinophagia	Chlamydiia	Chlorobia	Chloroflexia	Chrysiogenetes	Chthonomonadetes	Clostridia	Coprothermobacteria	Coriobacteriia	Cytophagia	Deferribacteres	Dehalococcoidia	Deinococci	Deltaproteobacteria	Dictyoglomia	Elusimicrobia	Endomicrobia	Epsilonproteobacteria	Erysipelotrichia	Fibrobacteria	Fimbriimonadia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Gloeobacteria	Halobacteria	Hydrogenophilalia	Ignavibacteria	Kiritimatiellae	Ktedonobacteria	Lentisphaeria	Limnochordia	Methanobacteria	Methanococci	Methanomicrobia	Methanopyri	Methylacidiphilae	Mollicutes	Negativicutes	Nitriliruptoria	Nitrososphaeria	Nitrospira	Oligoflexia	Opitutae	Phycisphaerae	Planctomycetia	Rubrobacteria	Saprospiria	Spartobacteria	Sphingobacteriia	Spirochaetia	Synergistia	Tepidiformia	Thermococci	Thermodesulfobacteria	Thermoleophilia	Thermomicrobia	Thermoplasmata	Thermoprotei	Thermotogae	Tissierellia	Unclassified Acidobacteria Phylum	Unclassified Actinobacteria Phylum	Unclassified Armatimonadetes Phylum	Unclassified Bacteroidetes Phylum	Unclassified Balneolaeota Phylum	Unclassified Candidatus Bipolaricaulota Phylum	Unclassified Candidatus Cloacimonetes Phylum	Unclassified Candidatus Gracilibacteria Phylum	Unclassified Candidatus Korarchaeota Phylum	Unclassified Candidatus Micrarchaeota Phylum	Unclassified Candidatus Saccharibacteria Phylum	Unclassified Chloroflexi Phylum	Unclassified Cyanobacteria Phylum	Unclassified Elusimicrobia Phylum	Unclassified Euryarchaeota Phylum	Unclassified Firmicutes Phylum	Unclassified Kiritimatiellaeota Phylum	Unclassified Planctomycetes Phylum	Unclassified Proteobacteria Phylum	Unclassified Tenericutes Phylum	Unclassified Thaumarchaeota Phylum	Unclassified Verrucomicrobia Phylum	Unclassified candidate division Zixibacteria Phylum	Verrucomicrobiae	Vicinamibacteria	Zetaproteobacteria
SAMPLE-33	1.843525914833802	2.2479548079838656	2.66297527425257	4.646149815936024	4.369491828591049	2.4494599018755157	2.5561331662124225	2.0232340723351525	1.843525914833802	5.219871668963107	6.929948243256296	4.322939438411483	1.6662657596600154	1.798459730053537	1.3064073810160477	1.798459730053537	3.5120652007958464	2.586568789506791	2.958306388820024	2.2200896366119522	1.5965790023348019	1.5486784100423059	6.635242512866825	1.454826948106975	4.420492084215444	3.897931382510379	2.629263626908045	3.385945014976449	3.040682665582968	4.153255001893736	1.9216681345454258	1.0263121226289464	1.4948320524592882	3.9138747282370328	5.06243790881194	2.3928981941828713	1.9216681345454258	4.339045120382062	3.563284501186198	5.410241214294097	2.1499700246582263	2.0175366294398698	2.9869210550445353	0.70967892863176	2.3928981941828713	1.4948320524592882	1.7149399043162443	2.205456589144942	2.034409513256761	2.800784432750332	2.5927132505533708	3.1271672664909036	0.3756528669086149	1.581191776012756	3.451882959287065	5.680663499476623	2.2709513569460906	1.9560299524521696	2.497602145549881	2.717755960569888	2.4937879584398512	2.5357501632336197	3.0482289851584152	2.3278510927550053	2.3928981941828713	0.5740176547499268	3.859247363184593	3.63793373792004	2.9000070280096333	1.639717302237585	2.6537967600015215	2.6062284537322284	1.5965790023348019	1.8684791819165667	2.4000875810563995	2.6795229280663047	3.1075729573722892	3.520071770460481	0.5740176547499268	2.760215415621498	2.061151241195355	4.68415666992153	1.5314608997744077	1.1687747156078465	1.8603196993639894	1.3349384113135438	0.8128976493229146	0.0	2.4343507793214845	0.8128976493229146	3.7630536155826526	1.581191776012756	1.8170510360313201	4.977194446176959	2.212834740402809	3.26237320271835	3.903410586150077	2.3928981941828713	2.2091613328469264	2.264504223436255	1.1687747156078465	3.448281871505439	1.8170510360313201	1.843525914833802
SAMPLE-34	1.9101736487245666	2.009386960035328	2.7172294242074715	5.684726981860878	4.310475124912355	2.304216191580459	2.3960303770152467	1.6177757368389085	2.0252214208079526	6.280434870928836	6.689420939093392	4.200091068458304	1.7721848633178865	1.7282701268409557	1.8858626119069029	1.2089179405480652	2.954378225421388	2.2875415709105567	2.751156895135937	2.152369481649568	1.5974402841863018	1.5974402841863018	6.552591707105975	1.7333746524158822	6.159969507383481	3.528014878673248	2.357999117537777	2.8038448041139894	3.0292888281818935	3.823365815756798	1.6907528063161887	1.4198936361199928	2.014729518598917	3.85054660708131	4.818027552947993	2.201674254871489	1.3398368098240936	3.9767564891106324	3.5822184619238486	6.216539128369852	1.9670744209124762	1.8446775071525232	3.018106321741583	1.4198936361199928	2.555788505933506	1.352217318924608	1.9331956366694927	2.0552569832735275	1.7434071647901956	2.691741749176316	2.461464194709241	3.011202418782025	0.78241871195826	1.9033653860260977	3.3585730862942182	3.845676072053073	2.1656993799350537	1.649685386140057	2.383719658512753	2.5737438773481593	2.4586074929548656	2.4518678594680487	2.966412803127386	2.3082866984649875	1.7282701268409557	0.7345471616383151	3.226624931882856	3.495739873117706	2.779897996954723	1.723104890412698	2.502202255431287	2.050393102095304	1.824582814072623	1.748337829193867	2.2657555746717897	2.580290263223947	2.780808867707063	3.545334427542883	0.9647910978699129	3.7627767434665547	1.5300089065987645	3.9933844556131195	1.2864513762983407	1.4302144984882885	1.2255715704795995	1.4093215188257666	0.4619811620291066	0.35503214660648197	2.989244014078456	0.35503214660648197	3.6315577681833644	1.3984856074250844	1.3873723999882015	4.902019461488749	1.7384198777330937	3.1976452882757993	3.9206009045449473	2.0329272872446285	2.022622112117007	2.074185417334199	1.8485872341783727	3.033122935285796	1.7384198777330937	1.6557953176232023
SAMPLE-35	1.5054085289868762	2.72013493848171	2.8743720791551244	5.403376552232206	4.590405029527991	2.783281069995429	2.7276977283523145	2.330295301030837	1.4444709454144302	6.241797888866542	6.616248246994253	4.520871844950318	2.4652466635428496	1.7634878586222866	1.3071132651220985	2.1957160337817787	3.2247157931871144	2.5591044010219584	2.976194964357495	2.0175233297687805	2.1957160337817787	0.9723661891371342	6.336986482833549	1.0095308474576214	5.689248985136429	4.023804049199536	2.7208279328221	2.2161099570631486	3.489179406676742	4.216174397157111	1.3578810284821772	1.7634878586222866	1.8382607136797888	3.8284772065941897	4.91914623994338	2.5670698079015213	1.2496155080515732	4.004240614636843	4.031930752225358	6.46393667080103	2.2721070682105164	2.3057912247324475	3.142537754478682	1.6153285346793822	3.111001951330723	1.5054085289868762	1.5054085289868762	2.7117315899510843	1.5880012885566748	3.2114955334247823	2.733788983108469	3.1262400430946324	0.7803257568373444	1.288780324590825	3.467270601678495	4.328075752019991	2.53429221436846	1.3887028353406865	2.7074681435330867	2.8330860015084296	3.3310204680279334	2.6102353948514834	3.239017883279513	2.691467349279629	1.4573617164911215	1.5054085289868762	3.3384324121274376	3.5607357089577483	3.0779095089013957	2.426117227173691	2.5621085749337085	2.4382306166000243	1.469880866444234	1.5275752838085142	2.710315086508153	2.557090010961318	3.0972518027600833	3.467642886788736	1.4311858139343452	3.347522922431957	1.822112639706563	4.160472501164423	1.0095308474576214	0.836860013754738	0.836860013754738	0.9723661891371342	0.5459325728258992	0.2644288787155222	3.551119625228457	2.183958104575258	3.8746279859222303	1.1050651116865096	1.0754954042907638	4.703767165137182	1.6807683320740017	3.509134875104355	4.324123561700223	2.176747450546396	1.5588383687853709	3.1207605804209844	1.5054085289868762	6.330754728948643	1.7758630245531173	1.4311858139343452
SAMPLE-36	1.684660552636151	2.2075900209745427	2.901663861752211	5.723100616692991	4.412595940054706	2.6980899480265776	2.5621907382712843	2.228780355147249	1.6368793445091951	5.88548150669931	6.590015617593507	4.317590669519988	1.4505255822728136	1.7958273676828989	1.684660552636151	1.8096174053024041	3.231119365451171	2.5099859730372076	3.1243919598813723	2.5259255645695244	1.7815850585510244	1.534868392442272	6.92082295365448	1.6266582532860492	4.977662493268586	3.7765458818511544	2.7501197412791787	3.097960105702838	3.0735266817475204	3.8786683711933776	1.9857267796603808	0.8480927055226282	2.1853124821995658	4.701766281966071	5.120504379481963	2.263544053867441	1.4347267135172008	4.194914617836962	3.8745385682548634	4.889779360693084	2.0246479510952744	1.9765826293719766	3.0916250246496473	1.304347847032506	2.700714134177559	1.534868392442272	1.9528427037176934	2.1557556272752385	1.9277296569591424	2.9995619200701658	2.744637062012556	3.2089646448559273	1.1493713270379835	1.8096174053024041	3.500696848794462	4.320216591432359	1.9065382875825128	2.0246479510952744	2.6267327848600783	2.809666314884547	2.554932003789725	2.542557822261219	3.1436829352277846	2.233920238352894	2.048783421305411	1.0823831096485137	3.5571311392003033	3.7084133800944694	2.9087434980943274	1.7815850585510244	2.7144481278012957	2.313104894131454	1.6161907996040057	2.202126850118725	2.5285262004524096	2.7684087840083937	3.0436952322616797	3.7171496187428192	0.47945222126110454	2.8961383558357183	2.012057849545088	4.064340345687286	1.5219003149150765	1.3457563463046902	1.693616874179278	1.4505255822728136	0.3027793924152657	0.6046814509793875	2.931371079277799	0.47945222126110454	3.8397520707786215	1.759305612741787	1.4947412679980574	5.221238827156816	2.075344308592015	3.4275549904776317	3.9490092027754464	2.272986021057007	2.0933686108810714	2.124039358582164	1.8229830137372733	3.2364858515593045	1.8295146674620935	1.8485401296255346
SAMPLE-37	2.32806912001772	2.348179750773352	3.0603250160442887	5.5903187739112	4.7122339425406246	2.820040134448654	2.78983962822699	2.270955869941591	2.1006843256446572	6.302907939581235	6.615402077955597	4.616726063364045	2.2051779174635264	2.359813787345972	1.6758218723900922	1.8298228793928302	3.342856618181653	2.9223545788674183	3.2415974201092186	2.561301326404132	2.1276277765246148	2.2051779174635264	6.739582067635647	1.5477644199609033	5.6143295656598164	3.7986404679791255	2.8160434777908123	3.354632202472801	3.4572745180904123	4.207897219340872	2.0080884849043192	1.57190395129132	2.3362254586513984	4.272031251107877	5.41043503903382	2.4765483126205075	1.9228370691128758	4.264376617934654	3.8782279424808	6.020228260543017	2.4616733156263537	2.079319745986576	3.468441877310535	1.7440984289873116	2.6155186639953043	1.9905372986552206	2.171096182971493	2.7589102267517625	2.515676323137528	2.890854082625048	2.7288920050139653	3.341262137380699	1.044852802519067	2.363623558238311	3.604667704400345	4.459212800205541	2.367400199012361	1.9722468331516942	2.8700868030137965	2.9138905039843124	2.8532186736153937	2.805202343475336	3.382382609541302	2.779772603725702	2.4524974569679237	1.8030850359915733	3.6435889624790048	3.8518083516663353	3.209277294312407	2.041196361949077	3.0051017740361097	2.528838117126733	2.332166436734829	2.507583425986293	2.8689034245085074	2.9736822014081015	3.213585295715657	4.0031523075406525	0.7020163602424108	3.3511329305444457	2.176965462544775	4.179345168866269	2.315540000311435	1.9013837569646486	1.9228370691128758	1.57190395129132	0.7020163602424108	0.4796613662631854	3.5341312904049635	0.4796613662631854	3.981390656844014	2.041196361949077	1.8902461452688915	5.260596882984446	2.270955869941591	3.6341298851787913	4.209685111798573	2.617637222933684	2.7353863550016615	2.344231435389945	2.02495783907312	3.5019760754162124	2.266235007480453	2.3748563605219513
SAMPLE-38	2.477016859149158	2.8490936209143363	3.086582549050073	5.647327297533892	5.066564774583662	3.1738337747065213	3.049819633134261	2.7990665533019117	2.6958022230027345	6.707286399928817	5.172639209892025	4.764665732138448	2.0003179830790017	2.6805935034536206	1.5244614051484506	1.7455517907095885	3.650760960363433	2.9717726601814043	3.5926644463389783	2.683678153924894	2.0493357350757138	1.8075478656073611	6.642663846456239	1.891354407398849	6.433784988656933	4.204619423938778	3.1165220520081247	2.8264625674704975	3.5477817570897137	4.459915898933728	2.581971885284821	1.9774893290398723	2.850142425499744	4.575534719120751	4.940588667522626	2.905166867353631	2.2762262880312316	5.065130450090868	4.372362961465648	5.40147227518366	2.7133764005359753	2.5194010521825327	3.6180605685587626	2.0493357350757138	3.3662542093794188	2.348423103240163	2.589672841327958	2.875571679747884	2.2436140588457985	4.265573402131139	3.5086650287137577	3.709155057778857	0.6450604159210951	2.0687602319357783	4.108144356859953	5.0567947522505605	3.133760751053916	2.062381446954733	3.131574476878001	3.4553970830858027	3.2761206997940167	3.0973866691480727	3.5548687427600245	3.3341330028667433	2.093377821662538	1.6405210381100093	3.7979730561333396	4.13640945717584	3.6383160706685733	2.3065597109562903	3.1061892208839077	2.7425173472935946	2.007668439570053	2.1333619372087083	3.4238635332434124	3.3429785110880172	3.603334756343025	4.159826134595815	2.617393099762868	4.1175833194428275	1.9533937869425693	3.570503596020107	1.7838005574910945	2.075046681821067	1.50170090232505	1.8075478656073611	0.0	0.4326742227571323	3.1748269187917555	2.4355216206646206	4.226783299729931	1.6405210381100093	1.6051721097948957	5.144477059794347	2.093377821662538	3.6954630026729416	4.469558754645113	2.974141177169331	2.2991726568058537	3.161735448405492	2.36793275468738	5.347654707633954	2.2307241780201736	2.105182366301947
SAMPLE-39	1.9083795884947352	2.426154599195855	2.933185939213644	5.0893431890654055	4.571266092356563	2.6627239337310287	2.754535753659475	2.048216468760655	1.8128082506993806	6.456797730615722	6.562081955268551	4.4444436727013485	1.3645210058006179	1.9921418833737692	1.7604335699671205	2.052972639849142	3.3721961811419603	2.7343239798935537	3.0147691446285565	2.2854511137503613	2.344890243569798	1.5926704083149195	6.748640519941406	1.3870135396969014	5.23835105435132	3.834973788732824	2.661560579947717	2.5881221256661107	3.4085115354693256	4.092875579257511	2.9350517014288635	1.518410426638509	1.8740641659467363	4.588419213028566	5.158600120286614	2.4789038251425084	1.7786027102219268	4.413874818085557	3.755727097571444	5.1803696078374895	2.432122662210364	2.356801693154207	3.073611692014553	1.1240040248660883	2.2936811700780186	1.3407996290735837	2.1757624504933326	2.66963936400046	1.952277015958431	3.266974738398237	2.610962886032565	3.1302023523270703	1.1240040248660883	1.6318075861757	3.5413669156812606	3.9820426813251815	2.480674198562937	1.518410426638509	2.7421350192685288	2.759212544527566	3.155206001347678	2.5811690981604474	3.2453490321162772	2.6973240106026295	2.3017581596858343	1.65606755041507	3.518822085555235	3.628871346953076	3.025986410778786	2.3225900387900937	2.5726758058593227	2.5338219768120833	1.3870135396969014	1.7696131486657933	2.6485536885820227	2.6842554021167735	3.0589321819647686	3.726839797537566	0.8544477712219698	3.0968835200185567	1.796042151992376	4.163671404159071	1.549653835275964	1.1240040248660883	1.4287793029995555	1.2607041013566498	0.6713024861428882	0.7724586487425195	3.7808693625609076	2.01337971209181	3.802787979523153	2.0576772875325573	1.578799633748757	5.033998538064107	1.8595409976126251	3.411836592138031	4.110174685191468	2.349694097619836	2.241785006831173	2.832647893426706	0.9233891300498619	6.060667689583138	1.85209313243645	1.4668785177102226
SAMPLE-4	2.43146382197199	2.251064906168044	2.956266865143466	4.960001903032222	4.564978470440554	2.5710229299883047	2.4398660628781155	2.068430974538058	2.07232784504024	5.582414363416528	6.839353274715531	4.645339399810145	1.5277526190429995	1.7552857544970446	1.8291377040418157	1.7710950477881018	3.5443129428850204	2.36365298848994	3.0028371110272642	2.375394156232967	1.8010853168495853	1.8222926454398902	6.425304126414208	1.1005981544399603	5.36576274299942	3.9567465513700335	2.6495992340727295	2.609841027196541	3.304788545802946	4.676977898950128	1.8742510718667387	1.2773222069171055	1.8425124213517503	4.026598435453219	4.510973267964009	2.0986687103190955	1.5277526190429995	4.317777603284062	4.330828842435247	5.813777109096805	2.470389489223852	1.93684949003597	3.3305833894581136	1.3444496254469698	2.460980245246135	1.8490484254922745	1.7218283386418824	4.236935134804539	2.07232784504024	2.6075846405861802	2.568554974630476	2.998720318226381	1.1005981544399603	2.3198630686789476	3.304788545802946	6.237295130366425	2.4989077983518935	1.9095083767421994	2.533787478675214	2.90122941647369	2.7588697029526434	2.568554974630476	3.2593324951039637	2.753244545012609	2.240658888822193	0.3128426659353382	3.758268112003828	3.5662558762389085	2.88838553710962	2.187509892329861	2.679360622730307	2.403429186218606	2.251064906168044	2.251064906168044	2.487127511698135	2.5351260450366024	2.8355222510737303	3.4163518136305324	1.3840523780807483	3.188244376420095	2.0986687103190955	4.57623550222546	1.8425124213517503	1.5789840753254452	1.892237412574086	1.1355063718076353	1.1678162541592403	0.3128426659353382	2.153478132807116	0.4928011445945383	3.6921593117869933	1.5277526190429995	1.903827362545511	4.689483569725645	1.8358765473466034	3.4394448538689057	4.130927687677865	2.109486271927208	2.240658888822193	2.126937490017527	1.8153379695920306	6.070782862226441	2.052484125454508	1.8358765473466034
SAMPLE-40	3.054973906969764	2.778843015950342	3.5373648219348244	5.656171466494726	5.115416595086684	2.9936900613449553	2.726316926992203	2.402147917385629	2.906515921121703	5.88667761027414	6.813514500885755	5.1322752367374305	2.5179962469373374	2.3376225584307444	2.062636552017176	1.746383595011245	3.6688495035489064	2.823266856472711	3.352223900500929	2.9953324153449272	2.427113837997477	1.9689939930738103	6.535615439719955	1.8999164689343435	5.578038855549224	4.095368070744028	2.849270686000471	3.1120239333400685	3.965289470329965	4.710052168459504	1.8009654102751411	2.2647571035148637	2.0718965782872103	4.319056488231771	4.691249632150417	2.89081608201859	1.9389492283674108	4.264359196292455	3.956296569085011	5.892790100783872	3.0777072311127167	2.6026633206587038	3.737319863166156	1.792331622946526	2.653545337370787	2.3326249658028497	1.8860850124190187	3.1723691504037603	2.775229921746876	2.761406623807923	2.754802023410149	3.6386197030447454	1.202397733147035	2.094218003828629	3.411211571273442	5.1491600104019195	2.99968190225484	1.8009654102751411	3.162442435889906	2.995878489388744	3.693622847979849	3.241759810074016	3.974616036848288	3.4316931951043714	2.386892913849181	2.147394861279687	3.7709246484984336	3.8507039349847734	3.8167022612350414	2.7181186466167784	3.005058210805764	2.6326442327240724	2.6665525584033674	2.690352155828109	3.122749801590271	2.7895053714921985	3.1741827889355574	3.6519542866543238	1.202397733147035	3.8048346477724198	2.716044664810725	4.484607398826215	2.0183342990386204	1.660960546607146	1.5975461407066907	0.92779817428086	0.3511627504585671	0.0	2.8657799692629875	1.506749497386526	4.041023737152296	1.636694272013523	1.8930558015606649	4.902247722847469	2.098547848235792	3.9872120359156518	4.687635859983693	2.2820386161432205	1.746383595011245	3.2881425639948265	2.527726802937484	6.015030947570913	2.6881408947778667	2.6080283046716444
SAMPLE-41	2.716059017018856	2.642175804567226	3.4149044665523722	6.3518721795762465	5.0909103377951626	3.177862635088475	3.338736388752302	2.2744450034461265	2.4006828572461205	5.752032953743759	4.950328820101641	4.938913643634897	1.83067781060589	2.6548747023873496	2.5181031161105247	1.8609091144945775	3.512812907912622	3.0481454669679455	3.4989239266608845	3.117559764611506	2.3686309413559825	1.619919433611919	6.748227626809814	2.451018610971644	5.721813387373063	4.124483746639243	3.0111964523849974	3.3113252085069234	3.8244931729108993	4.557249362988715	2.4915885368736443	2.0081078204733447	2.4609110310062223	4.784821819982863	5.594525097364258	2.8968289177225626	2.632401856630853	4.4383316130898605	3.7607563592339637	6.5730648522289155	3.091453631885296	2.6356843407225408	3.6385312538285666	1.870535989286693	2.547120109552995	2.209755296527921	2.634046199877787	3.1948848838170965	2.532853910793282	2.986397764483075	2.9100675457409104	3.5224685158707407	0.9607485389815504	2.356363181734358	3.711890490837336	4.535912759140099	2.9562060770347354	2.289216519228338	3.3759680823594285	3.061842529858464	3.434308718753431	3.0333483645249593	3.7659960587182324	3.221992980396142	2.3240862607736603	1.2764353895170146	3.8088659510657936	4.022109431516191	3.48941153673735	2.7294388489620314	3.0234191519449896	2.668730711169417	2.395028437459251	2.2591533249077207	2.8738262379174864	3.0977057333720754	3.3426065149247113	4.074910834420476	1.2373346401670866	3.8674937039006476	2.3173326985304223	3.632972971443024	1.6829378074514687	1.404962334369046	1.9643606271608365	2.1013756810060986	0.0	0.4194878831433292	2.7964581815403857	2.4893041485937317	4.144089567560652	2.617315698224682	1.431921420264671	5.428525660439885	2.383493828914216	3.9158073196543746	4.645244110222366	2.6626269949928956	2.28557047448016	2.722800457022784	1.4573043682602849	5.329358394206879	2.598135704665831	2.4938609721203804
