SAMPLE_ID	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Calditrichaeota	Candidatus Cloacimonetes	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Coprothermobacterota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Lentisphaerae	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thermodesulfobacteria	Thermotogae	Verrucomicrobia
SAMPLE-1	0.0	3.143870481421855	0.0	0.0	4.147615315591013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9776863020744592	0.0	0.0	0.0	0.0	0.0	4.20767176187098	2.086763226092815	0.0	0.0	0.0	0.0	0.0	0.0	3.1891327087290575	0.0	0.0	0.4948216715293784	0.0	0.31437248000499995	2.9867300852112844
SAMPLE-10	0.6157242825170794	3.9365203548973478	0.0	0.0	1.5858468294726555	0.0	0.0	0.0	0.0	0.0	0.4089056190976776	0.0	0.0	0.0	0.4089056190976776	0.0	0.0	0.0	4.28891945999982	1.388436952488964	0.0	0.0	0.0	0.0	0.0	0.0	3.5509380069189924	0.0	0.0	0.4089056190976776	0.0	0.0	3.3987811654754303
SAMPLE-11	0.0	3.606065733801887	0.0	0.0	3.584367894890161	0.0	0.0	0.2608301983119628	0.0	0.0	0.2608301983119628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.279769786468866	1.7741224458522138	0.0	0.0	0.0	0.0	0.0	0.0	2.5306198278579353	0.0	0.0	1.4368278543540673	0.0	0.7737203730003231	3.8368296751342905
SAMPLE-12	0.0	4.134250165863987	0.0	0.0	2.5924407525730326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.300658120985734	0.0	0.0	0.0	0.0	0.0	0.0	0.5852859308070052	2.205510863495807	0.0	0.0	1.320959153957492	0.0	0.0	1.6114929350782254
SAMPLE-13	0.0	3.4985372644234745	0.0	0.0	1.9640198673359066	0.0	0.0	0.43423488456673354	0.0	0.0	0.43423488456673354	0.0	0.8960649657005587	0.0	0.0	0.0	0.0	0.0	4.008097434575377	2.363987422500738	0.0	0.0	0.0	0.0	0.0	0.0	4.309984027170879	0.0	0.0	2.0836947063883167	0.0	0.43423488456673354	0.9817979629380068
SAMPLE-14	0.0	4.111803831616658	0.0	0.0	2.45581257581683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0597336127531642	0.0	4.2924607875617	0.0	0.0	0.6948923899130749	0.0	0.0	0.0	0.0	2.1055264718957707	0.0	0.0	1.1092350005573008	0.0	0.6948923899130749	1.9817216216139395
SAMPLE-15	0.0	3.1736267137642233	0.0	0.0	3.914071930503223	0.0	0.0	0.0	0.28604140427280694	0.0	0.0	0.0	3.1017699754765706	0.0	0.0	0.0	0.0	0.0	4.237035854312826	1.7623882119301042	0.0	0.0	0.0	0.0	0.0	0.45701926523134734	2.3020724355328035	0.0	0.0	1.4618671665513185	0.0	0.45701926523134734	3.75674001451874
SAMPLE-16	0.0	2.598966321772725	0.0	0.0	3.8889915398964203	0.0	0.0	0.0	0.0	0.0	0.2774414360381403	0.0	3.2999903039225864	0.0	0.0	0.0	0.0	0.0	4.206139474274202	2.1504496708141057	0.0	0.0	0.0	0.0	0.0	0.2774414360381403	3.4909350374767976	0.0	0.0	0.8609292271871957	0.0	0.4453762736456575	3.677878521585349
SAMPLE-17	0.0	2.8411172954559265	0.21163725602820868	0.0	3.378565662556527	0.0	0.45996622171792806	0.7798478955606811	0.0	0.0	0.45996622171792806	0.0	0.21163725602820868	0.0	0.0	0.0	0.0	0.0	4.262845559967321	2.238182623062775	0.0	0.0	0.0	0.0	0.0	0.35331435104635184	3.7408946118973536	0.0	0.0	1.5874431684196844	0.0	0.35331435104635184	3.850670394964254
SAMPLE-18	0.341602185718578	3.846819407067482	0.0	0.0	2.975762374365613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.341602185718578	0.0	0.0	0.0	2.583959219334822	0.0	4.407131388006109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.384821342433033	0.0	0.0	0.6615801155070202	0.0	0.6615801155070202	1.8894935529549546
SAMPLE-19	0.0	3.1095479653308593	0.0	0.0	3.3485940606167737	0.0	0.0	0.0	0.0	0.0	0.2890360570393134	0.0	0.0	0.0	0.0	0.0	2.2854242661190867	0.0	4.255886796771744	1.3746112268779274	0.0	0.0	0.0	0.0	0.0	0.0	4.0871039426306535	0.0	0.0	1.3916061562675592	0.0	0.6796174186830665	2.3279651715123943
SAMPLE-2	0.0	3.601989236602489	0.0	0.0	2.927765850386924	0.0	0.0	0.0	0.0	0.0	0.27333615845084397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.466642653777196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8728639501813191	0.0	0.0	0.6537705143774146	0.0	0.0	1.0269787765780185
SAMPLE-20	0.0	3.638932588675556	0.0	0.0	1.909794385752529	0.0	0.0	0.3794066673023442	0.0	0.0	0.9382979334173299	0.2298811412694143	0.6521394163205353	0.0	0.0	0.0	2.9621258186074018	0.0	4.260049306905619	0.3794066673023442	0.0	0.0	0.0	0.0	0.0	0.0	3.821095401532593	0.0	0.3794066673023442	1.5010904045003468	0.0	0.5787670441283922	3.6017537025687685
SAMPLE-21	0.0	2.7168325313141066	0.0	0.0	2.200366465927029	0.0	0.0	0.0	0.0	0.0	0.4191260874821397	0.0	0.9602282412403986	0.0	0.0	0.0	0.0	0.0	4.50307355363698	0.4191260874821397	0.0	0.0	0.0	0.0	0.0	0.4191260874821397	2.6845035515155065	0.0	0.0	3.0630934964926704	0.0	0.6283849520788087	1.5840433220721917
SAMPLE-22	0.0	3.034980235615858	0.0	0.0	3.0166051967735266	0.0	0.0	0.0	0.0	0.3105320266941034	0.0	0.0	0.9709939043195138	0.0	0.0	0.0	0.0	0.0	4.44173429484784	1.1313263048884536	0.0	0.0	0.0	0.0	0.0	0.0	3.0436791937300955	0.0	0.0	0.6162361967548284	0.0	0.3105320266941034	3.5202648816571567
SAMPLE-23	0.0	3.926020249999633	0.0	0.3348908141754497	1.34082366009774	0.0	0.0	0.3348908141754497	0.0	0.0	0.0	0.0	0.0	0.0	0.5217067060693096	0.0	0.3348908141754497	0.0	4.404302542594782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5592317871890033	0.0	0.0	1.34082366009774	0.0	0.3348908141754497	0.7519484682588284
SAMPLE-24	0.0	3.27235074926681	0.0	0.0	3.7819696011000485	0.0	0.0	0.0	0.0	0.0	0.0	0.28136147242075044	0.28136147242075044	0.0	0.8680625242238771	0.0	0.0	0.0	4.407942738208839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.831359414353749	0.0	0.0	0.45069350333449926	0.0	0.7448574068814708	1.3040662405700507
SAMPLE-25	0.2529587288912479	3.894696167777117	0.0	0.0	3.077207207542746	0.0	0.0	0.0	0.0	0.2529587288912479	0.0	0.0	0.0	0.0	0.0	0.0	0.2529587288912479	0.0	4.3982438994729955	0.2529587288912479	0.0	0.0	0.2529587288912479	0.0	0.0	0.0	2.1703234520635357	0.0	0.2529587288912479	0.6947962905097466	0.0	0.0	0.6947962905097466
SAMPLE-26	0.0	3.532610241472832	0.0	0.0	3.5171551785307202	0.0	0.0	0.597124441055991	0.0	0.0	0.0	0.0	0.7726638271842933	0.0	0.0	0.0	0.2977458689055982	0.0	4.137514172431943	0.2977458689055982	0.0	0.0	0.0	0.0	0.0	0.0	3.7062260098505266	0.0	0.0	1.6370103633228774	0.0	0.2977458689055982	3.937495157681934
SAMPLE-27	0.0	4.005900847714371	0.0	0.0	3.263025192461476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.327781260296576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9506010304040444	0.0	0.0	1.945520333940292	0.0	0.0	0.0
SAMPLE-28	0.0	3.9153754327689922	0.0	0.0	3.0881680365186246	0.0	0.0	0.0	0.0	0.0	0.3478710214536873	0.0	0.6705538621496218	0.0	1.7594984605130126	0.0	0.0	0.0	4.378323876431944	0.3478710214536873	0.0	0.3478710214536873	0.0	0.0	0.0	0.3478710214536873	2.199082926592634	0.0	0.3478710214536873	2.185383213893441	0.0	0.8536293024413462	2.6877057476101744
SAMPLE-29	0.7132989560770167	3.70551249738705	0.0	0.0	3.083652094751489	0.0	0.0	0.7132989560770167	0.0	0.0	0.37825976371924075	0.0	0.37825976371924075	0.0	0.0	0.0	0.37825976371924075	0.0	4.345230692906665	0.5773171110172949	0.0	0.0	0.0	0.0	0.0	0.0	2.552236652853157	0.0	0.0	2.1282927274769614	0.0	0.0	3.722985775861357
SAMPLE-3	0.0	3.07381786075908	0.0	0.0	3.860647571596279	0.0	0.37113561606544876	0.0	0.0	0.0	0.0	0.0	1.298965085768351	0.0	0.0	0.0	0.0	0.0	4.376771520519053	1.161477804791645	0.0	0.0	0.0	0.37113561606544876	0.0	0.37113561606544876	2.8265813082269142	0.0	0.0	0.5682877878825315	0.0	0.0	3.1002125563441747
SAMPLE-30	0.0	3.642212157390932	0.0	0.0	2.0578184125214576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.447607332429003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1891435569016378	0.0	0.0	1.0675552792572578	0.0	0.0	2.125382037015503
SAMPLE-31	0.0	3.8379532338001123	0.0	0.0	2.2049369526046814	0.0	0.0	1.0012672256877153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.370009371413802	0.0	0.0	0.2161512224275035	0.0	0.0	0.0	0.0	3.5389746500828063	0.0	0.0	0.9081840380695687	0.0	0.2161512224275035	2.4067242354926983
SAMPLE-32	0.0	3.1519437915859916	0.0	0.0	3.234253817389094	0.0	0.0	0.0	0.0	0.0	0.489270461472712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.407724692532078	1.7253211448696084	0.0	0.0	0.0	0.0	0.0	0.31017361463590837	3.382642029320638	0.0	0.0	1.8102043713099154	0.0	0.7135087941823286	3.4743066463594827
SAMPLE-33	0.0	3.4019188216998	0.0	0.0	2.2088373913101913	0.0	0.4496874198432188	0.2806187878479579	0.0	0.0	0.2806187878479579	0.0	1.8508279596753656	0.2806187878479579	0.0	0.0	0.6658351433166831	0.0	4.496745778637648	0.0	0.2806187878479579	0.2806187878479579	0.0	0.2806187878479579	0.0	0.0	1.4509466111478015	0.2806187878479579	0.0	0.5710717947243605	0.0	0.5710717947243605	1.527557633472079
