SAMPLE_ID	Acidimicrobiia	Acidithiobacillia	Acidobacteriia	Actinobacteria	Alphaproteobacteria	Anaerolineae	Aquificae	Ardenticatenia	Bacilli	Bacteroidia	Betaproteobacteria	Calditrichae	Candidatus Brocadiae	Chitinophagia	Chlamydiia	Chlorobia	Chloroflexia	Chthonomonadetes	Clostridia	Coprothermobacteria	Coriobacteriia	Cytophagia	Deferribacteres	Dehalococcoidia	Deinococci	Deltaproteobacteria	Endomicrobia	Epsilonproteobacteria	Erysipelotrichia	Fibrobacteria	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Halobacteria	Ignavibacteria	Lentisphaeria	Methanobacteria	Mollicutes	Negativicutes	Nitriliruptoria	Nitrospira	Oligoflexia	Opitutae	Planctomycetia	Rubrobacteria	Saprospiria	Sphingobacteriia	Spirochaetia	Synergistia	Tepidiformia	Thermodesulfobacteria	Thermoleophilia	Thermotogae	Tissierellia	Unclassified Actinobacteria Phylum	Unclassified Armatimonadetes Phylum	Unclassified Bacteroidetes Phylum	Unclassified Candidatus Cloacimonetes Phylum	Unclassified Candidatus Saccharibacteria Phylum	Unclassified Chloroflexi Phylum	Unclassified Cyanobacteria Phylum	Unclassified Firmicutes Phylum	Unclassified Kiritimatiellaeota Phylum	Unclassified Planctomycetes Phylum	Unclassified Proteobacteria Phylum	Unclassified Tenericutes Phylum	Unclassified Verrucomicrobia Phylum	Verrucomicrobiae	Vicinamibacteria
SAMPLE-1	0.0	0.0	0.0	1.7967067126093772	0.7201255530167019	0.0	0.0	0.0	3.135170523708566	4.1472867511846125	2.9677694935632406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.116366791780475	0.0	3.1238712016835777	0.6219230846778803	0.0	0.0	0.0	2.187479299538392	0.0	0.0	2.327189686153557	0.0	0.0	2.086763226092815	2.653592939928432	0.0	0.0	0.0	0.0	0.0	0.4948216715293784	3.109051535916109	0.31437248000499995	0.0	0.0	0.0	0.0	0.0	0.0	0.31437248000499995	0.0	0.0	0.0	0.0	0.0	0.31437248000499995	0.8677259860040215	0.0	0.0	0.8677259860040215	0.0	0.0	0.0	0.9776863020744592	2.286218460990764	0.0	0.0	1.065354856092744	0.0	0.0	2.9867300852112844	0.0
SAMPLE-10	0.0	0.0	0.0	2.5299538937967956	0.6157242825170794	0.0	0.0	0.0	3.71583031804913	1.567853162849856	0.6157242825170794	0.0	0.0	0.0	0.0	0.0	0.4089056190976776	0.0	4.142220299073867	0.0	3.913352013513544	0.0	0.0	0.0	0.4089056190976776	1.2211342123812294	0.0	0.0	1.1782671459617935	0.0	0.4089056190976776	1.388436952488964	3.548255559047892	0.0	0.0	0.0	0.0	0.0	0.4089056190976776	2.408104338517036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4089056190976776	2.0493684548763196	0.0	0.0	0.0	0.0	0.0	0.0	2.0370715384904683	0.0	0.0	0.0	0.0	0.0	3.3987811654754303	0.6157242825170794
SAMPLE-11	0.0	0.0	0.0	2.4276665479913797	0.42264981949002733	0.0	0.0	0.0	3.657609545787251	3.58278243932468	1.8460112647454028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.135191164502153	0.0	3.573432693535112	0.42264981949002733	0.0	0.0	0.0	1.3171517283901282	0.0	0.0	2.462303847863117	0.0	0.0	1.7741224458522138	2.394372553111414	0.0	0.0	0.0	0.0	0.0	1.4368278543540673	2.489776207482276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7737203730003231	0.2608301983119628	1.4235516509098767	0.0	1.1254077692734417	0.0	0.2608301983119628	0.2608301983119628	0.0	2.4001018352505903	0.0	0.0	0.2608301983119628	0.0	0.0	3.8368296751342905	0.0
SAMPLE-12	0.0	0.0	0.0	3.801421377907883	1.2574554768291275	0.0	0.0	0.0	2.4894419083430206	2.582849834994302	1.320959153957492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.261219446069034	0.0	3.862738574212918	0.0	0.0	0.0	0.0	0.5852859308070052	0.0	0.5852859308070052	3.0924496054977713	0.0	0.5852859308070052	0.0	2.0383861748263667	0.0	0.0	0.0	0.0	0.0	0.5852859308070052	1.7182700570778742	0.0	0.0	0.0	0.5852859308070052	0.5852859308070052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0932045858805564	0.5852859308070052	0.0	0.8258739086058765	0.0	0.0	0.0	0.0	2.111196231068012	0.0	0.0	0.9797919569128624	1.2574554768291275	0.0	1.5801247207547724	0.0
SAMPLE-13	0.0	0.0	0.0	2.9694655764812583	0.43423488456673354	0.43423488456673354	0.0	0.0	3.218888837016857	1.8743082953416272	0.6469736855785899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8349466979719353	0.0	3.346458250352607	0.0	0.0	0.0	0.0	1.6075826450715127	0.0	0.0	2.9851860241306607	0.0	0.0	2.363987422500738	4.3089962523442455	0.0	0.0	0.0	0.0	0.0	2.0836947063883167	2.1920425115017577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43423488456673354	1.6595894494893426	0.0	0.0	1.259572099078467	0.0	0.43423488456673354	0.0	0.8960649657005587	2.725775958097474	0.0	0.0	0.43423488456673354	0.0	0.0	0.9817979629380068	0.0
SAMPLE-14	0.0	0.0	0.0	3.715305349721359	0.9497094544088702	0.0	0.0	0.0	2.512108471617924	2.315067817570864	0.9497094544088702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.22270687960366	0.0	3.8879377403579194	1.457471937947219	0.0	0.0	0.0	0.9497094544088702	0.0	0.6948923899130749	3.2935343356136104	0.0	0.0	0.0	1.7803109482170678	0.0	0.0	0.6948923899130749	0.0	3.0597336127531642	0.0	2.156300373405498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6948923899130749	0.0	1.317360632317169	0.0	1.7192696819899644	0.0	0.0	0.0	0.0	2.6806492939790574	0.0	0.0	1.6078060086292443	1.1092350005573008	0.0	1.9817216216139395	0.0
SAMPLE-15	0.0	0.0	0.0	1.3133441242326287	0.6747335013240403	0.0	0.0	0.0	2.645332000339297	3.9133311988080703	1.7623882119301042	0.0	0.0	0.0	0.28604140427280694	0.0	0.0	0.0	4.18647245238044	0.0	3.1678891238579228	0.28604140427280694	0.0	0.0	0.0	1.8150363587036202	0.0	0.0	2.9184242918679817	0.0	0.0	1.7623882119301042	1.7259160467388133	0.0	0.0	0.0	0.0	0.0	0.8190774819549862	1.8087939471923693	0.0	0.0	0.0	0.0	0.45701926523134734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45701926523134734	1.4177724872799458	0.0	0.0	1.1476805030395332	0.0	0.0	0.0	3.1017699754765706	2.73296946597941	0.0	0.0	1.3686895658327372	1.3686895658327372	0.0	3.75674001451874	0.0
SAMPLE-16	0.2774414360381403	0.0	0.0	2.356503545323653	1.1309687512302569	0.0	0.0	0.2774414360381403	3.458124015124448	3.8882386557768793	2.3443725084097653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0840193452560145	0.0	2.230491487677932	0.2774414360381403	0.0	0.0	0.0	1.2761252945682586	0.0	0.5661786266688279	2.1504496708141057	0.0	0.2774414360381403	2.1504496708141057	3.453774398435651	0.0	0.0	0.0	0.0	0.0	0.8609292271871957	2.9588391581779647	0.0	0.0	0.0	0.0	0.2774414360381403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4453762736456575	0.2774414360381403	0.0	0.0	1.1012480617588545	0.0	0.0	0.0	3.2999903039225864	1.3154223539914396	0.0	0.0	0.2774414360381403	0.0	0.0	3.677878521585349	0.0
SAMPLE-17	0.0	0.21163725602820868	0.0	2.2729941211952416	0.21163725602820868	0.0	0.21163725602820868	0.0	3.2423648109139362	3.3758195557919763	1.361307512447846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.16365755438965	0.0	2.7051074852459034	0.5455227170777093	0.0	0.0	0.0	1.4169304281783985	0.0	0.21163725602820868	2.421776742002048	0.0	0.0	2.238182623062775	3.736814640315246	0.0	0.0	0.0	0.0	0.0	1.5874431684196844	3.2227303004054497	0.0	0.0	0.0	0.0	0.21163725602820868	0.0	0.0	0.21163725602820868	0.0	0.0	0.0	0.0	0.0	0.35331435104635184	1.475453895591742	0.0	0.0	1.1116246868908841	0.45996622171792806	0.7798478955606811	0.45996622171792806	0.21163725602820868	1.5270193735537552	0.0	0.21163725602820868	0.5455227170777093	0.0	0.0	3.850670394964254	0.0
SAMPLE-18	0.0	0.0	0.0	3.4214459235435704	0.5304168045468339	0.0	0.0	0.0	2.391197631497874	2.964637935907451	1.9517877025125006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.304889648550107	0.0	3.6404248963212344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2704763090468147	0.0	0.0	0.0	2.163452260264626	0.0	0.0	0.0	0.0	2.583959219334822	0.6615801155070202	2.711988032846776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6615801155070202	0.0	1.3289788096195776	0.0	1.396494898915721	0.0	0.0	0.0	0.341602185718578	3.436910882393243	0.0	0.0	0.8438079936491528	0.0	0.0	1.8894935529549546	0.341602185718578
