SAMPLE_ID	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Balneolaeota	Calditrichaeota	Candidatus Bipolaricaulota	Candidatus Cloacimonetes	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Chrysiogenetes	Coprothermobacterota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Dictyoglomi	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Lentisphaerae	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thermodesulfobacteria	Thermotogae	Verrucomicrobia	candidate division Zixibacteria
SRR5865124	0.0	2.4729133199742406	0.0	0.0	4.918663510986397	0.0	0.0	0.0	0.0	0.0	1.1943108443300057	0.0	0.8755157438099411	0.0	0.7694430214552985	0.9606997983738954	0.0	1.0930272170118653	0.0	0.7694430214552985	0.4194539851359726	1.1943108443300057	4.890683988391739	1.7750325165013305	0.0	0.0	0.0	0.4194539851359726	0.0	1.1943108443300057	4.137236962038788	0.7694430214552985	0.4194539851359726	2.2963635895223318	0.0	1.4318687130556813	1.4318687130556813	0.0
SRR5865125	0.7121558182189391	2.580704534748899	0.20233786969947107	0.33982809272411363	4.9113462124915275	0.0	0.33982809272411363	0.0	0.44409848838459276	0.0	1.6801757701210045	0.20233786969947107	0.8021598866576356	0.0	0.0	1.5032361079671612	0.0	1.0209893323710972	0.0	0.8766753967607355	0.44409848838459276	0.9957105791072172	4.823977653561072	4.158160335442958	0.20233786969947107	0.44409848838459276	0.5281182554699713	0.5984884224317998	0.5281182554699713	1.674759548343584	3.7618829231838595	1.674759548343584	0.8021598866576356	2.0374564545234977	0.0	1.634827801767556	3.773542612434374	0.0
SRR5865126	1.1008785673443995	2.1706141049777	0.0	0.3599355135446152	4.9267086027240055	0.0	0.3599355135446152	0.0	0.0	0.0	0.8723100024776586	0.3599355135446152	1.054008303282113	0.0	0.554010995409627	1.6128511463426358	0.3599355135446152	0.8723100024776586	0.0	0.554010995409627	1.0014607924183618	0.7897294515234224	4.488561005876592	4.36579299786547	0.3599355135446152	0.554010995409627	0.3599355135446152	1.9544663483664355	0.8723100024776586	1.4682233080413674	4.5342060725302025	1.6128511463426358	1.569780744046333	2.3867114650283643	0.0	1.4283057289237957	3.218917714931397	0.3599355135446152
SRR5865127	0.0	3.319361246619029	0.0	0.4146180727087692	4.817686712005862	0.0	0.0	0.0	0.0	0.0	1.5769296167342015	1.0858297232012144	1.0247829063999823	0.0	0.4146180727087692	1.660300624742998	0.0	0.4146180727087692	0.0	0.7629501421705146	0.6228093829333622	1.0858297232012144	4.98985818585592	2.600832037358916	0.0	0.0	0.0	0.6228093829333622	0.6228093829333622	1.7429427252033505	3.9409439667452895	0.9537292407229786	0.4146180727087692	2.052506087227419	0.4146180727087692	1.3686630813478113	2.093548778446171	0.0
SRR5865128	0.901275774114797	2.2043149830614035	0.5214279817776563	1.0588045764786218	4.552998321548966	0.0	0.0	0.0	0.0	0.0	1.2066750547682514	0.6516002547669214	1.2917624482794423	0.0	0.0	2.231779992229015	0.3346765603995523	0.751620382233741	0.0	0.3346765603995523	0.901275774114797	1.1741558287642713	5.133188028290983	1.1390030967806914	0.5214279817776563	0.0	0.5214279817776563	0.6516002547669214	0.3346765603995523	2.117417624315245	3.412370871841769	0.901275774114797	1.0588045764786218	2.184989958917375	0.0	1.1007524338731638	2.1135524362363554	0.0
SRR5865129	0.7999259477527935	2.9059239371840375	0.36681960356573245	1.0124099277656344	4.785478279395872	0.0	0.36681960356573245	0.0	0.0	0.0	1.7538834044635667	0.9524411141697723	1.0124099277656344	0.0	0.7999259477527935	1.4604409595348868	0.36681960356573245	1.6381694730372738	0.0	1.1930791794363425	2.7407017095330857	1.1120725231635358	5.0387163129388055	1.2285413286307094	0.36681960356573245	0.6973490852031248	0.7999259477527935	0.8828444263515032	0.0	1.3470174201418756	3.447760472302216	0.8828444263515032	0.6973490852031248	2.117464176325393	0.36681960356573245	1.2613251519930833	2.2189644102087307	0.5627981178353094
SRR5865130	0.555629175709719	3.44236204878003	0.0	0.0	4.790058726700014	0.0	0.3612009748003428	0.0	0.0	0.0	1.9107690250374203	1.4090368732903	0.555629175709719	0.0	0.0	0.8742531479620923	0.0	0.6894539896000978	0.0	1.0034812228052468	0.555629175709719	0.555629175709719	5.000244080387439	1.3864955115295523	0.0	0.0	0.3612009748003428	0.3612009748003428	0.0	1.2519726085035172	4.005370936356371	0.7916096657928683	1.0034812228052468	1.9867432950624544	0.0	1.3375667416473205	2.1766101285977615	0.3612009748003428
SRR5865131	1.3482304521424673	2.50796491742699	0.6310717509632892	1.149383596941181	4.613193996083993	0.0	0.6310717509632892	0.0	0.4213023912501495	0.0	1.484114943935708	0.0	1.0345885913005688	0.0	1.1971015336201007	2.3133840768799017	0.6310717509632892	2.0379006366828762	0.0	2.1902974001002247	3.4856446389934588	1.4347394343492905	5.051628588071956	3.015494699980813	0.4213023912501495	0.0	0.7719182536307289	1.506845643093448	0.6310717509632892	1.765935663460325	4.158476178350415	1.6054776917964493	1.528445570419849	2.825667803121645	0.4213023912501495	1.2400916637737573	3.0592146269361575	0.4213023912501495
SRR5865132	0.5443215623747918	2.689218725685875	0.0	1.2959040219416016	4.148795548128533	0.0	0.0	0.0	0.3523797115850035	0.3523797115850035	1.2371234181626634	0.5443215623747918	1.0884620132727671	0.0	0.5443215623747918	2.1378646523077274	0.0	0.7784470070280278	0.0	1.3714076505505262	0.8606439581288672	1.267507436718018	5.1719416657398645	2.6509044398945942	0.0	0.0	0.6769738051503975	0.6769738051503975	0.5443215623747918	1.2959040219416016	3.7818229679800157	0.3523797115850035	0.6769738051503975	2.661693450122547	0.3523797115850035	1.3225572858905268	3.669648438620773	0.5443215623747918
SRR5865133	1.0433101024130564	2.2506830700076668	0.0	0.8621564544069285	4.727854946012336	0.0	0.0	0.0	0.0	0.0	1.3730870330715101	0.931280069006862	1.3730870330715101	0.0	0.35335527869359873	2.3212046642674995	0.0	1.1707580752885045	0.0	0.7799092058033332	2.7746102117330356	1.132286613763331	4.898716169826324	3.195162339836174	0.35335527869359873	0.35335527869359873	0.6783592182664452	2.511976476583348	0.0	1.8216207561030204	4.573115394503924	1.7304231551327196	1.4934025252141707	3.0009106297955355	0.0	1.132286613763331	2.9439902405689136	0.35335527869359873
