SAMPLE_ID	Acidimicrobiia	Acidithiobacillia	Acidobacteriia	Actinobacteria	Alphaproteobacteria	Anaerolineae	Aquificae	Ardenticatenia	Bacilli	Bacteroidia	Betaproteobacteria	Blastocatellia	Caldilineae	Calditrichae	Candidatus Brocadiae	Chitinophagia	Chlamydiia	Chlorobia	Chloroflexia	Chrysiogenetes	Chthonomonadetes	Clostridia	Coprothermobacteria	Coriobacteriia	Cytophagia	Deferribacteres	Dehalococcoidia	Deinococci	Deltaproteobacteria	Dictyoglomia	Elusimicrobia	Endomicrobia	Epsilonproteobacteria	Erysipelotrichia	Fibrobacteria	Fimbriimonadia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Gloeobacteria	Halobacteria	Hydrogenophilalia	Ignavibacteria	Kiritimatiellae	Ktedonobacteria	Lentisphaeria	Methanobacteria	Methanococci	Methylacidiphilae	Mollicutes	Negativicutes	Nitriliruptoria	Nitrospira	Oligoflexia	Opitutae	Phycisphaerae	Planctomycetia	Rubrobacteria	Saprospiria	Spartobacteria	Sphingobacteriia	Spirochaetia	Synergistia	Tepidiformia	Thermodesulfobacteria	Thermoleophilia	Thermomicrobia	Thermoplasmata	Thermotogae	Tissierellia	Unclassified Actinobacteria Phylum	Unclassified Armatimonadetes Phylum	Unclassified Bacteroidetes Phylum	Unclassified Balneolaeota Phylum	Unclassified Candidatus Bipolaricaulota Phylum	Unclassified Candidatus Cloacimonetes Phylum	Unclassified Candidatus Saccharibacteria Phylum	Unclassified Chloroflexi Phylum	Unclassified Cyanobacteria Phylum	Unclassified Elusimicrobia Phylum	Unclassified Euryarchaeota Phylum	Unclassified Firmicutes Phylum	Unclassified Kiritimatiellaeota Phylum	Unclassified Planctomycetes Phylum	Unclassified Proteobacteria Phylum	Unclassified Tenericutes Phylum	Unclassified Verrucomicrobia Phylum	Unclassified candidate division Zixibacteria Phylum	Verrucomicrobiae	Vicinamibacteria	Zetaproteobacteria
SRR5865109	0.0	0.0	0.3814493325353955	1.7360805458974677	2.0331048725114442	0.0	0.3814493325353955	0.0	2.976076725707125	5.05431230664492	3.5291305371477395	0.0	0.0	0.0	0.0	0.9750230681583485	1.1355036425596472	0.3814493325353955	0.3814493325353955	0.0	0.0	4.31576387363917	0.0	1.901914148274641	2.1010930843938924	0.0	0.3814493325353955	0.9750230681583485	2.4331543911186913	0.0	0.0	0.3814493325353955	2.0551800106522466	2.375391223840547	0.9750230681583485	0.3814493325353955	2.009847285743682	4.180774847315083	3.2218606712327356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.717716684990431	0.5813469150343035	0.0	0.0	2.0605278207003543	4.241589822749164	1.0883067111576155	0.3814493325353955	0.5813469150343035	0.0	0.0	0.8213436302377136	0.0	0.0	0.5813469150343035	0.717716684990431	0.5813469150343035	0.5813469150343035	0.0	0.0	0.0	0.0	0.0	0.9750230681583485	0.3814493325353955	2.2578633343015424	0.0	2.7553931225992083	0.0	0.0	0.0	0.0	0.0	0.8213436302377136	0.0	0.0	2.264559816985656	0.8213436302377136	0.8213436302377136	2.219064658148402	0.717716684990431	0.8213436302377136	0.0	1.7130422523197337	0.0	0.0
SRR5865110	0.0	0.6836993272048426	0.0	2.1746327678070343	1.5768197377542634	0.0	0.0	0.0	2.7023443344781195	5.050672787262674	3.696649591370486	0.0	0.0	0.0	0.0	0.5180329103061667	1.2513918632010808	0.0	0.0	0.0	0.0	4.267018680234779	0.6836993272048426	2.811443878987311	1.8630384114134353	0.0	0.4032746318024848	0.6087180940941527	2.39754186440028	0.0	0.24685516850055023	0.0	1.2513918632010808	2.9774452347981013	0.4032746318024848	0.0	2.5197079300744267	1.2513918632010808	4.3011438384756495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8033302762699644	0.8033302762699644	0.0	0.0	1.8675714939779082	4.144900750176001	0.9372414646339894	0.24685516850055023	0.7476210432028828	0.0	0.5180329103061667	1.4556998502226564	0.0	0.0	0.0	0.6087180940941527	0.9740480744914733	0.4032746318024848	0.7476210432028828	0.0	0.0	0.0	0.0	0.4032746318024848	0.6087180940941527	0.0	0.4032746318024848	2.251842937024507	0.0	0.0	0.0	0.0	0.24685516850055023	1.4671878401630372	0.0	0.0	3.2376991118378986	0.24685516850055023	0.6836993272048426	2.204698797529169	0.4032746318024848	0.4032746318024848	0.24685516850055023	1.2696372904966915	0.0	0.0
SRR5865111	0.0	0.3256713431126511	0.3256713431126511	2.1514053704312155	1.7953357711755615	0.5096751887890241	0.0	0.5096751887890241	2.9569241877724544	4.818943043639766	3.071580242827154	0.0	0.0	0.5096751887890241	0.0	0.0	1.3467130615494898	0.8184761842425874	0.0	0.0	0.3256713431126511	4.848641324618264	0.0	2.5663356488261013	2.0809624500928043	0.0	0.5096751887890241	0.8184761842425874	2.5818526443740355	0.0	0.5096751887890241	1.7546382718306286	1.0852044422587466	2.3552316299456937	0.3256713431126511	0.0	1.8253531471474487	3.573508845112588	4.316534850371323	0.0	0.0	0.0	0.0	0.6385168062498086	0.0	0.0	2.0967717468053233	1.866814744025171	0.0	0.0	1.8396180400593223	3.960653981554536	1.8180410592487901	0.3256713431126511	0.0	0.0	0.0	1.123340150695795	0.0	0.5096751887890241	0.0	0.7377518224017509	0.8865218521699815	0.8184761842425874	0.3256713431126511	0.0	0.0	0.0	0.0	0.9971271808455228	0.8865218521699815	0.5096751887890241	0.0	2.526374943554755	0.0	0.0	0.5096751887890241	0.0	0.3256713431126511	1.9919257121086298	0.3256713431126511	0.0	2.4594030026635534	0.6385168062498086	0.9971271808455228	2.235185100946533	0.3256713431126511	0.7377518224017509	0.3256713431126511	2.130369276150108	0.0	0.0
SRR5865112	0.0	0.0	0.457186657205264	2.1794525237774818	2.007458005346844	0.674936284860738	0.0	0.2861654849493644	3.2012321072162444	4.892033891063408	3.4196962363811867	0.0	0.0	0.0	0.2861654849493644	0.457186657205264	0.927454388586782	0.2861654849493644	0.0	0.0	0.0	4.644164986702128	1.0860911773140682	2.7780038304862136	2.733226143804918	0.2861654849493644	0.0	1.2934529937553454	3.0139200541822233	0.0	0.927454388586782	0.674936284860738	1.4022668886982927	2.558656605872654	0.8192956405276448	0.0	3.17034079918457	4.095422884760666	3.8585452435958096	0.0	0.0	0.0	0.0	0.579567980110662	0.0	0.0	1.8995315410496534	1.733712039389092	0.0	0.0	1.8214435865871954	4.332472937789976	2.0771988312305334	0.7530866764654659	0.927454388586782	0.2861654849493644	0.0	1.1758181267307062	0.0	0.0	0.0	1.6139083735931532	0.579567980110662	0.2861654849493644	0.0	0.0	0.0	0.0	0.0	1.5387919112541693	0.7530866764654659	0.2861654849493644	0.0	3.2411377743016283	0.0	0.0	0.2861654849493644	0.0	0.0	1.2501438001053065	0.0	0.0	2.5344955647634695	0.579567980110662	2.2104734236633754	2.103513377692735	2.6171976662826317	1.013976120191525	0.0	1.5021436774151555	0.0	0.0
SRR5865113	0.0	0.0	0.8006248248557641	2.3334859490902873	1.7680368576690897	0.4429319962381506	0.0	0.0	3.3027435539709855	4.843808291935666	3.1024179511654544	0.0	0.0	0.0	0.4429319962381506	0.7349769264087478	1.1813600816789995	0.0	0.0	0.0	0.5634014360506846	4.747914972572412	1.0658528004209618	2.8714790522132856	3.117362859901488	0.2756436734382314	0.4429319962381506	1.6209307553414987	3.344743633389209	0.0	0.4429319962381506	1.0977346746303487	1.592366055386614	2.8688835395095302	0.5634014360506846	0.0	3.505774476811181	2.191006631783412	4.223793716597072	0.0	0.0	0.0	0.0	0.4429319962381506	0.0	0.0	2.237970610527237	2.154822082722036	0.0	0.0	1.823453215293886	4.183510586314814	1.6890238431810942	0.5634014360506846	0.2756436734382314	0.4429319962381506	0.0	1.4678473688852278	0.0	0.0	0.0	1.2060031741728563	0.8576400477186431	1.0977346746303487	0.5634014360506846	0.0	0.0	0.0	0.0	0.9940719688661818	0.9080313742722061	1.0314437048768155	0.0	3.4044915654082666	0.0	0.0	0.6576076262876019	0.0	0.0	1.1274352925099553	0.0	0.0	2.7309311224255746	0.4429319962381506	2.6370734025449964	2.2127708670633917	3.0080192317341923	1.0977346746303487	0.4429319962381506	1.592366055386614	0.0	0.0
SRR5865114	0.0	0.0	0.3046712291540119	2.3273640650084904	1.484133647628331	0.3046712291540119	0.3046712291540119	0.7047814135170128	3.080964472754346	4.7741925900479405	3.373858810016936	0.0	0.0	0.7842031221500103	0.0	0.0	1.7705561679021131	0.4819694799368766	0.0	0.0	0.0	4.8330999574008215	0.0	3.3230092062166663	2.1075656538213328	1.047990568155416	0.0	0.4819694799368766	2.569525351594584	0.0	0.6075104568077103	0.0	2.002814733928677	2.86517748123225	0.7047814135170128	0.3046712291540119	2.341672645318519	3.500847332543424	3.5152406836030794	0.3046712291540119	0.0	0.0	0.0	0.0	0.0	0.0	1.2109224430149366	0.4819694799368766	0.0	0.0	1.852247476975491	4.511301243057646	1.4383495045903625	0.3046712291540119	0.3046712291540119	0.6075104568077103	0.3046712291540119	0.7842031221500103	0.0	0.6075104568077103	0.0	1.047990568155416	0.3046712291540119	0.0	0.0	0.0	0.0	0.0	0.0	1.3686672204183061	0.8513215892920036	0.6075104568077103	0.3046712291540119	2.520447729860504	0.0	0.0	0.0	0.0	0.3046712291540119	0.7842031221500103	0.0	0.0	2.506916514233307	0.4819694799368766	0.6075104568077103	2.2140333947053565	1.047990568155416	0.7047814135170128	0.0	1.83321963813809	0.0	0.0
SRR5865115	0.21170167988620325	0.0	0.7799871755249649	2.480761378502064	1.9303159681040536	0.46007531969052456	0.35340733014920284	0.7321717858242216	3.377819152027104	4.3766479717107	2.3622650715946305	0.0	0.0	0.0	0.0	0.35340733014920284	1.349433460860383	0.6170932960805253	0.0	0.0	1.1520350973238007	4.95721786568651	1.0433951283750955	3.138841886115024	2.239921667268064	0.21170167988620325	0.6784331003744937	1.2061848536943298	2.627766636730876	0.0	0.35340733014920284	1.9700773555740374	1.2228316878150693	2.575213039157219	0.7321717858242216	0.0	1.8217128330120587	1.9004881415814057	3.5497916799034543	0.21170167988620325	0.0	0.0	0.0	0.21170167988620325	0.0	0.0	1.759939301305991	3.579233584563641	0.0	0.0	2.424003374104746	4.1861939175436635	1.8378606837226577	0.35340733014920284	0.35340733014920284	0.0	0.0	1.1323732070597263	0.0	0.21170167988620325	0.0	1.5946003842873524	0.7799871755249649	0.8230563733563381	0.5456421691652835	0.0	0.0	0.0	0.0	1.349433460860383	1.06740614568838	0.46007531969052456	0.0	4.464961240771403	0.0	0.0	0.7321717858242216	0.0	0.5456421691652835	2.561953176121192	0.0	0.0	2.871284185098292	0.35340733014920284	1.2836887540452646	1.907295836260964	0.5456421691652835	0.21170167988620325	0.6784331003744937	3.144159622521588	0.0	0.35340733014920284
SRR5865116	0.0	0.0	0.30477427560511094	3.3106489335686864	1.5387179783799096	0.8514971784338466	0.0	0.30477427560511094	3.9151356640704837	4.32003548918807	2.615964378292035	0.0	0.0	0.0	0.0	0.8514971784338466	0.7843739022573095	0.7049454544941195	0.0	0.0	0.48210648852861016	4.839294237994648	0.30477427560511094	3.3304987759553732	2.075579224137386	0.7049454544941195	0.0	0.30477427560511094	1.9896507709909894	0.0	0.6076643748849048	0.0	2.0566085637829	2.7317184747227232	0.6076643748849048	0.48210648852861016	3.2407022429359333	2.89786805824289	4.154327930151257	0.30477427560511094	0.0	0.0	0.0	0.0	0.0	0.0	0.48210648852861016	2.1312526058702046	0.0	0.0	2.097301556572523	4.713268823310658	1.2858208804071456	0.6076643748849048	0.48210648852861016	0.48210648852861016	0.0	1.1530562038245724	0.30477427560511094	0.0	0.0	1.1208308487301235	1.3293236630126541	0.48210648852861016	0.48210648852861016	0.0	0.0	0.0	0.0	0.9096214432708095	1.368862840501577	0.48210648852861016	0.0	2.6170327986818127	0.0	0.0	0.30477427560511094	0.0	0.0	1.4385464206670369	0.30477427560511094	0.0	3.237645581745783	0.48210648852861016	0.7049454544941195	2.150418164843317	1.1530562038245724	0.8514971784338466	0.30477427560511094	2.2578350213647975	0.0	0.0
SRR5865117	0.0	0.0	0.23116913750648121	3.2202027009252663	2.0411452251705673	0.0	0.0	0.5810715619527065	2.8824440233443736	4.866046226847345	3.229118438238047	0.0	0.0	0.0	0.23116913750648121	0.23116913750648121	1.8126243609191781	0.7723034280882405	0.0	0.0	0.7174149507338292	4.94350284973678	0.381231195743058	3.0175241039150658	2.049395600224826	0.0	0.23116913750648121	0.6545719208678852	2.7479887731598263	0.0	0.5810715619527065	0.0	1.112201561540277	2.445003733299901	0.7723034280882405	0.381231195743058	1.7733050075407053	1.4944513525226282	2.7592918352530753	0.0	0.0	0.23116913750648121	0.0	0.23116913750648121	0.0	0.0	0.5810715619527065	0.381231195743058	0.0	0.0	1.6558849100248105	3.742014635763695	1.807899759474917	0.23116913750648121	0.381231195743058	0.381231195743058	0.0	0.9046190211706655	0.0	0.23116913750648121	0.0	1.4640849012094315	0.23116913750648121	0.381231195743058	0.23116913750648121	0.0	0.0	0.0	0.0	0.974689362004171	0.6545719208678852	1.062293232317984	0.23116913750648121	2.7020144895734397	0.0	0.0	0.4925459324780572	0.0	0.4925459324780572	0.4925459324780572	0.0	0.0	2.364598770936793	0.4925459324780572	0.974689362004171	2.4847577155706153	0.7174149507338292	1.3440904515364676	0.0	1.7784190560027093	0.0	0.0
SRR5865118	0.0	0.47697619214406384	0.7779699145919987	1.9188631028193426	2.2428216804559007	0.6018967925230427	0.3009212032750644	0.0	3.527798793683673	4.901213465659102	3.3759943297785604	0.0	0.0	0.3009212032750644	0.3009212032750644	0.6987959234299566	2.1901154904308857	0.47697619214406384	0.0	0.0	0.6018967925230427	4.749356396222858	0.0	2.0861440027857028	2.237829749277654	0.3009212032750644	0.0	1.2785474448992298	3.154206513611442	0.0	1.2550669854843999	0.0	1.397731103209847	1.361519687640664	1.0411948605395247	0.3009212032750644	2.2646013939408314	1.6230368608667052	4.2384807105884255	0.6018967925230427	0.0	0.0	0.0	0.6018967925230427	0.0	0.0	0.3009212032750644	0.999804154073601	0.0	0.0	2.3281630133087345	3.6682615375945633	1.4469481930410162	0.6018967925230427	0.9028995824228895	0.0	0.9028995824228895	0.9540490819023849	0.0	0.3009212032750644	0.6018967925230427	0.6987959234299566	0.6987959234299566	1.3008232668183608	0.0	0.0	0.3009212032750644	0.0	0.0	1.397731103209847	0.8449115220872806	0.3009212032750644	0.0	2.6093773319946165	0.0	0.0	0.0	0.0	0.47697619214406384	1.175888157880103	0.0	0.0	2.548786264865096	0.7779699145919987	1.1459259709742489	2.5235295064698193	1.0411948605395247	1.0411948605395247	0.3009212032750644	3.8804817058290153	0.3009212032750644	0.0
