SAMPLE_ID	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Balneolaeota	Calditrichaeota	Candidatus Bipolaricaulota	Candidatus Cloacimonetes	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Coprothermobacterota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Dictyoglomi	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Lentisphaerae	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thaumarchaeota	Thermodesulfobacteria	Thermotogae	Verrucomicrobia	candidate division Zixibacteria
SRR11292195	0.0	2.321555735517321	0.0	0.2955972941892203	4.305958813737836	0.0	0.0	0.0	0.0	0.0	0.4698624450596052	0.2955972941892203	0.4698624450596052	0.0	0.8357428039754243	0.0	0.0	0.0	0.0	0.0	0.0	4.378710658724628	4.251280087072958	0.2955972941892203	0.690244759480507	0.0	0.0	0.0	0.0	3.0576321271993914	0.8935376911461119	0.0	2.1414320926618307	0.0	0.0	0.690244759480507	2.671233872801998	0.0
SRR11292196	0.0	2.531953299200236	0.0	0.0	4.401281416268624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3405982713792908	0.0	0.8422276595143354	0.0	0.0	0.0	0.0	0.0	0.0	4.489496441033586	0.6601378039677728	0.0	0.0	0.0	0.0	0.0	0.6601378039677728	3.77738477089154	0.9701349074221007	0.5291164547729525	1.068816336326162	0.0	0.0	1.1108513855160878	3.1840030401118624	0.0
SRR11292197	2.3324509268758504	2.124345334878648	0.29802375537422837	0.0	4.588580228392214	0.0	0.0	0.0	0.0	0.0	0.29802375537422837	0.0	1.1083770149579557	0.0	0.29802375537422837	0.0	0.47310829213333255	0.0	0.0	0.0	0.0	4.209154904380182	3.4726793380063565	0.0	0.0	0.0	0.0	0.0	0.47310829213333255	3.752425312890029	0.7731292264311094	0.0	0.29802375537422837	0.0	0.0	0.6941499803041492	0.29802375537422837	0.0
SRR11292198	0.388030477912719	2.9420581957217227	0.0	0.0	4.511189554310543	0.0	1.6095843352703323	0.0	0.0	0.0	1.3115128657503745	0.23598295997099003	0.5004290165706414	0.23598295997099003	0.5004290165706414	0.0	0.0	0.0	0.0	0.0	0.0	4.396241436409313	0.5896373404930226	0.0	0.0	0.0	0.0	0.0	0.5004290165706414	3.441546569361977	1.3265494418009285	0.0	1.7357048677850637	0.0	0.0	0.9513283463230229	3.450637054881925	0.0
SRR11292199	0.0	3.5179144244736396	0.0	0.17443510187684602	4.492805848196728	0.0	0.0	0.0	0.0	0.0	2.2726481448815723	0.17443510187684602	0.9955137996030194	0.0	0.17443510187684602	0.0	0.17443510187684602	0.0	0.0	0.0	0.0	4.388649277161673	0.6949845652715457	0.0	0.0	0.0	0.0	0.0	1.3754326636682608	3.202245882847655	0.17443510187684602	0.0	1.4794767369002992	0.0	0.3949543633924186	0.9498119777125377	3.510490432339366	0.0
SRR11292201	0.0	3.30542385997088	0.0	0.2809449873537858	4.118305733774327	0.0	0.0	0.0	0.0	0.0	1.791998969105481	0.0	0.6663724489131303	0.0	1.0416186511052596	0.0	0.0	0.0	0.0	0.0	0.0	4.654347173322045	1.0041542243709547	0.0	0.0	0.0	0.0	0.0	0.45012938371725403	3.5545834384952393	0.0	0.2809449873537858	1.1656647693849274	0.0	0.2809449873537858	0.9178672255568746	0.0	0.0
SRR11292202	0.0	1.8177927184953564	0.0	0.0	4.466190368306193	0.0	0.0	0.0	0.36569576966828593	0.0	0.36569576966828593	0.0	0.6957732173353406	0.0	0.5613662347536162	0.0	0.0	0.0	0.36569576966828593	0.0	0.0	4.511003949194657	1.3703071676682015	0.0	0.6957732173353406	0.0	0.0	0.0	0.5613662347536162	3.325264455652591	0.0	0.0	1.649302122711957	0.0	0.0	0.9506890669756701	0.6957732173353406	0.0
SRR11292203	0.9322499858789272	2.948003332784792	0.18743188739715708	0.3179317866704177	4.224577404566446	0.0	0.0	0.0	0.7257058850608359	0.0	1.8320037119483026	0.0	1.0299650407270018	0.0	0.9838499380133752	0.0	0.18743188739715708	0.0	0.0	0.0	0.0	4.573048122426505	3.2279417320292016	0.0	0.0	0.0	1.7846532212631592	0.0	0.499513896818307	3.082941169165892	0.499513896818307	0.0	1.0299650407270018	0.0	0.18743188739715708	0.9039525830373054	3.764229152964752	0.0
SRR11292204	0.0	2.648287187135373	0.0	0.0	4.33961582186692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5670801367940469	0.0	0.9576729136096382	0.0	0.0	0.0	0.0	0.0	0.0	4.497022351849678	0.9576729136096382	0.0	0.0	0.0	0.0	0.0	0.0	2.7978741982463284	0.8048828767518768	0.0	0.5670801367940469	0.0	0.0	0.8048828767518768	3.982052641006039	0.0
SRR11292205	0.0	1.5366678938248213	0.0	0.0	4.525069159770724	0.0	0.0	0.0	0.0	0.0	0.3685373130651491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.262314649488182	2.96899510914423	0.0	0.0	0.0	0.802458134862634	0.0	0.0	4.046759565948297	0.0	0.6997545408048704	1.7141719373451514	0.0	0.0	0.802458134862634	0.0	0.0
SRR11292206	0.0	2.796489865207735	0.0	0.0	4.523269872780285	0.23804559229031425	0.0	0.0	0.0	0.0	1.906172168051541	0.0	0.6674520026200406	0.0	0.786040197761772	0.0	0.0	0.23804559229031425	0.0	0.0	0.0	4.404905509261215	1.4693789663114636	0.0	0.23804559229031425	0.0	0.390934388606807	0.0	0.7307812900704166	3.5065146455674245	0.23804559229031425	0.23804559229031425	1.1931234653400957	0.0	0.0	1.049991754200317	3.0830030473752297	0.0
