SAMPLE_ID	Acholeplasmatales	Acidaminococcales	Acidiferrobacterales	Acidimicrobiales	Acidithiobacillales	Acidobacteriales	Acidothermales	Actinomycetales	Aeromonadales	Alteromonadales	Anaerolineales	Aquificales	Ardenticatenales	Bacillales	Bacteriovoracales	Bacteroidales	Bacteroidetes Order II. Incertae sedis	Bdellovibrionales	Bifidobacteriales	Bradymonadales	Bryobacterales	Burkholderiales	Caldilineales	Calditrichales	Campylobacterales	Candidatus Brocadiales	Cardiobacteriales	Caulobacterales	Cellvibrionales	Chitinophagales	Chlamydiales	Chlorobiales	Chloroflexales	Chromatiales	Chroococcales	Chthonomonadales	Clostridiales	Coprothermobacterales	Coriobacteriales	Corynebacteriales	Cytophagales	Deferribacterales	Dehalococcoidales	Deinococcales	Desulfarculales	Desulfobacterales	Desulfovibrionales	Desulfuromonadales	Dictyoglomales	Eggerthellales	Egicoccales	Elusimicrobiales	Emcibacterales	Enterobacterales	Entomoplasmatales	Erysipelotrichales	Euzebyales	Fibrobacterales	Fimbriimonadales	Flavobacteriales	Frankiales	Fusobacteriales	Gemmatales	Gemmatimonadales	Geodermatophilales	Gloeobacterales	Gloeoemargaritales	Glycomycetales	Halanaerobiales	Halobacteriales	Haloferacales	Holosporales	Hydrogenophilales	Ignavibacteriales	Immundisolibacterales	Isosphaerales	Kineosporiales	Kiritimatiellales	Kosmotogales	Ktedonobacterales	Lactobacillales	Legionellales	Leptospirales	Magnetococcales	Marinilabiliales	Mariprofundales	Methanobacteriales	Methanomassiliicoccales	Methanomicrobiales	Methanosarcinales	Methylacidiphilales	Methylococcales	Micrococcales	Micromonosporales	Mycoplasmatales	Myxococcales	Natranaerobiales	Natrialbales	Nautiliales	Neisseriales	Nevskiales	Nitrosomonadales	Nitrososphaerales	Nitrospirales	Nostocales	Oceanospirillales	Opitutales	Orbales	Oscillatoriales	Parachlamydiales	Pasteurellales	Pelagibacterales	Petrotogales	Pirellulales	Planctomycetales	Pleurocapsales	Propionibacteriales	Pseudomonadales	Pseudonocardiales	Puniceicoccales	Rhizobiales	Rhodobacterales	Rhodocyclales	Rhodospirillales	Rickettsiales	Rubrobacterales	Salinisphaerales	Saprospirales	Sedimentisphaerales	Selenomonadales	Silvanigrellales	Solirubrobacterales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Streptomycetales	Synechococcales	Synergistales	Syntrophobacterales	Tepidiformales	Thermales	Thermoanaerobacterales	Thermococcales	Thermodesulfobacteriales	Thermomicrobiales	Thermotogales	Thiotrichales	Tissierellales	Unclassified Actinobacteria Class	Unclassified Actinobacteria Phylum	Unclassified Alphaproteobacteria Class	Unclassified Armatimonadetes Phylum	Unclassified Bacilli Class	Unclassified Bacteroidetes Phylum	Unclassified Bacteroidia Class	Unclassified Balneolaeota Phylum	Unclassified Betaproteobacteria Class	Unclassified Candidatus Bipolaricaulota Phylum	Unclassified Candidatus Cloacimonetes Phylum	Unclassified Candidatus Saccharibacteria Phylum	Unclassified Chloroflexi Phylum	Unclassified Clostridia Class	Unclassified Coriobacteriia Class	Unclassified Cyanobacteria Phylum	Unclassified Deltaproteobacteria Class	Unclassified Elusimicrobia Phylum	Unclassified Epsilonproteobacteria Class	Unclassified Firmicutes Phylum	Unclassified Gammaproteobacteria Class	Unclassified Mollicutes Class	Unclassified Negativicutes Class	Unclassified Nitrososphaeria Class	Unclassified Phycisphaerae Class	Unclassified Planctomycetes Phylum	Unclassified Planctomycetia Class	Unclassified Proteobacteria Phylum	Unclassified Spartobacteria Class	Unclassified Tenericutes Phylum	Unclassified Thaumarchaeota Phylum	Unclassified Tissierellia Class	Unclassified Verrucomicrobia Phylum	Unclassified Vicinamibacteria Class	Unclassified candidate division Zixibacteria Phylum	Veillonellales	Verrucomicrobiales	Vibrionales	Victivallales	Xanthomonadales
SRR11292152	0.36284495854143795	1.1056230703963046	0.0	0.0	0.0	1.7668636307006669	1.0061007754244942	0.36284495854143795	1.631337848583419	0.36284495854143795	0.0	0.0	0.0	1.8622853295242765	0.5577294258178791	4.156708648419565	0.5577294258178791	0.0	2.387215065013434	0.0	0.0	2.6658595235244835	0.0	0.0	0.9462332455412128	0.0	0.0	1.0061007754244942	0.0	0.0	0.36284495854143795	0.36284495854143795	0.36284495854143795	0.36284495854143795	0.36284495854143795	0.0	4.494166096569603	0.0	1.6693850813354585	0.36284495854143795	2.08796204082974	1.8544268204295664	0.36284495854143795	0.0	0.0	0.36284495854143795	2.1603233076423614	1.7470138546372997	0.36284495854143795	1.5434971270582218	0.0	0.36284495854143795	0.0	2.3432021404654773	0.7940483253123052	2.7877991905738297	2.6838445203090378	0.0	0.0	2.1603233076423614	0.0	1.5097691832244828	0.0	0.0	0.0	0.0	0.0	0.0	0.36284495854143795	0.0	0.0	0.0	0.0	0.36284495854143795	0.0	0.0	0.0	0.0	0.5577294258178791	0.0	2.1016394773528195	0.36284495854143795	0.6917683464147044	0.0	0.0	0.0	2.608350985229649	0.0	0.7940483253123052	0.0	0.0	0.9462332455412128	0.5577294258178791	1.5747934212353947	1.8128483275713643	0.36284495854143795	0.0	0.0	0.0	0.0	0.5577294258178791	1.3136322485624667	0.0	0.0	0.8767730117144106	0.5577294258178791	0.36284495854143795	0.0	1.7858456729262224	1.0061007754244942	0.0	1.4536913145368715	0.36284495854143795	0.0	0.7940483253123052	0.0	1.6930158641901416	2.19425045617272	0.0	0.0	1.8923701603662249	1.9778448076428659	0.0	0.9462332455412128	0.36284495854143795	0.0	0.0	0.36284495854143795	0.0	0.8767730117144106	0.0	0.0	1.1056230703963046	0.36284495854143795	0.36284495854143795	0.36284495854143795	0.0	0.0	0.0	0.0	0.0	1.1479617939584517	0.0	0.5577294258178791	0.0	0.6917683464147044	0.0	0.0	0.0	0.0	0.7940483253123052	0.0	1.899576650099526	4.046396474285028	1.2547174567634478	0.5577294258178791	2.5028905190477477	0.0	2.001085297632596	0.0	0.6917683464147044	2.8553048399692615	0.7940483253123052	1.4536913145368715	0.0	0.0	0.0	1.7367380442960405	1.9136405121657891	0.0	0.0	0.0	0.0	0.8767730117144106	0.0	1.9718350248118877	0.0	0.6917683464147044	0.0	0.0	0.6917683464147044	0.36284495854143795	0.0	3.1007896443589247	2.5941462153862993	0.36284495854143795	0.0	0.0
SRR11292153	0.0	2.674653574887604	0.0	0.0	0.0	0.0	0.6276149837410068	0.8741840199540445	0.41850288615175973	0.0	0.41850288615175973	0.0	0.7681679931334848	1.0304903756366137	0.0	4.531990326552507	0.7681679931334848	0.0	3.0005601194234104	0.0	0.0	1.2749282932029753	0.0	0.0	0.0	0.0	0.0	1.5024696283008938	0.0	0.41850288615175973	0.0	0.0	0.41850288615175973	0.7681679931334848	0.0	0.0	4.38664440875283	0.41850288615175973	0.0	1.2358354901259336	1.6813794412432654	0.0	0.0	0.0	0.0	0.0	1.5642725605445371	0.0	0.0	1.5024696283008938	0.0	0.7681679931334848	0.0	2.0268561883627	0.0	3.102834900977416	0.0	0.0	0.0	2.0648560417996853	0.0	1.5446328258689608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7681679931334848	0.0	1.651014685517951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41850288615175973	0.0	0.41850288615175973	0.0	0.0	0.0	0.0	0.0	0.0	0.7681679931334848	0.0	0.0	0.0	0.41850288615175973	0.41850288615175973	0.6276149837410068	0.0	0.0	1.1928725264945876	0.0	0.0	0.0	0.41850288615175973	0.0	0.0	1.1451880641379175	0.0	0.0	0.0	0.41850288615175973	0.0	0.6276149837410068	0.0	0.0	0.0	0.0	0.0	1.1928725264945876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41850288615175973	0.0	0.6276149837410068	0.6276149837410068	0.0	0.0	0.0	1.5642725605445371	0.0	0.0	1.8966275593690098	0.0	0.0	1.0304903756366137	0.0	0.0	0.0	0.0	2.781103459988469	0.41850288615175973	0.7681679931334848	0.0	0.0	0.0	1.310790937945678	0.0	0.0	0.0	0.0	0.0	0.7681679931334848	0.0	1.6664623875696796	0.0	0.41850288615175973	0.0	0.0	0.0	0.0	0.0	1.4557685401130434	3.144145909009348	0.0	0.0	0.41850288615175973
SRR11292154	0.3609770031984504	2.5547355780229384	0.0	1.003123886269123	0.0	0.689138411400136	1.2820412814926496	0.5553428726999472	1.9745759281670379	1.6538386066095387	1.8511694103835175	1.712187012022422	1.3371882777919348	3.3193783293505863	0.0	4.292073122204677	1.1025792553276221	0.8739094549980478	2.674635076004542	1.1834491551885984	1.4505041948680923	3.3326623974460534	0.0	1.1448938382471916	1.2515981187622267	0.0	0.0	1.8350142411034862	1.488672280866774	1.9745759281670379	0.9433046507581467	0.0	0.791277083934385	2.194578850925209	1.3861151039746435	0.0	4.269459059458489	0.0	0.0	1.5065679338620346	2.46047387346097	0.791277083934385	0.0	1.6538386066095387	0.689138411400136	0.689138411400136	2.2454229714031326	1.9103771924824795	0.0	0.5553428726999472	0.0	0.9433046507581467	1.3104895173883906	3.1953174521726955	0.3609770031984504	2.9398357034926454	1.1448938382471916	0.0	0.0	2.232435853613051	0.0	1.7732100591059696	1.0556923367464601	1.1448938382471916	0.0	0.0	1.1025792553276221	0.0	0.3609770031984504	0.5553428726999472	0.3609770031984504	0.791277083934385	0.0	1.6007639918601657	1.586416083495516	0.5553428726999472	0.3609770031984504	0.0	0.3609770031984504	0.0	3.1503478885852187	1.523755264909702	0.9433046507581467	0.0	1.8182348254204161	0.0	2.5500024475637537	0.0	1.003123886269123	0.0	1.6661523013000346	1.1834491551885984	3.6552866081334567	1.003123886269123	1.5715779163363612	1.470007404542924	0.0	0.0	0.3609770031984504	1.6661523013000346	1.003123886269123	1.7917837568022226	1.4086556413498144	1.2515981187622267	1.003123886269123	1.881781502717484	1.1025792553276221	0.8739094549980478	1.4086556413498144	1.003123886269123	1.3104895173883906	0.5553428726999472	0.5553428726999472	1.1025792553276221	1.1448938382471916	0.0	1.2188589993562178	2.8660221429456376	1.003123886269123	0.3609770031984504	2.4960193356839824	1.6146530046206575	1.7229717069423076	2.1491295434864353	1.2820412814926496	1.4086556413498144	0.0	1.8590270880524586	1.1025792553276221	1.2188589993562178	0.3609770031984504	1.003123886269123	1.586416083495516	1.9562926839341253	2.0144623132318125	1.1025792553276221	1.1834491551885984	1.7732100591059696	0.689138411400136	0.689138411400136	2.1328576010609237	1.003123886269123	0.5553428726999472	0.5553428726999472	0.0	1.874328382775682	1.003123886269123	1.3623403277311328	1.6146530046206575	0.5553428726999472	2.3885507023181827	0.0	2.525530663520309	3.1085876155234633	1.5562147978111243	3.1792275380395525	2.4174740849828837	0.0	0.689138411400136	0.0	0.3609770031984504	2.4196211752836154	1.3623403277311328	2.3424790842388292	1.4300837882859632	0.3609770031984504	0.0	3.066263406605729	2.2672558637399134	0.0	0.3609770031984504	0.3609770031984504	0.0	1.6281115684328005	0.0	2.5101571076223017	0.0	0.9433046507581467	0.3609770031984504	0.0	1.5715779163363612	0.8739094549980478	0.5553428726999472	2.821690243389221	2.310642870254609	1.7437694543511382	0.689138411400136	2.7854243163648302
SRR11292155	0.24877708809577662	2.972302016903553	0.0	0.0	0.0	0.0	0.4059535958831778	0.9780009974256819	0.5211167883175389	0.7512540327101098	0.5211167883175389	0.0	0.7512540327101098	2.241084327874702	0.0	4.22683843109498	0.6872073884207246	0.0	2.7054341560301083	0.0	0.0	1.7163073987577493	0.0	0.0	1.0119656044689707	0.0	0.0	1.397447259562003	0.0	0.24877708809577662	0.0	0.24877708809577662	0.0	2.812249956859506	0.7512540327101098	0.0	4.604133203295408	0.0	0.0	0.0	1.369681324250306	0.0	0.0	1.7163073987577493	0.0	0.807058090149239	1.8852557372730925	1.308179604345062	0.4059535958831778	1.0119656044689707	0.24877708809577662	0.0	0.0	2.302127373170492	0.5211167883175389	2.79375064919893	1.3837861505557054	0.0	0.0	0.9780009974256819	0.0	0.8565012676261438	0.0	0.24877708809577662	0.0	0.0	0.0	0.5211167883175389	0.0	0.0	0.0	0.0	0.0	0.4059535958831778	0.0	0.0	0.0	0.0	0.0	0.0	2.3687646250251704	1.661341102312386	1.2365085544698322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0434655495567358	0.0	0.9780009974256819	0.4059535958831778	0.0	0.0	0.24877708809577662	0.6120540825010145	0.0	0.807058090149239	0.0	0.24877708809577662	1.759285286386717	0.8565012676261438	0.0	0.6872073884207246	0.0	0.4059535958831778	2.0196122057445822	0.0	0.7512540327101098	0.0	0.0	0.0	0.0	1.0434655495567358	0.0	0.0	0.24877708809577662	0.24877708809577662	0.0	1.1262114737185083	0.24877708809577662	0.0	0.0	0.5211167883175389	0.0	1.423544194140547	0.0	0.0	0.7512540327101098	0.24877708809577662	0.6872073884207246	0.0	0.24877708809577662	0.0	1.423544194140547	0.0	0.24877708809577662	2.103955828668125	0.0	0.4059535958831778	0.0	0.6120540825010145	0.0	0.4059535958831778	0.6120540825010145	0.0	0.0	0.0	2.2049212990712497	2.6482254916994514	0.4059535958831778	0.0	1.255565302720673	0.0	0.0	0.0	0.0	2.6731625824950105	0.4059535958831778	0.7512540327101098	0.0	0.0	0.0	2.1700357744323453	0.9780009974256819	0.0	0.0	0.0	0.0	0.6872073884207246	0.0	1.6230816483350565	0.0	2.8446455177219927	0.0	0.0	0.7512540327101098	0.0	0.0	2.5408660954468143	2.604584400464658	0.5211167883175389	0.0	0.24877708809577662
SRR11292156	0.49746795387892917	2.8374374493078176	0.0	0.0	0.23417079186284287	1.3778197997125972	1.6129889080011182	0.7232741050883098	0.49746795387892917	0.23417079186284287	0.5864214200761281	0.0	0.49746795387892917	2.2457216502409554	0.49746795387892917	4.105803059496969	0.9474801013153388	0.0	0.49746795387892917	0.23417079186284287	0.0	1.8727798215274931	0.0	0.0	0.49746795387892917	0.0	0.0	1.0946144819511188	0.0	0.5864214200761281	0.0	0.3854745268133285	0.49746795387892917	0.23417079186284287	0.0	1.2589042753914086	4.458085580453525	0.0	0.49746795387892917	0.49746795387892917	1.403077092544232	0.0	0.0	0.827178697833647	0.3854745268133285	0.49746795387892917	2.53658761549989	0.3854745268133285	0.0	1.8685998343677912	0.0	0.23417079186284287	0.0	1.5389214242372473	0.7232741050883098	3.761192364457002	2.2812424434361476	0.0	0.0	0.9811649850471279	0.0	0.827178697833647	0.0	0.49746795387892917	0.0	0.0	0.0	0.49746795387892917	0.23417079186284287	0.0	0.0	0.0	0.0	0.3854745268133285	0.0	0.0	0.0	0.0	0.49746795387892917	0.0	2.181235268044338	0.827178697833647	0.23417079186284287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49746795387892917	0.0	1.7077762322942434	0.7783264043823857	0.0	0.0	0.6602161472487819	0.49746795387892917	0.23417079186284287	0.9811649850471279	0.0	0.0	0.0	1.573407813553004	0.23417079186284287	0.9811649850471279	0.0	0.23417079186284287	0.3854745268133285	0.0	0.7232741050883098	0.23417079186284287	0.3854745268133285	0.0	0.0	0.9811649850471279	0.0	0.0	1.748394451072568	0.5864214200761281	0.0	0.6602161472487819	0.0	0.0	0.0	0.7783264043823857	0.23417079186284287	1.3510024199653994	0.0	0.0	1.2414599104366655	0.23417079186284287	0.49746795387892917	0.0	0.0	0.3854745268133285	1.9009646907595152	0.23417079186284287	0.3854745268133285	1.7371716487367657	0.0	0.49746795387892917	0.23417079186284287	1.1418687066164355	0.3854745268133285	0.5864214200761281	1.0689080507817297	0.0	1.6204899504736183	0.0	2.306480948532341	2.964806267053332	0.3854745268133285	0.0	1.9726752670831544	0.0	0.0	0.0	0.49746795387892917	3.5826306477118317	0.7783264043823857	1.0689080507817297	1.0124242033941668	0.0	0.0	2.2746967944292473	2.0726158672867108	0.0	0.23417079186284287	0.0	0.0	1.0689080507817297	0.0	1.847074249475921	0.23417079186284287	2.4011172056064494	0.0	0.0	1.8970485493953182	0.23417079186284287	0.0	0.7783264043823857	3.932118211533311	0.0	0.0	0.49746795387892917
SRR11292157	0.0	0.0	0.0	0.0	0.0	0.0	1.467470439768778	0.9323478943718903	0.0	0.2888503653294156	0.0	0.0	0.0	1.6479278123288028	0.0	4.18273671702064	0.2888503653294156	0.0	3.544201561990286	0.0	0.0	2.3295102204513154	0.0	0.0	0.2888503653294156	0.0	0.0	0.9323478943718903	0.0	0.0	0.0	0.0	0.0	0.2888503653294156	0.0	0.0	4.627980899143456	0.0	0.0	0.0	1.3381212494535109	0.0	0.0	0.0	0.0	0.0	2.121598906819384	0.46080464126077214	0.0	2.0654010737484847	0.0	0.0	0.7576578666030966	1.056584316303679	0.0	2.1849612304226347	0.0	0.0	0.0	1.207231357630359	0.0	0.6793151943653121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46080464126077214	0.0	1.7885936548468826	0.0	0.6793151943653121	0.0	0.0	0.0	0.46080464126077214	0.0	0.0	0.0	0.0	0.0	0.2888503653294156	0.0	0.2888503653294156	0.0	0.0	0.0	0.0	0.0	0.0	0.2888503653294156	0.0	0.0	0.0	0.2888503653294156	0.0	0.0	0.0	0.0	0.0	0.0	0.2888503653294156	0.0	0.0	0.0	0.46080464126077214	0.5836600138816106	0.0	0.0	0.5836600138816106	0.46080464126077214	0.0	0.2888503653294156	0.0	0.0	0.0	0.0	0.0	1.2319721231023066	0.0	0.0	0.9323478943718903	0.0	0.0	0.0	0.0	0.46080464126077214	1.207231357630359	0.0	0.0	1.0911841885294546	0.0	0.46080464126077214	0.0	0.9778245953361349	0.0	0.2888503653294156	0.7576578666030966	0.0	0.46080464126077214	0.0	0.881546103818667	3.093904001773466	0.9778245953361349	0.0	0.6793151943653121	0.0	0.2888503653294156	0.0	0.46080464126077214	2.2892799219993467	2.265454273857392	0.5836600138816106	0.0	0.0	0.0	1.8207504204442289	1.9100833021951649	0.0	0.0	0.0	0.0	0.881546103818667	0.0	1.4532572893751523	0.0	1.056584316303679	0.0	0.0	0.0	0.0	0.0	0.2888503653294156	1.407593780175357	0.2888503653294156	0.0	0.2888503653294156
SRR11292158	0.5368842972516874	2.562227087357041	0.0	0.0	0.0	0.0	0.769758573901243	0.34660545976586693	1.5311576423835072	0.0	0.34660545976586693	0.0	0.34660545976586693	1.6645269712524329	1.1593927533838515	4.246831813817186	0.34660545976586693	0.0	1.898520186316482	0.0	0.0	0.851653014665547	0.0	0.0	0.0	0.0	0.0	0.769758573901243	0.0	0.34660545976586693	0.0	0.0	0.0	0.6687467197992418	0.0	0.0	4.6003273329040315	0.0	0.6687467197992418	0.0	1.463739142809033	0.0	0.0	0.9205274749864096	0.0	0.34660545976586693	2.793382315976279	0.34660545976586693	0.0	1.2859928524784967	0.0	0.0	0.0	1.6869073912954555	0.0	1.898520186316482	1.7754063120940307	0.0	0.0	1.2576323644258856	0.0	0.5368842972516874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6687467197992418	0.0	0.0	0.0	0.0	0.5368842972516874	0.0	1.9549861760933123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34660545976586693	0.0	0.0	0.9205274749864096	0.0	0.0	0.0	0.0	0.34660545976586693	0.34660545976586693	0.851653014665547	0.0	0.0	0.0	0.5368842972516874	0.0	0.34660545976586693	0.0	1.1209984814782055	1.4052749729815073	0.0	0.34660545976586693	0.0	0.0	0.0	0.0	1.2272896710795644	0.0	0.0	0.34660545976586693	0.5368842972516874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1946667253411543	0.0	0.0	1.2272896710795644	0.0	0.769758573901243	0.0	0.34660545976586693	0.0	0.5368842972516874	0.0	0.0	1.1593927533838515	0.0	0.0	0.0	1.032228934117949	0.0	0.0	0.5368842972516874	0.0	0.0	0.0	1.36141121921099	3.531616104796213	0.6687467197992418	0.0	0.6687467197992418	0.0	0.0	0.0	0.0	2.573701136801635	0.34660545976586693	0.34660545976586693	0.0	0.0	0.0	1.4987553103931956	1.9245262930143259	0.0	0.0	0.0	0.0	0.0	0.0	2.111382017263371	0.0	2.463065355489456	0.0	0.0	0.0	0.0	0.0	1.7478629262172474	2.586257148581358	0.34660545976586693	0.0	0.851653014665547
SRR11292159	0.0	2.7556628362205187	0.0	0.0	0.0	0.0	0.9725835870045672	0.887087142521288	0.0	0.0	0.0	0.0	1.0439856632206657	1.5384846093025581	0.0	4.455776992643916	0.780528737268906	0.0	2.172114650858841	0.0	0.6390171622323454	2.227281205608405	0.0	0.0	0.0	0.0	0.0	0.427753066500663	0.0	0.6390171622323454	0.0	0.0	0.0	0.427753066500663	0.0	0.0	4.480806595765229	0.0	0.780528737268906	0.0	1.4941214303730885	0.0	0.0	0.0	0.0	0.6390171622323454	2.2524413836947117	0.0	0.0	0.427753066500663	0.0	0.0	0.0	1.105289335110223	0.6390171622323454	3.2829728315886255	2.65541373873094	0.0	0.0	2.7645238144398814	0.0	0.9725835870045672	0.0	0.0	0.0	0.0	0.0	0.427753066500663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.780528737268906	0.0	1.9373168288878464	0.0	1.2498451386932445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6390171622323454	0.0	0.0	0.0	0.0	0.0	0.6390171622323454	0.427753066500663	0.0	0.6390171622323454	0.0	0.0	0.0	0.0	0.0	0.427753066500663	0.0	0.427753066500663	0.6390171622323454	0.0	0.0	0.0	0.0	0.0	0.0	1.4941214303730885	0.0	0.0	0.6390171622323454	0.0	0.0	0.0	0.0	0.0	0.0	0.6390171622323454	0.0	0.9725835870045672	0.0	0.0	2.0071446598191964	0.427753066500663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4447055259154575	0.427753066500663	0.0	0.427753066500663	0.0	0.0	0.0	0.9725835870045672	2.0546216456236768	0.427753066500663	0.0	0.0	0.0	0.427753066500663	0.0	0.780528737268906	2.568297954004591	1.0439856632206657	0.0	0.0	0.0	0.0	1.4447055259154575	0.780528737268906	0.0	0.0	0.0	0.0	0.6390171622323454	0.0	1.388936218046975	0.0	0.427753066500663	0.0	0.0	0.0	0.0	0.0	1.105289335110223	2.0415780199386715	0.0	0.0	0.427753066500663
SRR11292160	0.0	2.8256871820219205	0.0	0.0	0.0	0.8320809515794364	0.0	0.7279458284735622	1.2811259054199826	0.8320809515794364	0.6647184912139356	0.0	0.7279458284735622	1.8657923798830618	0.23657827271716964	4.587551326436739	0.0	0.0	0.5906915362841132	0.0	0.5014000461611762	3.0296225608800786	0.0	0.0	0.5014000461611762	0.0	0.0	0.9525886055577331	0.0	0.8320809515794364	0.0	0.0	0.0	0.9525886055577331	0.23657827271716964	0.0	3.876760170912893	0.0	0.9863217018540684	1.5621021804245423	0.7279458284735622	0.0	0.0	0.5014000461611762	0.0	0.3888691765407421	3.0177101254022647	1.12420310545648	0.0	0.7831271311788017	0.0	0.0	0.0	2.7801583252136157	1.228697532607801	1.796253965879393	2.028277435229853	0.0	0.0	1.6186036095237613	0.0	3.9990659219544917	0.0	0.0	0.5906915362841132	0.0	0.0	0.0	0.23657827271716964	0.0	0.0	0.0	0.0	0.5014000461611762	0.0	0.0	0.0	0.0	0.5906915362841132	0.0	2.288587829337052	0.3888691765407421	0.5014000461611762	0.23657827271716964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6647184912139356	3.3495670750050808	0.0	0.5014000461611762	0.23657827271716964	0.0	0.0	0.23657827271716964	0.5014000461611762	0.0	2.000912382743866	0.5014000461611762	0.0	0.0	0.7279458284735622	0.3888691765407421	0.3888691765407421	0.9160130123185108	0.0	0.0	0.0	0.0	0.0	0.0	0.23657827271716964	0.5014000461611762	1.5445102037682024	0.0	0.0	1.5872221483028022	0.6647184912139356	0.0	0.9160130123185108	0.0	0.23657827271716964	0.0	1.0176224319727964	0.0	1.6261070389454648	0.23657827271716964	0.0	0.8320809515794364	1.046818104491404	0.5906915362841132	0.0	0.8320809515794364	0.23657827271716964	0.23657827271716964	0.0	0.0	0.0	0.0	0.0	0.0	0.5906915362841132	0.0	1.3961535199841237	0.0	0.0	0.7831271311788017	0.0	0.9525886055577331	2.877028588995439	0.7279458284735622	0.0	1.2097138590485412	0.0	0.0	0.0	0.23657827271716964	1.7484700207294637	1.0999086007519976	0.7279458284735622	0.0	0.0	0.0	1.3279013844678895	1.2097138590485412	0.0	0.0	0.0	0.0	0.23657827271716964	0.0	2.034131302443096	0.0	0.0	0.0	0.0	0.5906915362841132	0.0	0.0	1.7649891076413542	2.1038185230469653	0.3888691765407421	0.0	0.8320809515794364
SRR11292161	0.0	2.8798042498930685	0.0	0.0	0.4433357238224462	0.0	1.2520495860110559	1.551712978927982	0.5638602986599379	0.7354920693866225	0.4433357238224462	0.0	0.8011562633175257	2.059297334765628	0.0	4.090331179248517	0.658100117402108	0.0	2.517803996607071	0.0	0.0	2.409369918191273	0.0	0.0	0.0	0.0	0.0	0.2759404299401092	0.5638602986599379	0.2759404299401092	0.0	0.0	0.0	0.0	0.4433357238224462	0.0	4.537361390960565	0.0	2.432761949399382	0.0	2.1159728730201826	0.0	0.0	0.8011562633175257	0.0	0.0	2.4747847798178313	0.2759404299401092	0.0	1.9265834318474986	0.0	0.0	0.5638602986599379	3.502301729122522	0.2759404299401092	1.7415587179993097	1.824075028389164	0.0	0.0	0.2759404299401092	0.0	2.3064577428737034	0.0	0.0	0.0	0.0	0.0	0.2759404299401092	0.0	0.0	0.0	0.0	0.0	0.4433357238224462	0.0	0.0	0.0	0.0	0.0	0.0	3.642986090526072	1.2931941175872106	0.0	0.0	0.2759404299401092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1819498172217104	0.0	1.5929812139694637	0.0	0.0	0.2759404299401092	0.2759404299401092	0.0	0.4433357238224462	0.5638602986599379	0.0	0.0	0.5638602986599379	0.0	0.0	0.7354920693866225	0.0	0.0	0.858183771595912	0.0	0.658100117402108	0.0	0.0	0.0	0.0	1.4414118802738267	0.0	0.0	0.2759404299401092	0.4433357238224462	0.2759404299401092	0.4433357238224462	0.2759404299401092	0.0	0.0	0.4433357238224462	0.0	0.9085846915452273	0.0	0.0	0.858183771595912	0.0	0.0	0.0	0.0	0.5638602986599379	0.0	0.0	0.0	1.365362732903818	0.0	0.0	0.0	1.1558212651340767	0.0	0.0	0.5638602986599379	0.0	0.4433357238224462	0.0	2.2560485827934307	2.9590595167602767	0.5638602986599379	0.0	1.348413473849646	0.0	0.0	0.0	0.4433357238224462	3.2925026495450265	0.658100117402108	0.2759404299401092	0.0	0.0	0.0	2.5537233818426994	0.9946393000268546	0.0	0.0	0.0	0.0	0.2759404299401092	0.0	1.6027133908334588	0.0	0.0	0.0	0.0	0.4433357238224462	0.0	0.0	1.4125698584063924	3.514498702213285	0.2759404299401092	0.0	0.2759404299401092
